,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-03-31,100.33,9.9,0.12000000000000001,0.15,33.89,13.9,22.3,9.05,86.42,13.6,7.59,132.94,129.14,333.02,6.24,401.75,11.12,142.56,3.28,205.06,5.38,210.44,85.0,191.32,8.19,-5.64,-1.76,8.4,18.855,4.02,1.1,0.12,0.15,1.25,9.84,15.0,20.679999999999996,22.52,28.28,10.07,9.87,33.1,1.62,0.99,3,2013,12.375,82.5,9.9
2013-06-30,97.17,4.25,0.05106007067137809,0.0013250883392226047,25.75,6.35,13.109999999999996,4.36,90.83,6.450000000000001,8.54,141.59,126.65,345.86,7.55,422.01,12.26,170.93,0.0,233.52,5.67,239.2,85.0,182.82,30.53,-14.219999999999999,-15.360000000000001,6.76,21.34985294117647,2.03,1.31,0.17,0.15,0.88,4.024734982332156,6.4515901060070675,9.298939929328622,9.98374558303887,12.903180212014135,7.31,7.16,22.5,1.48,0.94,6,2013,0.11029411764705799,83.23529411764706,14.15
2013-09-30,80.24000000000001,3.51,0.03180067950169875,0.036882952501498895,26.179999999999993,5.640000000000001,13.0,4.24,74.61000000000001,5.25,335.22,162.0,137.61,692.39,5.6,765.4,9.75,177.0,0.0,233.27,5.94,239.21,170.0,525.8,-7.219999999999999,-2.4400000000000013,336.34000000000003,7.359999999999999,33.33262108262109,1.37,0.45,0.16,0.15,0.94,1.836489241223103,3.7206795016987537,2.671257078142695,4.086387315968289,3.871732729331823,6.53,6.36,21.05,2.97,2.38,9,2013,4.070955882352941,110.375,17.66
2013-12-31,81.70999999999998,2.8599999999999994,0.022300194931773876,0.02090643274853803,19.970000000000013,4.859999999999999,16.120000000000005,3.98,76.84999999999997,2.3099999999999987,305.87,162.35,143.86,695.58,5.11,761.31,9.77,168.13,0.0,225.46,6.21,231.67,170.05,529.31,6.270000000000003,-35.61,0.0,11.260000000000002,44.62741258741259,1.28,0.44,0.16,0.15,0.94,1.5052631578947369,3.0774269005847947,2.163118908382066,3.283703703703703,3.200077972709551,5.9,5.71,21.06,3.09,2.45,12,2013,2.681250000000002,128.25,20.52
2014-03-31,68.9,1.66,0.01,0.1,15.96,2.42,8.81,3.8,66.47,-0.9,228.03,154.03,148.01,691.76,4.98,757.39,9.98,162.91,0.0,219.18,6.55,225.74,170.05,531.36,7.68,-85.52,0.0,6.39,95.0,1.22,0.42,0.01,0.1,10.0,0.88,1.6799999999999997,1.24,1.8399999999999999,1.8000000000000003,2.6,2.41,11.52,3.16,2.48,3,2014,16.6,166.0,1.66
2014-06-30,59.53,-5.59,-0.028447837150127227,0.015521628498727739,10.149999999999999,-5.42,0.7099999999999991,3.34,64.96000000000001,-6.93,237.06,135.08,145.5,652.06,4.7,715.43,10.37,154.41,0.0,199.14,6.83,205.97,170.05,509.15,6.0600000000000005,19.78,-16.82,6.13,-29.35196779964222,1.12,0.4,-0.02,0.1,-5.0,-3.129262086513995,-3.0154707379134864,-4.380966921119593,-6.4861068702290074,-3.299949109414758,-3.3,-3.06,-7.32,3.27,2.54,6,2014,3.0500000000000007,196.5,-3.93
2014-09-30,56.72999999999999,2.8000000000000003,0.02477876106194691,-0.07389380530973455,14.329999999999998,4.36,8.690000000000001,3.5,52.370000000000005,0.34999999999999964,270.97,125.23,142.78,646.12,4.77,708.99,9.87,143.08,0.0,189.2,7.13,196.33,170.05,512.34,3.700000000000001,30.869999999999997,-0.6499999999999986,4.330000000000002,35.31249999999999,1.16,0.38,-0.01,0.1,-10.0,1.5858407079646022,-1.7840707964601772,2.180530973451328,2.180530973451328,-2.5769911504424785,-0.66,-0.61,2.43,3.42,2.66,9,2014,-8.350000000000003,112.99999999999999,-1.13
2014-12-31,83.31000000000003,2.86,0.01653179190751445,0.0346820809248555,23.700000000000003,4.76,12.8,4.64,78.53999999999996,-5.49,222.49,35.94,232.55,641.04,4.61,711.43,9.87,139.57,0.0,187.55,7.62,195.17,170.05,515.59,-3.830000000000002,-45.830000000000005,-0.22000000000000242,8.04,70.16783216783217,1.53,0.38,0.01,0.1,10.0,1.5870520231213872,5.488554913294797,2.2483236994219653,2.1821965317919076,7.736878612716762,0.72,0.64,7.75,3.42,2.18,12,2014,6.000000000000002,173.0,1.73
2015-03-31,66.14,1.29,0.01,0.0,19.95,2.59,7.89,9.5,63.56,-0.47,147.59,38.88,231.64,647.73,3.97,719.75,9.89,133.64,0.0,194.08,7.92,202.0,170.05,517.21,5.22,-79.96,-0.16,5.3,237.5,3.12,0.39,0.01,0.0,0.0,0.72,1.4,0.9999999999999999,0.9999999999999999,1.9600000000000002,2.12,1.95,15.24,3.34,2.14,3,2015,0.0,129.0,1.29
2015-06-30,56.150000000000006,-8.26,-0.04740315638450502,0.07,11.98,-8.04,-1.6599999999999993,3.98,64.17999999999999,-9.61,113.92,32.66,227.16,615.86,3.56,683.31,9.9,127.37,0.0,177.14,8.32,185.46,170.05,497.45,-0.9100000000000001,-20.690000000000012,-12.07,6.38,-20.99016343825666,1.36,0.37,-0.04,0.07,-1.75,-4.835121951219513,-3.697446197991392,-6.636441893830703,-6.541635581061692,-5.119540889526543,-6.15,-5.7,-15.14,3.48,2.19,6,2015,12.197500000000002,174.25,-6.97
2015-09-30,55.989999999999995,-2.920000000000001,-0.01771486349848332,-0.003998988877654191,15.259999999999998,-2.2699999999999996,4.289999999999999,2.86,58.260000000000005,-3.8100000000000005,97.23,47.54,222.93,619.16,4.02,682.88,9.91,129.53,0.0,179.08,8.65,187.74,170.05,494.93,3.9000000000000012,-20.44999999999999,-0.15000000000000036,6.559999999999999,-40.364409246575335,0.98,0.38,-0.06,0.07,-1.17,-1.7124368048533876,-1.3108998988877658,-2.361981799797776,-2.3147421638018204,-1.8069160768452988,-5.98,-5.55,-15.14,3.46,2.21,9,2015,-0.6591666666666658,164.83333333333334,-9.89
2015-12-31,49.34,-8.46,-0.05071389645776567,0.0008328792007266106,9.93,-4.72,0.5400000000000009,2.3,54.06,-15.169999999999998,68.41,47.23,223.56,603.16,3.13,659.4,9.92,122.83,0.0,163.37,8.99,172.37,170.05,486.85,-1.4000000000000012,-27.230000000000018,-0.17999999999999972,5.260000000000002,-11.338608156028368,0.8,0.35,-0.11,0.07,-0.64,-5.126713896457765,-3.337896457765668,-6.95241416893733,-6.749558583106268,-4.628795640326975,-8.7,-8.06,-18.03,3.69,2.32,12,2015,0.1389393939393937,166.81818181818184,-18.35
2016-03-31,42.49,-9.15,-0.05,0.0,4.38,-8.0,-4.12,2.42,50.49,-12.44,109.08,46.39,217.89,593.86,2.74,647.72,9.93,119.78,0.0,159.55,12.59,172.14,170.05,475.45,-3.24,44.05,-0.14,3.88,-12.1,0.87,0.36,-0.05,0.0,0.0,-5.640000000000001,-4.68,-7.68,-7.36,-6.56,-24.05,-21.53,-53.33,3.72,2.36,3,2016,0.0,183.0,-9.15
2016-06-30,46.779999999999994,-162.64,-0.956204668490599,0.02,16.330000000000002,-208.37,-203.65,2.24,255.14999999999998,-212.84,155.9,46.98,25.46,390.53,1.74,469.92,0.0,119.36,0.0,149.99,12.11,162.1,170.05,309.34,4.16,56.5,-13.84,4.72,-0.5862238686669947,1.23,0.52,-1.01,0.02,-0.02,-138.45086209907444,-142.0863333139298,-210.28928808428896,-161.2861656673846,-256.1113731881949,-213.78,-192.44,-676.16,2.6,2.43,6,2016,3.4017821782178217,170.08910891089107,-171.79
2016-09-30,43.14999999999999,-4.5400000000000205,-0.026777065729030915,-6.382048061324905e-05,16.18,5.009999999999991,6.710000000000008,1.87,38.139999999999986,211.74,137.79,48.98,23.93,363.19,1.45,433.07,0.0,92.41,0.0,117.42,11.97,129.39,170.05,304.14,-30.630000000000003,12.620000000000005,-0.09999999999999964,1.700000000000001,-17.47764317180609,1.05,0.43,-1.04,0.02,-0.02,-4.193700448023611,-3.9012124992911197,-5.971285657573893,-4.544891963931286,-6.896124312368884,-149.91,-133.16,-503.24,3.09,2.89,9,2016,-0.01082063975628289,169.54807692307693,-176.33
2016-12-31,49.79000000000002,-36.369999999999976,-0.21374000940291477,7.192325774836154e-05,24.6,10.200000000000017,11.77000000000001,1.57,39.60000000000002,-4.100000000000001,20.83,50.34,24.33,353.26,1.21,376.49,0.0,75.57,0.0,97.1,12.26,109.35,170.05,267.79,-14.009999999999998,-102.82000000000001,-0.13000000000000078,1.5699999999999985,-1.8421913665108618,1.0,0.41,-1.25,0.02,-0.02,-38.64419370004699,-26.565318288669477,-54.327580629995275,-38.555277856135376,-49.245698166431566,-131.87,-116.73,-359.21,3.64,3.39,12,2016,0.012238461538461198,170.16,-212.7
2017-03-31,36.8,0.82,0.0,,14.43,1.4,3.29,1.6,35.41,1.48,123.32,52.03,24.31,348.0,1.01,370.63,0.0,71.36,0.0,90.51,12.36,102.88,170.05,268.4,-9.19,111.79,-0.1,1.89,0.0,1.01,0.38,0.0,0.0,0.0,0.88,1.08,1.24,0.88,1.9999999999999998,2.6,2.23,14.0,3.84,3.58,3,2017,,inf,0.82
2017-06-30,38.980000000000004,-1.3199999999999998,0.0,,13.21,0.24,1.4900000000000002,1.52,38.730000000000004,-10.49,108.45,53.75,21.02,289.13,0.9,320.68,0.0,14.74,0.0,42.15,12.61,54.76,170.05,265.98,-54.83,40.11,-0.15,1.2500000000000002,0.0,0.97,0.21,0.0,0.0,0.0,-1.6895999999999998,4.329599999999999,-2.0063999999999997,-1.7952,6.230399999999999,-0.77,-0.66,6.56,6.86,6.36,6,2017,,-inf,-0.5
2017-09-30,38.629999999999995,4.16,0.02273224043715847,,19.759999999999998,5.930000000000001,7.3500000000000005,1.56,32.7,2.0999999999999996,94.96,59.84,22.71,287.24,0.8,316.45,0.0,13.32,0.0,32.86,12.7,45.56,170.05,270.94,-4.760000000000005,-8.629999999999995,-0.09999999999999998,1.4199999999999995,17.15625,0.98,0.17,0.02,0.0,0.0,5.2738797814207645,9.183825136612022,6.137704918032788,5.773989071038251,12.139016393442622,3.66,3.2,21.63,8.74,8.05,9,2017,,183.0,3.66
