,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,349.82,23.32,0.53,0.0,117.11,-32.86,9.92,0.08,382.68,2.71,236.73,147.07,187.48,805.19,376.76,2576.5,102.65,32.32,1706.5,2077.47,74.36,2151.83,437.61,424.67,-47.21,0.21,-5.88,42.78,0.0375,0.08,5.07,0.53,3.64,0.0,21.96,0.0,-26.319999999999997,6.2,6.67,0.0,0.39,0.3,3,2000,0.0,44.0,23.32
2000-06-30,299.32,808.12,18.467093235831808,0.0,109.39,-29.21,12.51,0.06,328.53000000000003,-0.6800000000000002,115.7,93.8,163.98,692.84,362.48,2346.5,103.36,37.27,305.72,1042.66,71.05,1113.71,437.61,1232.79,114.05000000000001,-102.64999999999999,-235.37,41.72,0.0,0.02,0.9,19.0,137.74507649379387,0.0,262.19384585778886,0.0,-18.505971326854613,124.09,128.08,0.0,0.66,0.51,6,2000,0.0,43.760000000000005,831.44
2000-09-30,498.38,172.01999999999998,3.930817969824407,0.0,118.83999999999997,-27.29,13.119999999999997,0.06,525.6800000000001,-9.01,101.53,127.66,149.67,746.04,354.1,2368.67,108.24,88.6,240.29,882.5,81.36,963.86,437.61,1404.8,-116.17,166.49,-31.189999999999998,40.41,0.0,0.02,0.69,22.93,29.046567675841583,0.0,48.98008331174137,0.0,-4.121101787814162,86.72,87.45,0.0,0.85,0.68,9,2000,0.0,43.761883994766684,1003.46
2000-12-31,429.8900000000001,-5.910000000000082,-0.1350789434113597,0.0,98.72000000000003,8.230000000000004,46.33,0.06,421.65999999999985,10.83,93.92,143.98,174.64,749.6,349.5,2359.28,72.37,82.62,243.23,883.37,77.01,960.38,437.61,1398.9,13.909999999999997,-25.019999999999996,-26.850000000000023,38.099999999999994,-0.0,0.02,0.69,22.8,-1.0019539872688226,-0.0,-1.6899086762568527,-0.0,0.1303393313618383,63.12,63.24,0.0,0.85,0.65,12,2000,0.0,43.75219298245614,997.55
2001-03-31,579.8,74.58,1.59,0.0,110.88,24.7,60.13,0.08,555.1,19.71,76.33,233.07,157.87,820.88,342.33,2397.85,99.79,53.85,172.84,666.48,142.89,809.37,552.61,1588.48,-59.12,-6.04,44.32,35.43,0.0125,0.03,0.51,1.59,12.44,3.96,18.8,29.64,5.72,13.18,12.86,0.0,1.23,0.99,3,2001,0.0,46.90566037735849,74.58
2001-06-30,556.29,15.620000000000005,0.29785365853658546,0.0,112.25999999999999,23.52,70.41,0.1,532.7699999999999,-1.1300000000000026,165.4,181.44,184.66,889.01,337.6,2505.85,58.63,59.43,174.68,657.68,135.92,793.6,658.61,1712.25,120.47,-66.58999999999999,34.52,46.88999999999999,0.08661971830985912,0.04,0.46,1.72,2.4936585365853663,1.3784390243902442,3.6504390243902445,4.246146341463416,1.8079024390243907,8.25,7.94,0.0,1.35,1.07,6,2001,0.0,52.44186046511628,90.2
2001-09-30,488.8600000000001,171.72000000000003,3.002739767868052,0.0,66.75,-15.89,26.120000000000005,0.07,504.75,-40.709999999999994,94.14,132.48,193.62,696.73,353.75,2319.86,21.58,58.13,78.48,241.66,133.2,374.86,718.61,1945.0,135.6,-45.75,-161.34,42.010000000000005,0.0038131842534358256,0.02,0.19,4.58,29.60780085522297,3.6190226023213197,35.324807574832015,41.01558949297496,4.091069028711058,16.84,16.12,0.0,2.88,2.08,9,2001,0.0,57.18777292576419,261.92
2001-12-31,552.6200000000001,-80.93,-1.328040775733466,0.0,137.26,-78.28999999999999,-53.16,0.08,630.9200000000001,-82.42,43.65,181.44,222.96,741.01,359.32,2264.33,41.98,40.58,78.36,236.92,152.19,389.11,718.61,1864.55,-47.639999999999986,-0.1600000000000108,2.8400000000000034,25.13000000000001,-0.016772828370196467,0.03,0.21,2.97,-14.290970771865851,3.5593281396762255,-17.36737499309354,-19.835652798497154,4.060138129178408,8.61,8.31,0.0,3.13,2.19,12,2001,0.0,60.93939393939394,180.99
2002-03-31,571.71,6.46,0.08999999999999998,0.0,115.08,2.26,39.26,0.1,569.45,-12.14,68.22,179.68,434.68,810.18,367.01,2402.93,58.86,163.02,77.86,373.85,150.55,524.4,718.61,1867.36,-42.43,62.85,4.15,37.0,0.285,0.04,0.28,0.09,1.08,0.36,1.4,1.48,0.43999999999999995,1.16,1.13,0.0,2.17,1.0,3,2002,0.0,71.77777777777779,6.46
2002-06-30,592.77,-18.08,-0.24895008605851976,0.0,88.77,-18.47,23.47,0.08,611.25,-34.54,34.38,176.49,355.96,696.7,361.6,2223.26,19.42,53.3,81.52,216.35,140.6,356.95,728.61,1859.27,-15.770000000000003,32.690000000000005,-50.76,41.94,-0.07551714601769911,0.03,0.19,-0.16,-3.2363511187607577,-4.294388984509466,-3.8587263339070565,-4.045438898450946,-5.041239242685026,-1.03,-1.0,0.0,3.22,1.57,6,2002,0.0,72.625,-11.62
2002-09-30,731.44,-469.2,-6.479530801547356,0.0,79.03,-469.02000000000004,-437.33000000000004,0.07,1200.45,-477.93,68.53,220.6,250.38,682.76,360.92,2206.6,18.0,72.01,110.76,266.78,540.73,807.51,728.61,1390.12,98.26,-41.300000000000004,-22.810000000000002,31.689999999999998,-0.00256191389599318,0.04,0.58,-6.64,-85.05360009982945,-83.6874339669731,-135.016247244291,-112.5330560292833,-97.62232852210808,-25.95,-25.36,0.0,2.56,1.62,9,2002,0.0,72.41265060240964,-480.82
2002-12-31,584.1799999999998,-113.68,-1.568,0.0,58.81,-113.22000000000003,-65.71999999999997,0.06,697.4000000000001,-126.66999999999996,102.98,180.65,248.49,640.64,369.54,2145.72,33.13,110.66,123.25,336.35,527.14,863.49,728.61,1276.55,45.239999999999995,-17.480000000000004,16.17,47.5,-0.013073979591836735,0.03,0.68,-8.2,-21.19477073170732,-20.758790243902443,-35.62037073170732,-28.950634146341468,-25.302165853658536,-24.55,-23.97,0.0,1.9,1.17,12,2002,0.0,72.5,-594.5
2003-03-31,743.86,-21.89,-0.3,0.0,91.29,-21.45,16.17,0.05,765.31,-27.12,64.94,243.6,330.96,753.8,364.15,2233.82,149.2,110.89,141.59,474.97,501.11,976.08,728.61,1254.74,-138.03,-8.34,108.33,37.62,-0.04,0.03,0.78,-0.3,-3.9199999999999995,-3.7199999999999998,-6.96,-5.6,-4.88,-2.97,-2.94,0.0,1.59,0.89,3,2003,0.0,72.96666666666667,-21.89
2003-06-30,951.63,-61.05,-0.8391246684350131,0.0,67.79,-62.16,-19.01,0.07,1013.79,-71.08999999999999,99.58,249.41,328.21,790.87,313.9,2222.91,98.79,230.44,141.44,552.47,478.71,1031.17,728.61,1193.76,109.13,-0.9700000000000006,-73.52,43.15,-0.02037837837837838,0.04,0.86,-1.14,-10.982228116710875,-11.070557029177717,-20.462864721485413,-15.987533156498671,-14.750928381962863,-4.94,-4.89,0.0,1.43,0.84,6,2003,0.0,72.75438596491229,-82.94
2003-09-30,1223.28,-73.30000000000001,-1.0039810547875065,0.0,63.879999999999995,-70.41000000000001,-32.370000000000005,0.11,1293.69,-74.91000000000001,78.18,199.0,277.58,670.09,311.04,2079.55,113.57,162.29,140.76,504.48,455.66,960.14,730.61,1122.52,-1.4299999999999997,-12.409999999999998,-7.560000000000002,38.040000000000006,-0.02664392905866303,0.07,0.86,-2.14,-14.093266769073221,-13.492754736303125,-26.122273425499234,-23.344905273937535,-18.3531490015361,-5.4,-5.35,0.0,1.33,0.78,9,2003,0.0,73.00934579439253,-156.24
2003-12-31,1284.0400000000004,-0.5199999999999818,-0.007098749681040834,0.0,82.66999999999999,13.01000000000002,56.55,0.12,1271.0299999999997,-62.01999999999998,166.29,229.21,371.14,875.94,291.81,2213.66,85.0,344.46,137.12,646.11,431.75,1077.86,742.75,1133.78,55.76,63.56,-31.21,43.53999999999999,-3.768269230769363,0.08,0.95,-2.14,-0.0939423322276058,-0.08584843072211999,-0.1835059964276537,-0.172625669813722,-0.11941821893339721,-3.84,-3.73,0.0,1.36,0.78,12,2003,0.0,73.25233644859813,-156.76
2004-03-31,1105.84,-41.23,-0.55,0.0,81.57,-38.19,-0.65,0.1,1144.03,-53.52,21.31,322.92,439.46,899.8,285.56,2201.97,79.9,370.37,130.44,671.34,417.68,1089.02,761.45,1111.25,-136.76,0.08,-8.31,37.54,-0.045,0.07,0.98,-0.55,-7.48,-6.88,-14.84,-13.960000000000003,-10.0,-3.79,-3.73,0.0,1.34,0.69,3,2004,0.0,74.96363636363635,-41.23
2004-06-30,1234.28,-34.1,-0.04526748971193416,0.0,74.23000000000002,-31.260000000000005,6.510000000000001,0.11,1265.55,-71.63999999999999,14.31,360.36,473.57,976.98,274.9,2228.13,78.01,412.86,123.81,735.42,404.2,1139.62,771.45,1087.15,-7.439999999999998,14.49,-14.040000000000001,37.77,-0.5854090909090909,0.08,1.05,-0.1,-6.120164609053498,-5.6493827160493835,-12.54814814814815,-11.968724279835392,-8.419753086419753,-3.3,-3.22,0.0,1.33,0.68,6,2004,0.0,753.3,-75.33
2004-09-30,1216.46,-29.629999999999995,-0.039521722560975615,0.0,112.42000000000002,-25.959999999999994,10.469999999999999,0.08,1242.4099999999999,13.86,31.84,376.94,449.11,989.4,263.26,2198.98,77.73,407.96,116.03,751.61,389.02,1140.63,771.45,1057.52,-14.120000000000005,1.3699999999999992,30.270000000000003,36.42999999999999,-0.4959298008774891,0.06,1.08,-0.14,-5.386246189024389,-5.036196646341463,-11.212877286585364,-10.874119664634147,-7.441375762195121,-2.97,-2.95,0.0,1.32,0.72,9,2004,0.0,749.7142857142856,-104.96
2004-12-31,1514.4300000000003,11.079999999999998,0.014162760971452916,0.0,124.44,26.689999999999998,76.64,0.08,1487.7399999999998,27.310000000000002,164.93,424.64,350.18,1049.93,252.59,2214.06,76.36,447.15,108.07,766.32,379.14,1145.46,771.45,1068.6,163.7,4.529999999999999,-35.14,49.95,1.3768501805054154,0.06,1.07,-0.12,2.001670217298679,1.4634853003834682,4.149688964635705,4.026945036216446,2.2424371538133783,-1.86,-1.85,0.0,1.37,0.91,12,2004,0.0,782.3333333333334,-93.88
2005-03-31,1600.57,25.03,0.03,0.0,165.51,27.84,64.17,0.09,1572.73,26.33,109.97,497.84,441.52,1168.03,242.18,2296.59,60.53,511.83,108.77,818.6,364.37,1182.96,791.45,1113.63,-41.98,-2.4,-10.58,36.33,0.7825,0.07,1.06,0.03,4.36,4.96,9.0,9.0,7.52,1.57,1.56,0.0,1.43,0.89,3,2005,0.0,834.3333333333334,25.03
2005-06-30,1468.5800000000002,10.329999999999998,0.011685520361990949,0.0,93.11000000000001,13.809999999999999,49.879999999999995,0.1,1454.77,0.33000000000000185,53.17,410.16,439.33,1028.84,234.41,2125.07,61.4,354.96,108.43,649.18,351.94,1001.12,791.45,1123.96,-33.13,-4.77,-18.9,36.07000000000001,2.182187802516941,0.07,0.89,0.04,1.9397963800904974,2.231934389140271,3.680938914027149,3.739366515837104,3.295316742081447,1.16,1.15,0.0,1.58,0.91,6,2005,0.0,884.0,35.36
2005-09-30,1098.27,-286.82,-0.3649980116121848,0.0,65.05000000000001,-283.51,-246.62,0.13,1381.79,-48.769999999999996,272.71,320.37,487.2,1169.72,228.13,2416.28,111.04,316.94,108.15,947.91,388.73,1336.64,791.45,1079.64,-16.450000000000003,-21.259999999999998,257.25,36.89,-0.0876717104804407,0.09,1.24,-0.32,-47.49536626103555,-47.814739521196216,-106.2600461305973,-107.35504016543386,-75.14396564065854,-6.09,-6.03,0.0,1.23,0.72,9,2005,0.0,785.8125,-251.46
2005-12-31,1135.6599999999999,7.810000000000002,0.008975169300225736,0.0,53.80000000000001,-45.77999999999997,-4.0,0.49,1181.4300000000003,-58.730000000000004,465.59,326.74,350.99,1187.86,227.93,2417.05,0.0,187.73,63.16,336.82,125.74,462.56,1333.2,1954.5,53.18,-339.62,479.32000000000005,41.77999999999999,13.57077464788732,0.33,0.24,-0.28,1.2924243792325059,1.5924514672686234,1.5988623024830704,2.0668532731376983,1.7732370203160277,-4.64,-4.59,0.0,3.53,2.48,12,2005,0.0,870.1785714285713,-243.65
