,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-09-30,126.17999999999999,-170.13,-0.09487054887277942,0.0,-70.08,-172.65,-148.25,0.03,11.35,298.84,-131.04,13.96,55.93,64.24,439.5,160.15,893.01,77.01,38.54,67.92,271.83,164.26,436.09,1922.84,408.2,-98.24,48.91,1.2799999999999727,24.400000000000002,-0.09223094104508317,0.16,1.07,-0.14,-76.19460368039512,-80.50443718632995,-166.70110730502668,-180.9859013781566,-110.6461658567673,-131.72,-105.4,1.62,1.38,9,2005,0.0,1793.2857142857142,-251.06
2005-12-31,46.56,-82.80000000000001,-0.044641466482956936,0.0,-29.960000000000008,-76.92999999999998,-66.13000000000002,0.04,10.99,123.49000000000001,-78.51999999999998,10.84,63.99,209.23,348.17,287.11,773.08,88.24,44.21,76.91,303.67,144.78,448.44,1922.84,324.5,-44.45000000000002,28.090000000000018,13.240000000000009,10.800000000000004,-0.2016062801932367,0.21,1.38,-0.18,-42.84588749775355,-44.651386808842034,-102.06031270592464,-113.2802012819745,-69.84901455699995,-123.56,-117.25,1.15,0.46,12,2005,0.0,1854.7777777777778,-333.86
2006-03-31,55.84,-73.77,-0.04,0.0,-23.56,-67.38,-55.27,0.05,6.14,123.22,-77.0,18.02,54.71,39.26,213.05,105.42,575.53,84.88,33.4,39.71,203.6,0.0,203.6,2032.84,371.21,-54.19,138.2,-76.82,12.11,-0.2975,0.26,0.55,-0.04,-51.279999999999994,-33.4,-79.47999999999999,-58.6,-72.48,-154.01,-132.11,1.05,0.85,3,2006,0.0,1844.2499999999998,-73.77
2006-06-30,61.22,-267.47,-0.12541085453053571,0.0,-92.85,-262.08,-242.73999999999998,0.02,68.51,323.29999999999995,-134.65,16.86,90.87,14.98,165.33,159.46,537.67,89.06,42.9,39.72,312.08,0.0,312.08,2280.11,225.21,-33.370000000000005,-47.209999999999994,79.41,19.34,-0.047842748719482554,0.25,1.39,-0.16,-198.99567342632753,-140.115277224241,-475.05631696166927,-275.778469112648,-457.8750298909858,-2829.52,-291.51,0.53,0.48,6,2006,0.0,2132.75,-341.24
2006-09-30,211.52999999999997,2.6999999999999886,0.0011963135818514748,0.0,121.13,-19.569999999999993,10.21999999999997,0.02,84.2,231.10000000000002,49.129999999999995,33.98,101.97,13.51,193.99,175.03,656.66,102.29,48.11,39.72,442.88,0.0,442.88,2280.11,225.65,7.040000000000006,-54.589999999999996,64.67999999999999,29.790000000000003,4.3884814814815005,0.21,1.96,-0.15,1.6445324038518272,1.4371713829975716,4.78621137827138,3.4077391150233205,5.208589826903742,-135.92,-103.03,0.44,0.41,9,2006,0.0,2256.9333333333334,-338.54
2006-12-31,56.450000000000045,-33.48999999999995,-0.1458317877590515,0.0,38.93,-6.980000000000018,-18.909999999999968,0.16,0.0,63.42999999999995,13.400000000000006,253.94,67.66,0.79,356.38,285.35,706.11,89.82,30.03,39.72,273.7,0.0,273.7,446.96,430.82,7.929999999999993,48.26,163.76999999999998,-11.93,-0.2777172290235895,0.17,0.64,-1.62,-18.97253554820845,-17.33417842647096,-31.09277746418295,-35.471331881837436,-29.64526194124126,-124.89,-96.62,1.3,1.3,12,2006,0.0,229.64814814814812,-372.03
2007-03-31,56.17,-60.9,-0.13,0.0,20.02,-55.53,-44.12,0.17,1.6,111.7,-21.4,67.43,46.29,0.6,301.92,143.8,515.47,0.0,32.11,0.0,122.84,0.0,122.84,460.0,388.82,-34.64,-160.03,8.16,11.41,-0.335,0.21,0.32,-0.13,-47.24,-40.72,-62.64000000000001,-64.12,-56.56,-110.55,-108.42,2.46,2.45,3,2007,0.0,468.46153846153845,-60.9
2007-06-30,90.79,-2.789999999999999,-0.006132830899670276,0.0,4.359999999999999,-0.3999999999999986,7.669999999999995,0.5,0.0,91.18999999999998,-29.730000000000004,202.58,43.72,0.52,342.31,136.83,517.34,0.0,27.11,0.85,122.3,3.84,126.14,460.0,386.03,-25.89,161.25,-0.20999999999999996,8.07,-20.37395161290323,0.6,0.33,-0.14,-2.1570042392840314,-1.8573716439001409,-2.891191709844559,-3.651662741403673,-2.481168158266603,-61.66,-43.34,2.8,2.79,6,2007,0.0,454.9285714285714,-63.69
2007-09-30,107.03,23.409999999999997,0.052306355511420044,0.0,16.27,26.14,35.370000000000005,0.46,-1.08,80.88999999999999,-23.380000000000003,122.3,53.7,0.46,389.63,149.2,576.04,0.0,26.37,0.0,151.23,4.06,155.29,460.0,409.44,-32.760000000000005,-47.16,-0.3600000000000003,9.23,2.206710807347288,0.52,0.38,-0.09,16.249841112214497,11.228430983118171,22.875312810327703,29.477537239324718,16.296335650446867,-24.05,-15.86,2.58,2.57,9,2007,0.0,447.5555555555556,-40.28
2007-12-31,219.03999999999996,108.19,0.03186275953467826,0.0,28.610000000000007,111.75999999999999,120.5,2.06,17.26,107.28000000000003,-17.929999999999993,30.01,32.64,0.25,446.4,123.4,614.08,0.0,25.42,1.23,110.95,3.75,114.71,460.0,517.63,-27.809999999999988,-64.18,-0.2999999999999998,8.740000000000002,16.16306959977817,1.83,0.22,0.02,70.4804240907083,79.14709468414077,83.60788101899573,91.25494330731851,103.80887056398173,28.82,14.36,4.02,4.02,12,2007,0.0,3395.4999999999995,67.91
2008-03-31,146.57,55.23,0.01,0.0,17.17,67.7,75.65,3.42,0.01,78.86,-15.58,17.17,36.29,0.04,502.11,114.89,663.59,0.0,28.94,1.25,101.4,3.44,104.84,460.0,572.86,-10.98,-3.03,1.16,7.95,85.5,2.75,0.18,0.01,33.28,45.92,38.56,45.96,48.16,92.3,37.68,4.95,4.95,3,2008,0.0,5523.0,55.23
2008-06-30,350.14,184.43,0.038477426354001504,0.0,22.29,265.01,273.64,3.8,-1.05,85.14,-17.190000000000005,47.66,40.93,0.72,744.35,120.21,897.31,0.0,29.74,1.23,146.92,3.15,150.06,460.0,757.29,-22.01,54.81,-2.3,8.629999999999999,24.689801008512713,2.31,0.2,0.05,82.21856463323041,144.79825085537846,97.4248435283318,129.03789702077947,136.48712676291416,186.74,48.25,5.07,5.06,6,2008,0.0,4793.2,239.66
2008-09-30,129.79000000000002,7.02000000000001,0.0014228960596724524,0.0,11.880000000000003,23.03000000000003,32.25,4.96,0.0,106.75999999999999,-27.989999999999995,27.27,38.86,0.68,789.39,105.26,926.14,0.0,22.97,1.37,170.42,3.25,173.67,460.0,764.3,-33.37,16.25,-3.2600000000000007,9.220000000000002,871.4621082621071,2.99,0.23,0.05,3.0324760823739303,5.391068590886987,3.6744867844981406,4.784345711042653,5.358057402302586,121.21,39.37,4.63,4.63,9,2008,0.0,4933.599999999999,246.68
2008-12-31,-338.15,-499.44,-0.1185567336603893,0.0,22.25999999999999,-517.81,-509.8,0.36,0.02,179.66000000000003,-22.96,17.98,47.63,0.59,221.79,97.24,348.25,0.0,20.86,0.41,95.1,0.47,95.56,460.0,264.86,-21.909999999999997,15.14,-2.5299999999999994,8.010000000000002,-0.7591302258529553,0.63,0.36,-0.06,-573.6565152714037,-266.1993859787941,-754.2579395473969,-510.5843329640766,-506.0001392625415,-91.84,-87.66,2.33,2.33,12,2008,0.0,4212.666666666667,-252.76
2009-03-31,61.36,-42.99,-0.01,0.0,16.25,-39.23,-28.42,0.1,1.82,100.59,-16.52,34.91,41.75,0.53,179.08,0.0,299.6,0.0,18.48,0.46,89.49,0.62,90.11,460.0,221.88,-12.84,33.16,-3.39,10.81,-2.5,0.21,0.41,-0.01,-57.4,-32.6,-77.52,-43.28,-74.68,-70.81,-70.06,2.0,2.0,3,2009,0.0,4299.0,-42.99
2009-06-30,72.95,-12.719999999999999,-0.002283252557889068,0.0,25.29,-7.830000000000005,0.9400000000000013,0.13,0.0,80.78999999999999,-6.440000000000001,14.83,43.95,0.3,183.33,86.08,295.42,0.0,25.2,0.62,81.64,14.5,96.14,460.0,209.16,-0.2699999999999996,-19.169999999999995,-0.6400000000000001,8.769999999999998,-14.234080188679247,0.29,0.46,-0.01,-17.22485729671513,-7.205945072697899,-24.330339256865912,-10.530360796984382,-20.10175551965536,-43.08,-41.48,2.25,2.24,6,2009,0.0,5571.0,-55.71
2009-09-30,81.07999999999998,8.420000000000002,0.0017805032776485518,0.0,41.15,14.86,20.17,0.13,1.22,66.22,5.150000000000002,132.15,46.6,0.62,278.21,83.23,392.1,0.0,18.56,1.0,79.95,2.03,81.98,550.0,321.17,-15.8,32.97,100.15,5.310000000000002,18.253266033254153,0.22,0.26,-0.01,8.589147811376614,3.482664411080567,10.483603298794673,6.203273419327555,7.349917530133222,-22.5,-21.96,3.48,3.47,9,2009,0.0,4729.0,-47.29
2009-12-31,116.32,8.769999999999996,0.0022767393561786073,0.0,41.510000000000005,12.950000000000003,22.72,0.1,0.0,103.35999999999999,-0.7100000000000009,35.92,67.44,0.74,278.23,91.65,405.01,0.0,24.54,0.95,82.58,1.83,84.42,550.0,329.94,-1.6600000000000001,-93.49000000000001,-1.0799999999999983,9.769999999999996,10.980615735461807,0.17,0.26,-0.01,8.660716510903422,4.653655244029074,10.627819314641737,11.793509865005184,5.436853582554514,-12.12,-11.61,3.37,3.36,12,2009,0.0,3852.0000000000005,-38.52
2010-03-31,77.96,-82.54,-0.02,0.0,21.64,-78.4,-64.65,0.06,0.0,156.36,-12.95,42.22,66.79,3.19,176.09,99.04,313.92,0.0,18.25,0.99,76.36,2.07,78.44,550.0,247.4,7.15,1.69,-2.54,13.75,-0.75,0.13,0.32,-0.02,-105.16,-102.24,-133.44,-140.72,-132.0,-106.67,-105.87,2.31,2.26,3,2010,0.0,4127.0,-82.54
