,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,TIE,month,year,dividend,ROCE%,number_of_shares,return_old
2004-06-30,,,,,,,,,13.53,,,15.61,0.0,7.68,1243.64,903.24,300.0,340.41,,,,,,0.0,2.65,0.05,0.0,0.0,,,,,0.0,6,2004,,,297.4,14.87
2004-09-30,58.80000000000001,10.709999999999999,0.033494917904612974,0.0,0.0,-1.3000000000000007,-0.740000000000002,,22.33,-48.06,0.0,92.22,0.0,7.48,1561.17,983.83,385.0,577.34,-205.85999999999996,-0.34999999999999964,282.82,0.5599999999999999,0.0,0.0,1.7,0.08,0.0,0.0,2.7465832681782643,0.0,7.419124315871774,0.0,0.0,9,2004,0.0,,319.75,25.58
2004-12-31,67.33999999999997,4.91,0.014493276484093145,0.0,0.0,31.450000000000003,32.03,,0.0,237.36,0.0,10.03,0.0,7.63,1781.36,1199.11,385.0,582.24,-232.07000000000005,-33.42,183.30000000000007,0.5800000000000001,0.0,0.0,2.06,0.09,0.0,0.0,1.101489012791079,0.0,3.3753230567399153,0.0,0.0,12,2004,0.0,,338.77777777777777,30.49
2005-03-31,80.33,9.42,0.02,0.0,0.0,9.42,10.01,,16.43,85.8,0.0,80.58,0.0,7.31,2204.59,1612.93,385.0,591.66,-275.1,-8.28,353.94,0.59,0.0,0.0,2.73,0.02,0.0,0.0,1.72,0.0,6.36,0.0,0.0,3,2005,0.0,,471.0,9.42
2005-06-30,92.63000000000001,12.889999999999999,0.034666069027342,0.0,0.0,12.889999999999999,13.520000000000001,,34.66,93.76,0.0,63.25,0.0,7.28,2499.05,1888.49,385.0,610.56,-263.9599999999999,-1.8200000000000003,248.44,0.63,0.0,0.0,3.09,0.06,0.0,0.0,2.056853428955625,2.7501748095024654,8.435410129986552,10.838924249215598,0.0,6,2005,0.0,,371.8333333333333,22.31
2005-09-30,100.42999999999998,21.140000000000004,0.05351898734177216,0.0,0.0,21.140000000000004,21.810000000000002,,48.05,98.71999999999997,0.0,48.54,0.0,7.52,2535.86,1904.16,391.0,631.7,-75.96000000000004,-5.16,66.41999999999996,0.6699999999999999,0.0,0.0,3.01,0.11,0.0,0.0,3.327907940161105,4.125827387802072,13.38947756041427,13.992782508630613,0.0,9,2005,0.0,,395.0,43.45
2005-12-31,98.65000000000003,11.839999999999996,0.029980104901428824,0.0,0.0,11.839999999999996,12.5,1.0,78.78,77.04000000000002,0.0,15.82,0.0,7.27,2494.37,1850.84,391.0,643.54,24.110000000000014,9.77,-66.69999999999993,0.6599999999999999,8.335527871621624,0.61,2.88,0.14,0.0,0.0,1.9015952251763426,2.2185277627057327,7.357974317236387,7.726301320311085,0.0,12,2005,0.0,,394.9285714285714,55.29
2006-03-31,108.42,15.92,0.04,0.0,0.0,25.97,26.57,1.0,17.24,64.26,0.0,42.31,0.0,6.76,2492.47,1833.02,391.0,659.45,46.06,6.12,-25.6,0.6,6.25,0.59,2.78,0.04,0.0,0.0,2.56,4.44,9.64,10.16,0.0,3,2006,0.0,,398.0,15.92
2006-06-30,109.21,13.729999999999999,0.03704553119730185,0.0,0.0,20.560000000000002,21.28,1.55,37.34,58.19999999999999,0.0,16.45,0.0,8.28,2442.93,1766.75,394.0,676.18,37.209999999999994,0.7599999999999998,-63.839999999999996,0.7200000000000001,10.462800436999272,0.9,2.61,0.08,0.0,0.0,2.241254637436762,3.4822799325463745,8.112971332209106,8.538994940978077,0.0,6,2006,0.0,,370.625,29.65
2006-09-30,77.17000000000002,7.130000000000003,0.01744698205546493,0.0,0.0,-9.75,-9.030000000000001,0.74,57.47,114.62000000000002,0.0,16.13,0.0,7.61,2499.16,1815.85,394.0,683.32,-56.03999999999999,-1.6399999999999997,57.28,0.72,10.53620617110799,0.42,2.66,0.09,0.0,0.0,1.1398694942903755,1.1321152800435024,4.171767264817837,4.334605764002177,0.0,9,2006,0.0,,408.6666666666667,36.78
