,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
1999-12-31,,,,,,,,49.5,,,148.89,375.0,437.82,1075.66,1558.77,3058.63,467.0,410.0,1058.34,341.55,1399.89,220.0,1658.74,,,,,,6.57,0.84,2.79,0.0,0.0,,,,,,9.3,9.0,0.0,1.02,0.6,12,1999,,22.02867383512545,61.46
2000-03-31,1703.14,159.32,7.24,3.25,429.01,236.41,410.19,66.0,1466.73,159.52,210.1,548.41,481.98,1374.68,1537.94,3356.63,578.31,476.88,1327.89,343.69,1671.58,220.0,1685.06,150.67,-204.96,51.03,173.78,2.28,8.62,0.99,7.24,3.25,0.45,19.0,0.0,37.8,0.0,46.6,9.81,9.35,0.0,1.04,0.67,3,2000,71.51795580110497,22.005524861878452,159.32
2000-06-30,1250.4999999999998,136.55,6.207447527630378,-0.0011457921548711767,384.08000000000004,213.92999999999998,267.54,66.0,1036.5700000000002,193.28,307.56,564.22,362.84,1399.41,1483.05,3127.56,469.58,405.77,1136.17,341.0,1477.17,220.0,1650.39,238.23,-25.289999999999992,-115.47,53.609999999999985,2.659688209447089,8.8,0.9,13.45,3.25,0.24,17.463926724574986,0.0,33.100233210531655,0.0,41.739892520363675,10.37,10.02,0.0,1.23,0.91,6,2000,-0.025204871736931977,21.997769516728628,295.87
2000-09-30,818.3000000000002,22.120000000000005,1.0051699738985505,0.0012492501985338106,172.78999999999996,27.930000000000007,107.89999999999998,61.0,790.3699999999999,-27.389999999999986,335.57,382.16,426.11,1340.28,1492.0,3081.36,384.0,372.07,1066.86,341.96,1408.82,220.0,1672.54,193.42000000000007,-86.57999999999998,-78.84,79.97000000000003,15.166340415913197,8.02,0.84,14.45,3.25,0.22,2.8715167143620874,0.0,5.289489606591403,0.0,6.605601434007359,8.79,8.43,0.0,1.26,0.86,9,2000,0.027491285164828128,22.006228373702424,317.99
2000-12-31,-3010.86,-256.55,-11.6499755859375,-3.247745373999784,-803.3199999999999,-383.94,-609.98,71.5,-2626.92,-251.13000000000002,155.91,391.0,571.07,1307.82,1522.32,3077.6,569.0,481.78,1300.96,42.69,1343.65,220.0,1733.95,-537.76,208.57,27.320000000000007,-226.04000000000002,-1.5345032157474174,9.07,0.77,2.79,0.0,0.0,-33.40494791666667,-51.27659505208333,-59.1267578125,-60.46295572916667,-88.69013671875,8.29,8.07,0.0,1.01,0.57,12,2000,-71.52024221453287,22.021505376344084,61.44
2001-06-30,594.2599999999999,102.07,4.638126720078282,7.249999999999999,167.96999999999997,149.44,155.35999999999999,61.0,444.8299999999999,125.19999999999999,92.89,550.81,696.38,1580.28,1465.57,3300.32,729.0,501.94,1485.8,42.14,1527.94,220.0,1772.38,-12.230000000000004,75.38,-54.67999999999999,5.920000000000002,3.287981532281768,7.57,0.86,7.43,7.25,0.98,12.360014678001345,18.927052779646505,23.04705767231362,23.84608892422482,33.5343428536481,12.47,12.06,0.0,1.06,0.59,6,2001,159.54878869448183,22.006729475100943,163.51
2001-09-30,920.0200000000002,-24.099999999999994,-1.0960045907754103,2.2441408771034017,159.58000000000004,-40.75,47.53000000000003,52.5,960.7600000000002,-96.18999999999998,116.51,435.63,545.03,1299.15,1472.36,3031.86,654.0,279.69,1291.62,41.48,1333.1,220.0,1698.76,240.90000000000003,-92.78,-124.5,88.28000000000002,-11.97421991701245,6.8,0.78,6.34,9.5,1.5,-3.180833512660497,-4.5914640269708045,-5.677096334552758,-5.718585467326589,-8.069636324510435,6.42,6.13,0.0,1.01,0.58,9,2001,49.34632171561282,21.98895899053628,139.41
2001-12-31,785.23,15.52000000000001,0.7052268766539732,0.007832070696015722,125.62,28.769999999999982,117.60999999999996,55.0,756.46,20.33999999999999,65.01,435.13,640.71,1376.78,1475.32,3110.73,794.0,391.75,1354.96,41.45,1396.42,220.0,1714.31,-101.51000000000002,-90.0,140.0,88.84,19.491032538659784,7.06,0.81,7.04,9.5,1.35,1.995471503259538,3.0012211966694653,3.6223016846317715,3.6022668301813745,5.289201574904799,5.25,5.06,0.0,1.02,0.54,12,2001,0.1723611808144483,22.007102272727273,154.93
2002-03-31,4216.56,155.74,7.08,9.5,804.17,221.18,577.4,59.0,3995.38,75.04,110.18,523.6,602.21,1455.9,1454.83,3167.36,644.0,495.8,1411.13,41.09,1452.22,220.0,1715.14,437.81,-286.57,-305.14,356.22,2.0825,7.57,0.85,7.08,9.5,1.34,19.68,0.0,36.32,0.0,50.36,3.83,3.69,0.0,1.03,0.6,3,2002,208.97316384180792,21.997175141242938,155.74
2002-06-30,-3099.92,-90.31,-4.099353507565337,-9.485714452241625,-595.31,-130.63,-396.42999999999995,58.5,-2969.3,10.259999999999991,87.17,508.87,535.94,1394.21,1389.61,3038.31,630.0,388.39,1217.82,39.89,1257.71,220.0,1780.6,-423.09,262.84,291.14,-265.8,-3.568184586424538,7.23,0.71,2.97,0.0,0.0,-11.870181873758213,-15.790102399510925,-20.26212440776402,-20.31733455601406,-27.439443680268987,5.92,5.86,0.0,1.14,0.7,6,2002,-208.97316384180792,22.03030303030303,65.43
