,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2012-05-31,,,,,,,,11.8,,,187.84,19005.8,359.45,,,0.0,5,2012,,,,,,,,,,,,
2012-08-31,431.90000000000003,,,,,,,13.6,139.57,-59.93,468.63,19064.36,393.27,547.3499999999985,-266.5600000000013,0.13,8,2012,,,,,,,,,,,,
2012-11-30,434.18999999999994,,,,,,,14.1,145.97,-62.43000000000001,412.64,18966.06,615.41,553.9600000000028,-609.9399999999987,0.46,11,2012,,,,,,,,,,,,
2013-02-28,589.72,,,,,,,15.7,177.64,-70.76999999999998,602.67,26751.68,432.56,-7354.84,7544.860000000001,0.0,2,2013,,,,,,,,,,,,
2013-05-31,-1187.1,,,,,,,15.4,-372.34,162.19,573.67,26692.47,427.53,24914.489999999998,-25546.15,0.18,5,2013,,,,,,,,,,,,
2013-08-31,607.86,,,,,,,12.4,208.91000000000003,-79.35,510.73,26630.83,421.33,391.66,-454.60999999999996,0.36,8,2013,,,,,,,,,,,,
2013-11-30,604.6100000000001,,,,,,,12.7,200.14999999999998,-72.31,551.37,26615.46,463.91,479.5799999999999,-438.93999999999994,0.53,11,2013,,,,,,,,,,,,
2014-02-28,620.3399999999997,,,,,,,12.7,211.95000000000005,-132.54,559.94,29090.5,2792.59,-1844.17,1852.7399999999998,0.16,2,2014,,,,,,,,,,,,
2014-05-31,-1771.0299999999997,,,,,,,12.9,-577.24,275.88,532.46,29131.44,2869.78,995.16,-979.91,0.35,5,2014,,,,,,,,,,,,
2014-08-31,692.48,,,,,,,13.9,248.47,-82.58999999999999,466.12,29088.57,2855.01,391.89,-458.23,0.53,8,2014,,,,,,,,,,,,
2014-11-30,683.1300000000001,,,,,,,12.8,246.18,-80.08000000000001,511.79,29367.9,3104.29,514.5200000000001,-468.8499999999999,0.72,11,2014,,,,,,,,,,,,
2015-02-28,696.9099999999999,,,,,,,13.3,274.5,-130.23000000000002,599.13,29585.76,3310.26,346.46000000000004,-259.1200000000001,0.19,2,2015,,,,,,,,,,,,
2015-05-31,-2041.16,,,,,,,13.2,-787.28,272.54,527.05,29509.92,3215.45,-1302.69,1191.42,0.37,5,2015,,,,,,,,,,,,
2015-08-31,702.71,,,,,,,13.2,214.43999999999997,-88.69999999999999,573.73,29622.13,3220.85,564.0799999999999,-517.3899999999999,0.57,8,2015,,,,,,,,,,,,
2015-11-30,714.2299999999998,,,,,,,13.3,205.53999999999996,-88.16000000000003,597.51,29629.22,3226.8,551.3900000000001,-527.62,0.78,11,2015,,,,,,,,,,,,
2016-02-29,732.0800000000004,,,,,,,14.9,190.98000000000002,-87.61000000000001,618.7,30043.59,3281.03,552.7,-531.51,0.22,2,2016,,,,,,,,,,,,
2016-05-31,-2116.67,,,,,,,16.3,-641.75,274.15000000000003,631.94,30051.6,3254.06,-1536.9900000000002,1530.65,0.44,5,2016,,,,,,,,,,,,
2016-08-31,731.9499999999999,,,,,,,17.5,189.79,-82.1,673.36,30339.76,3248.98,569.2400000000001,-527.8100000000001,0.65,8,2016,,,,,,,,,,,,
2016-11-30,727.0300000000002,,,,,,,18.1,179.09999999999997,-78.29000000000002,703.41,30397.97,3263.85,553.56,-523.51,0.87,11,2016,,,,,,,,,,,,
2017-02-28,744.1300000000001,,,,,,,17.1,175.7700000000001,-79.21000000000001,584.95,30909.45,3322.59,393.6199999999999,-512.0799999999999,0.21,2,2017,,,,,,,,,,,,
2017-05-31,-2199.0200000000004,,,,,,,16.8,-549.59,243.07000000000002,475.13,30956.83,3315.69,-1649.62,1573.55,0.43,5,2017,,,,,,,,,,,,
2017-08-31,745.55,,,,,,,16.5,186.91999999999996,-78.93,560.76,31231.66,3360.23,602.2,-516.5699999999999,0.64,8,2017,,,,,,,,,,,,
2017-11-30,746.8299999999999,,,,,,,17.3,189.76999999999998,-82.05000000000001,617.11,31327.04,3401.12,577.9599999999999,-521.6100000000001,0.85,11,2017,,,,,,,,,,,,
