,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,operating_profit,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2017-06-30,,,,,,,,11.0,,198.31,5.58,6233.17,1162.63,,,0.0,6,2017,,,,,,,,,,,,,
2017-09-30,164.25,,,,,,,11.5,66.11,269.48,1.18,5572.16,1202.14,150.0699999999997,-78.90000000000055,0.14,9,2017,,,,,,,,,,,,,
