,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2005-09-30,,,,,,,,,0.0,,137.91,0.0,31.28,1924.41,1029.85,250.0,894.56,,,,,,0.0,1.15,0.64,0.0,0.0,,,,,31.71,0.0,9,2005,,,,249.73437500000003,159.83
2005-12-31,119.87,31.519999999999982,0.12189600209041017,0.0,,41.91999999999999,46.870000000000005,6.35,0.0,77.94999999999999,631.41,0.0,30.94,2481.35,1097.76,325.0,1383.59,90.51999999999998,-4.529999999999999,407.5,4.950000000000003,13.021756027918789,1.49,0.79,0.74,0.0,0.0,5.080098249281418,0.0,9.112549777893907,0.0,30.67,0.0,12,2005,,0.0,,258.5810810810811,191.35
2006-03-31,187.27,70.82,0.22,0.0,,94.98,99.82,6.8,0.0,92.28,825.85,0.0,26.79,2125.77,671.37,325.0,1454.4,194.67,-0.22,0.0,4.84,7.7275,1.52,0.46,0.22,0.0,0.0,13.32,0.0,19.48,0.0,37.82,0.0,3,2006,,0.0,,321.9090909090909,70.82
2006-06-30,133.64000000000001,44.110000000000014,0.1343295919255199,0.12000000000000001,,59.36999999999999,64.14000000000001,5.6,0.0,74.28,785.6,0.0,25.95,2318.54,859.02,325.0,1459.52,-1.1499999999999773,-0.1,-39.0,4.77,10.422126501926998,1.25,0.59,0.35,0.12,0.34,7.614568868006614,0.0,12.081987296615335,0.0,35.81,0.0,6,2006,,39.40457142857144,,328.3714285714286,114.93
2006-09-30,127.09999999999997,40.51999999999998,0.12511804438726273,-0.001673813352938508,,54.20000000000002,59.04999999999998,5.05,0.0,72.9,996.57,0.0,22.36,2320.24,820.2,325.0,1500.04,219.98,-9.01,0.0,4.850000000000001,10.089671767028632,1.09,0.55,0.48,0.12,0.25,6.9857574782888365,10.249253136056605,10.80185783210035,13.533601801222252,34.7,0.0,9,2006,,-0.5420714285714396,,323.85416666666663,155.45
2006-12-31,139.89999999999998,48.23000000000002,0.14917959544383352,-0.00020510113904162951,,64.87,69.40000000000003,4.52,0.0,75.03,1039.8,0.0,18.77,2782.84,1234.57,325.0,1548.26,43.420000000000016,-0.1899999999999995,0.0,4.529999999999998,7.569902550279906,0.95,0.8,0.63,0.12,0.19,6.933299293008644,9.841117439120191,12.464783974862534,13.156219560094272,34.64,0.0,12,2006,,-0.06630952380952237,,323.3015873015873,203.68
2007-03-31,89.13,22.74,0.07,0.0,,30.73,33.52,4.46,0.0,58.39,1201.03,0.0,19.65,1854.35,283.35,325.0,1571.0,164.71,-3.48,0.0,2.79,15.9275,0.92,0.18,0.07,0.0,0.0,4.92,6.160000000000001,5.799999999999999,6.0,25.51,0.0,3,2007,,0.0,,324.8571428571428,22.74
2007-06-30,114.52000000000001,33.60000000000001,0.10138445154419597,0.12000000000000001,,44.849999999999994,48.27,5.1,0.0,69.67999999999999,979.19,0.0,17.28,2166.16,600.56,325.0,1565.61,-186.86,4.02,-39.0,3.42,12.575892857142854,1.06,0.38,0.17,0.12,0.71,6.202342917997872,8.03919062832801,8.58785942492013,8.8741214057508,27.67,0.0,6,2007,,39.769411764705886,,331.4117647058824,56.34
2007-09-30,181.08,70.74,0.21709631728045325,-0.0020496583902683252,,94.72000000000001,97.23,5.4,0.0,86.36000000000001,1105.51,0.0,26.86,2910.81,1274.46,325.0,1636.35,137.78,-11.46,0.0,2.5100000000000007,6.220165394402036,1.07,0.78,0.39,0.12,0.31,9.730368271954674,14.495354107648724,17.300906515580735,18.035694050991502,33.03,0.0,9,2007,,-0.6678733031674327,,325.8461538461538,127.08
2007-12-31,151.19999999999993,49.95,0.15236400610066092,0.0007273864925110613,,67.11999999999998,69.54999999999998,5.1,0.0,84.07,752.2,0.0,27.49,2227.1,540.8,325.0,1686.3,-350.54999999999995,-2.76,0.0,2.4299999999999997,8.36418018018018,0.98,0.32,0.54,0.12,0.22,8.97254702592781,10.699339095068632,11.850533807829182,12.358413828164718,33.03,0.0,12,2007,,0.23846153846154294,,327.8333333333333,177.03
2008-03-31,127.61,36.28,0.11,0.0,,48.99,51.33,5.1,0.0,78.62,882.17,0.0,26.15,2126.95,404.37,325.0,1722.58,136.72,-6.74,0.0,2.34,11.59,0.96,0.23,0.11,0.0,0.0,6.84,9.84,8.44,8.8,28.43,0.0,3,2008,,0.0,,329.8181818181818,36.28
2008-06-30,122.04,33.66,0.10587932513583072,0.11,,45.57999999999999,48.58,4.6,0.0,76.46000000000001,756.19,0.0,25.85,2057.68,337.18,325.0,1720.49,-90.03,0.1800000000000006,-36.14,3.0,10.86189393939394,0.87,0.2,0.22,0.11,0.5,6.545267372033171,8.62435230197312,7.835070060051472,8.200835001429796,28.02,0.0,6,2008,,34.97,,317.9090909090909,69.94
