,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2008-03-31,537.1,7.76,0.04,0.0,39.0,11.52,17.47,1.24,2.27,525.58,12.14,56.69,181.28,44.12,632.86,298.3,1046.73,75.39,276.98,2.42,520.59,13.79,534.38,200.0,512.35,47.63,-2.83,-13.03,5.95,7.75,0.48,1.04,0.04,0.0,0.0,2.96,4.52,6.04,6.2,8.76,1.45,1.44,1.22,1.13,3,2008,0.0,194.0,7.76
2008-06-30,469.26,7.26,0.03866844207723036,0.0,29.25,9.309999999999999,15.46,1.05,2.27,459.9599999999999,0.009999999999999787,35.23,154.91,145.67,635.48,300.44,1046.77,75.15,276.96,2.4,513.96,13.19,527.15,200.0,519.62,-12.450000000000003,-8.13,-0.8800000000000008,6.1499999999999995,6.791067493112948,0.4,1.01,0.08,0.0,0.0,2.7647936085219706,3.905512649800266,5.587589880159787,5.722929427430093,7.559680426098535,1.51,1.49,1.24,0.95,6,2008,0.0,187.75,15.02
2008-09-30,576.89,14.57,0.07385941196350118,0.0,71.58000000000001,28.79,38.23,0.96,13.63,548.0900000000001,41.980000000000004,110.18,195.4,180.57,726.62,301.03,1184.5,134.54,208.69,2.4,637.72,12.58,650.31,200.0,534.19,23.009999999999998,-6.84,58.790000000000006,9.44,3.249416609471517,0.36,1.22,0.15,0.0,0.0,4.923960797566746,9.040392024332546,10.911497127407909,11.266022304832713,17.864129773572152,1.88,1.87,1.14,0.86,9,2008,0.0,197.26666666666668,29.59
2008-12-31,555.8600000000001,10.919999999999998,0.0539126141693409,0.0,53.19999999999999,19.65,29.200000000000003,0.77,6.46,536.21,15.990000000000002,69.66,175.54,96.06,626.16,296.11,1110.37,128.38,182.52,2.38,553.26,12.01,565.27,200.0,545.11,-2.1299999999999955,-31.679999999999996,-6.720000000000006,9.55,3.570592948717949,0.28,1.04,0.2,0.0,0.0,3.9356208343618855,7.267420390027153,8.011414465564057,8.324107627746233,13.402675882498146,1.9,1.89,1.13,0.96,12,2008,0.0,202.54999999999998,40.51
2009-03-31,443.24,2.76,0.009999999999999998,0.0,31.92,8.32,14.45,0.76,0.52,434.91,8.15,19.49,258.98,65.71,552.92,291.13,1105.62,108.03,173.65,2.29,546.25,11.5,557.75,200.0,547.87,22.64,-51.85,-20.96,6.13,19.0,0.28,1.02,0.01,0.0,0.0,1.0,3.08,2.0,2.08,5.96,0.62,0.62,1.01,0.89,3,2009,0.0,276.0,2.76
2009-06-30,374.15999999999997,5.01,0.025791505791505794,0.05,18.25,5.8100000000000005,11.650000000000002,0.89,-7.01,368.34999999999997,-5.130000000000001,29.28,211.29,58.82,482.94,288.74,1027.27,56.2,192.98,2.2,473.4,10.99,484.39,200.0,542.88,76.02,-3.789999999999999,-62.440000000000005,5.840000000000001,8.62687125748503,0.33,0.89,0.04,0.05,1.25,1.9601544401544402,3.507644787644788,3.688185328185328,3.7655598455598454,6.576833976833977,0.96,0.95,1.02,0.9,6,2009,9.712499999999999,194.24999999999997,7.77
2009-09-30,458.86,7.290000000000001,0.03872509960159363,-0.0015936254980079625,38.25,12.790000000000001,18.72,1.32,0.23,446.0799999999999,13.850000000000001,36.67,170.36,134.92,578.73,289.5,1024.8,21.53,193.94,2.1,464.15,10.48,474.63,200.0,550.17,12.27000000000001,30.38,-35.269999999999996,5.929999999999998,8.521604938271604,0.48,0.86,0.08,0.05,0.63,2.846294820717132,4.724462151394423,5.305338645418328,5.382788844621514,9.29402390438247,1.19,1.18,1.25,0.96,9,2009,-0.29999999999999893,188.25,15.06
2009-12-31,376.9200000000001,-2.4700000000000006,-0.011771247021445594,0.005142970611596509,40.07000000000001,1.759999999999998,7.719999999999999,1.43,0.0,375.1600000000001,-0.46000000000000085,54.18,186.0,133.82,652.45,288.56,1130.92,51.7,146.99,2.04,561.54,21.68,583.22,200.0,547.69,-1.5600000000000023,-19.52,38.60000000000001,5.960000000000001,-30.366366396761126,0.52,1.06,0.06,0.05,0.83,-0.8710722795869741,-2.008959491660048,-1.8049245432883245,-1.8049245432883245,-3.95513899920572,0.76,0.76,1.16,0.92,12,2009,1.0791666666666675,209.83333333333334,12.59
2010-03-31,414.12,12.55,0.06,0.0,49.11,22.12,29.32,1.58,1.0,392.01,19.25,26.75,173.78,233.75,683.0,285.25,1183.42,61.26,132.64,2.04,568.23,53.94,622.17,201.0,561.25,-87.63,17.15,43.05,7.2,6.5825,0.57,1.11,0.06,0.0,0.0,4.24,7.72,8.96,9.04,14.399999999999999,3.07,3.03,1.2,0.79,3,2010,0.0,209.16666666666669,12.55
2010-06-30,435.61,12.21,0.059176090468497575,0.05,54.39,21.029999999999998,25.35,2.56,1.0,414.57000000000005,22.82,59.81,155.91,253.03,757.33,285.68,1225.26,38.05,170.12,2.04,577.2,84.01,661.21,201.65,564.05,20.61999999999999,14.760000000000002,-2.3299999999999983,4.319999999999999,10.813488943488943,0.92,1.17,0.12,0.05,0.42,3.984523424878837,7.55481421647819,8.659434571890145,8.817237479806138,13.137092084006461,2.93,2.91,1.31,0.87,6,2010,10.316666666666668,206.33333333333334,24.76
