,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-03-31,2826.21,415.84,0.83,0.0,564.39,432.38,445.31,,2393.84,417.15,267.07,50.01,10.22,2543.78,84.03,2726.59,0.0,437.97,1574.79,88.38,1663.17,500.0,1063.42,659.4,-388.01,-250.0,12.93,0.0,0.0,1.56,0.83,0.0,0.0,61.0,0.0,156.4,0.0,150.16,14.79,14.71,0.0,1.62,1.61,3,2013,0.0,501.0120481927711,415.84
2013-06-30,2618.2799999999997,260.14000000000004,0.5118290481966923,0.0,422.94000000000005,269.9,282.67,27.0,2348.37,250.04000000000008,240.88,57.14,12.26,5735.4,83.76,5926.13,0.0,438.82,1319.4,115.69,1435.09,625.0,4491.04,-16.50999999999999,-3180.8500000000004,3167.49,12.77,13.187508649188896,3.76,0.32,1.33,0.0,0.0,17.56381786443386,0.0,23.166999023639757,0.0,23.459472765466437,12.5,12.42,0.0,4.35,4.34,6,2013,0.0,508.25563909774434,675.98
2013-09-30,2771.210000000001,244.60000000000002,0.44637945642964216,0.54,374.03999999999985,248.43000000000006,260.63,23.3,2522.7799999999997,199.28999999999996,597.31,56.5,12.07,6033.28,91.15,6242.52,0.0,425.42,1714.62,129.76,1844.38,625.0,4398.14,297.23,60.370000000000346,0.0,12.2,13.050331766148814,3.31,0.42,1.68,0.54,0.32,15.676421386517198,0.0,22.244576245410503,0.0,22.318972821482113,11.32,11.21,0.0,3.52,3.51,9,2013,295.90071428571434,547.9642857142858,920.58
2013-12-31,3099.029999999999,145.51999999999987,0.2566153268924114,0.018197783643989357,340.0100000000002,148.77999999999997,161.66999999999996,19.0,2950.25,98.03999999999996,565.43,41.41,10.93,6024.04,92.59,6271.65,0.0,410.53,1580.77,147.47,1728.24,625.0,4543.42,197.88,97.02999999999975,-337.5,12.89,18.516820711929647,2.61,0.38,1.88,0.54,0.29,9.281830972704242,0.0,12.808926742331854,0.0,12.798006941187495,9.54,9.42,0.0,3.81,3.8,12,2013,10.319498480243112,567.0744680851063,1066.1
2014-03-31,3136.08,40.94,0.07,0.48999999999999994,186.21,50.23,62.92,18.8,3085.85,10.24,600.76,49.91,9.87,6163.89,110.01,6426.19,0.0,445.26,1687.75,154.08,1841.84,625.0,4584.35,83.26,-44.58,0.0,12.69,67.1425,2.56,0.4,0.07,0.49,7.0,2.5599999999999996,4.4,3.56,5.8,4.24,1.32,1.31,0.0,3.65,3.65,3,2014,286.5799999999999,584.8571428571428,40.94
2014-06-30,2827.3900000000003,-159.63,-0.2555371134889207,0.031240205577555025,-5.409999999999997,-167.91,-154.43,17.1,2995.2999999999997,-196.58,322.15,48.97,13.58,4856.39,160.94,6240.64,500.0,370.62,1943.71,173.4,2117.11,625.0,4118.48,-1756.46,1276.6399999999999,198.9,13.480000000000002,-16.729468145085512,2.6,0.51,-0.19,0.49,-2.58,-10.221484539556828,-10.382876400707726,-15.49361867048614,-14.84805122588255,-14.740456651781955,-2.01,-1.99,0.0,2.5,2.49,6,2014,19.515263157894765,624.6842105263157,-118.69
2014-09-30,2769.8900000000003,-372.44,-0.5990829311994788,-0.002365072169765296,-210.20000000000002,-430.31,-414.59000000000003,15.8,3200.2000000000007,-449.76,369.5,43.44,17.87,4191.58,235.96,5722.71,0.0,519.73,1733.01,188.69,1921.7,625.0,3746.04,-754.5899999999999,1193.2400000000002,-393.28,15.719999999999999,-6.593411019224574,2.64,0.51,-0.79,0.49,-0.62,-26.025982530083684,-27.785314682466964,-39.766973306456535,-36.58197544438337,-41.67797202370045,-5.68,-5.62,-241.41,2.42,2.41,9,2014,-1.470326449033962,621.6835443037975,-491.13
2014-12-31,3579.5699999999997,19.46999999999997,0.03095980155196535,0.005607211695616472,31.16,-115.89999999999998,-87.70999999999992,13.1,3695.4699999999993,-181.19999999999993,2926.61,86.49,17.46,5184.29,253.83,6569.0,0.0,541.41,1988.64,231.01,2219.65,625.0,3771.12,-22.409999999999854,292.5999999999999,652.5,28.189999999999998,105.80251926040077,2.17,0.59,-0.75,0.49,-0.65,1.18555400076326,1.7073298562523824,2.065637959547128,1.874099987278969,2.392573463935882,-3.88,-3.83,-292.46,2.61,2.6,12,2014,3.526263291139287,628.88,-471.66
2015-03-31,3647.23,1.79,0.01,0.0,60.45,-164.69,-145.51,11.1,3811.92,-178.41,3322.56,578.43,16.15,5549.5,251.54,6843.49,0.0,1984.6,2151.78,261.98,2413.76,625.0,3772.91,-138.79,291.82,245.0,19.18,277.5,1.84,0.64,0.01,0.0,0.0,0.12,-9.92,0.2,0.16,-14.04,0.05,0.05,0.0,2.58,2.57,3,2015,0.0,179.0,1.79
2015-06-30,3356.3300000000004,-150.1,-0.24289663542579729,0.0,-345.77,-458.08,-438.69000000000005,9.95,3814.41,-556.6600000000001,3196.52,578.7,19.8,5153.69,253.64,6358.55,0.0,1876.33,2051.75,325.07,2376.82,625.0,3622.81,-37.54000000000002,-114.57999999999998,10.0,19.39,-10.24139340439707,1.72,0.66,-0.24,0.0,0.0,-9.432486009035129,-40.03746207268559,-16.55745398152518,-15.50490189468006,-58.538089137617156,-2.15,-2.12,0.0,2.51,2.5,6,2015,0.0,617.9583333333334,-148.31
2015-09-30,3296.5199999999995,-423.54,-0.6739903820932063,0.0,-616.29,-652.74,-631.1499999999999,7.0,3949.25,-902.13,3153.98,1277.9,18.99,5490.5,278.25,6464.23,0.0,2574.35,2746.98,388.13,3135.11,625.0,3199.27,-65.30999999999997,-46.22,0.0,21.589999999999996,-2.5956972777069467,1.37,0.98,-0.91,0.0,0.0,-26.21896651219725,-62.00711515257498,-52.94157418903559,-48.793941068462004,-101.64663740491388,-5.75,-5.55,0.0,2.0,1.99,9,2015,0.0,628.4065934065934,-571.85
