,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,613.68,89.85,2.6,0.0,192.96,128.82,156.96,75.0,484.86,121.66,174.27,162.0,474.25,1167.4,552.78,1758.45,20.06,123.44,355.52,0.29,355.81,345.0,1394.51,64.04,-8.21,10.89,28.14,7.212500000000001,1.86,0.26,2.6,0.0,0.0,20.44,0.0,25.76,0.0,36.72,14.82,14.64,0.0,3.28,1.95,3,2000,0.0,34.55769230769231,89.85
2000-06-30,628.68,113.45000000000002,3.2868691588785044,0.0,198.53,122.89000000000001,150.34,75.0,505.78999999999996,112.36000000000001,203.06,183.88,475.9,1118.0,539.5,1695.61,12.28,116.76,301.93,0.29,302.21,345.0,1385.09,26.659999999999997,130.35,-130.65,27.450000000000003,5.702972675187306,1.87,0.22,5.89,0.0,0.0,26.76370880472209,0.0,32.76824397442204,0.0,40.31297589768815,16.6,16.36,0.0,3.7,2.13,6,2000,0.0,34.51612903225807,203.3
2000-09-30,590.51,86.93,2.518972194466458,3.56,181.93999999999994,123.64000000000001,152.25,50.0,466.87,107.78,193.21,202.96,481.36,1181.27,531.05,1721.12,2.22,153.24,240.04,0.29,240.32,345.0,1472.0,69.8,-70.08,-10.059999999999988,28.61,4.966261647302428,1.17,0.16,8.41,3.56,0.42,20.19970092685112,0.0,23.62622196189229,0.0,30.359455604176,16.13,15.83,0.0,4.92,2.92,9,2000,122.85598097502974,34.51010701545779,290.23
2000-12-31,587.6500000000001,82.85999999999996,2.4008057037176007,0.00034105888640348315,158.86,102.85999999999996,130.14000000000004,50.0,484.78999999999996,86.56,129.98,175.1,473.87,1242.87,523.67,1773.99,3.32,106.75,209.21,0.25,209.46,345.0,1554.85,89.22999999999999,-156.97,1.0999999999999943,27.28,5.211823256094619,1.11,0.13,10.81,3.56,0.33,18.68231043447961,0.0,21.32075370554021,0.0,27.14842638505453,15.74,15.41,0.0,5.94,3.68,12,2000,0.01177110637634371,34.513413506012945,373.09
2001-03-31,654.71,65.52,1.8999999999999997,0.0,158.82,94.85,122.54,59.0,559.87,77.08,251.55,193.39,533.63,1377.77,514.55,1898.73,2.79,129.54,267.83,0.25,268.09,345.0,1620.37,88.48,33.96,-0.56,27.69,7.7625,1.26,0.17,1.9,0.0,0.0,13.8,20.76,16.16,17.4,23.28,10.29,10.01,0.0,5.14,3.15,3,2001,0.0,34.48421052631579,65.52
2001-06-30,598.3499999999999,63.55,1.8414581234988767,0.0,157.94,90.22,118.2,59.0,508.13,82.35000000000001,228.17,164.97,504.65,1293.56,544.24,1843.29,19.69,136.91,304.16,0.25,304.42,345.0,1528.69,174.94,-57.63,-138.25,27.98,8.012291896144767,1.33,0.2,3.74,0.0,0.0,13.786317502130627,20.60069729604091,16.622359959711783,17.449539009839622,23.673076625087162,10.52,10.3,0.0,4.25,2.59,6,2001,0.0,34.51069518716577,129.07
2001-09-30,559.8400000000001,52.98000000000002,1.5365800604229614,4.5,135.87,75.82999999999998,103.27999999999997,42.0,484.0,58.91,146.54,191.84,564.72,1323.3,528.99,1858.25,7.16,151.49,265.87,0.25,266.12,345.0,1581.65,-37.24000000000001,-31.439999999999998,-12.639999999999986,27.450000000000003,6.829452151755378,0.92,0.17,5.28,4.5,0.85,11.407942872837138,16.972225212853616,13.39851249656688,13.875783575940678,19.067561658884927,10.29,10.04,0.0,4.98,2.85,9,2001,155.15625,34.479166666666664,182.05
2001-12-31,612.9200000000001,51.75999999999999,1.5009315255977074,0.0007939138616821252,144.40999999999997,73.72000000000003,102.14000000000004,42.0,539.19,64.99999999999997,167.02,221.85,521.02,1356.68,520.46,1887.39,3.08,124.32,239.79,3.54,243.32,345.0,1633.42,78.29000000000002,-53.03,-4.0400000000000205,28.42,6.990358867851625,0.89,0.15,6.78,4.5,0.66,10.971410974723064,16.187037338009493,12.671581198408964,12.990363115350068,17.984613147427392,9.85,9.64,0.0,5.66,3.48,12,2001,0.027378318584055705,34.485250737463126,233.81
2002-03-31,586.42,57.9,1.68,0.0,140.03,80.05,110.87,49.0,506.37,70.12,684.62,145.92,420.12,1449.96,521.94,1977.81,1.97,129.72,270.42,5.3,275.73,345.0,1691.38,303.05,118.05,-1.11,30.82,7.2925,1.0,0.16,1.68,0.0,0.0,11.72,16.52,13.68,14.0,18.76,10.04,9.87,0.0,5.36,3.81,3,2002,0.0,34.464285714285715,57.9
2002-06-30,605.5600000000001,73.82,2.140847251746128,3.0,159.19000000000003,104.81000000000002,134.32999999999998,50.0,500.75,91.47,581.38,160.98,506.67,1452.54,514.52,1974.93,1.5,172.66,292.88,9.5,302.38,345.0,1661.72,17.870000000000005,-19.349999999999994,-103.97,29.520000000000003,5.839253589813059,1.04,0.18,3.82,3.0,0.79,14.952304889158821,21.699896750683266,17.776878226541147,18.516647433950805,24.63655633161251,11.27,11.05,0.0,4.96,3.23,6,2002,103.44502617801047,34.481675392670155,131.72
2002-09-30,587.0999999999999,72.57,2.1029634343335455,0.0023273044504285544,150.55999999999995,100.38999999999999,130.52000000000004,50.0,486.7099999999999,81.07999999999998,399.84,215.49,523.43,1496.61,503.83,2008.28,5.41,143.28,250.08,12.28,262.36,345.0,1734.26,-19.640000000000043,-168.48000000000002,3.9200000000000017,30.129999999999995,5.946846148546231,0.99,0.15,5.92,3.0,0.51,14.450769004846052,20.958588281364726,16.738452200303488,17.50574966958735,23.047342503304126,11.77,11.48,0.0,5.98,3.89,9,2002,0.0803116598273732,34.508445945945944,204.29
2002-12-31,634.0,55.349999999999994,1.6052437991064552,-0.00241023693929693,178.79000000000008,110.43,139.73000000000002,50.0,523.5800000000002,91.09,114.84,202.67,529.86,1556.8,490.9,2056.03,1.74,133.66,238.16,15.26,253.41,345.0,1789.63,86.66000000000003,-365.35,-3.680000000000007,29.299999999999997,7.786854561878952,0.96,0.14,7.53,3.0,0.4,10.769842859343708,17.11407333230627,12.372954860576181,12.93574949930673,18.56369588661223,11.04,10.76,0.0,6.54,4.31,12,2002,-0.08310676214064472,34.480743691899065,259.64
2003-03-31,689.04,96.76,2.7999999999999994,0.0,186.33,135.4,164.66,50.0,553.64,119.36,275.46,174.18,552.09,1726.34,469.56,2203.74,0.26,142.21,287.44,16.32,303.75,345.0,1886.4,167.91,-7.57,-1.48,29.26,4.465,0.91,0.16,2.8,0.0,0.0,17.56,25.92,20.52,21.64,28.28,14.38,14.04,0.0,6.01,4.09,3,2003,0.0,34.557142857142864,96.76
2003-06-30,571.25,79.52,2.305123666893578,3.25,160.62999999999997,107.72,137.63000000000002,60.0,463.52,91.35000000000001,309.64,118.49,560.67,1637.77,476.31,2129.64,3.1,122.82,244.32,17.68,262.01,345.0,1853.82,128.79999999999998,15.190000000000001,-109.28,29.91,6.506310362173038,1.12,0.14,5.11,3.25,0.64,14.940449285228043,21.382164737916945,17.159863852961198,18.09815293850692,23.276786929884274,14.36,13.99,0.0,6.7,4.41,6,2003,112.11545988258317,34.49706457925636,176.28
2003-09-30,500.45000000000005,31.919999999999987,0.9244841498559075,0.0028519544093341797,108.80000000000001,42.18000000000001,73.0,88.0,458.2800000000001,33.75,145.94,94.06,686.66,1616.01,476.07,2158.57,0.8,148.58,239.75,19.35,259.1,345.0,1885.85,-129.79,-30.28,-2.309999999999988,30.819999999999993,23.791024436090233,1.61,0.14,6.03,3.25,0.54,5.917925072046108,8.395481268011524,6.7703515850144065,7.0524495677233405,9.119123919308354,12.11,11.82,0.0,6.74,3.88,9,2003,0.09847046567551843,34.5273631840796,208.2
2003-12-31,641.6499999999999,51.69,1.4976555465773982,-0.0012635942990803064,137.43000000000006,73.99000000000001,98.62,78.0,567.6599999999999,52.41999999999999,403.73,137.75,660.45,1611.76,514.57,2185.34,18.76,113.25,213.08,20.51,233.59,345.0,1937.77,51.09,187.60999999999999,18.08999999999999,24.63000000000001,13.022153221125944,1.39,0.12,7.53,3.25,0.43,9.45929585593905,13.476911000808036,10.668558236176844,11.090208934549231,14.495237215745123,11.11,10.82,0.0,7.56,4.46,12,2003,-0.04361162315909439,34.513944223107565,259.89
2004-03-31,651.16,42.86,1.24,0.0,138.4,63.76,88.53,78.0,587.4,54.96,856.32,128.75,592.75,1686.78,541.52,2287.41,31.2,134.26,273.2,20.42,293.61,345.0,1980.45,193.16,248.53,12.12,24.77,15.725,1.36,0.15,1.24,0.0,0.0,7.48,11.36,8.64,8.88,12.68,6.68,6.58,0.0,6.17,4.0,3,2004,0.0,34.564516129032256,42.86
2004-06-30,662.9599999999999,44.5,1.2887477106227105,3.25,127.48999999999998,64.56,90.13,69.5,598.41,52.12,330.2,133.64,646.6,1569.98,568.16,2197.24,5.08,143.77,250.9,20.8,271.7,345.0,1912.83,11.060000000000002,-399.65999999999997,-138.06,25.570000000000004,13.481905617977528,1.25,0.14,2.53,3.25,1.28,8.109432234432234,12.08264652014652,9.31158424908425,9.454212454212454,13.427426739926739,6.76,6.65,0.0,6.26,3.68,6,2004,112.22134387351778,34.5296442687747,87.36
2004-09-30,650.24,50.040000000000006,1.4494847161572053,-0.0006619258850123245,134.62,65.27000000000001,92.27000000000001,70.0,584.96,50.540000000000006,246.02,127.76,760.51,1594.21,580.54,2230.09,0.29,140.66,232.88,21.56,254.44,345.0,1962.88,-41.46000000000001,-37.900000000000006,-4.780000000000001,27.0,12.074670263788967,1.23,0.13,3.98,3.25,0.82,8.973694323144105,12.848698689956333,10.197379912663756,10.401327510917032,14.116087336244542,7.13,6.99,0.0,6.85,3.58,9,2004,-0.022851411206204375,34.52261306532664,137.4
