,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2005-03-31,35.84,3.81,0.38,1.4,,3.81,3.81,24.9,0.0,11.4,119.67,0.0,38.81,423.31,137.05,100.0,286.25,-5.54,-2.75,0.0,16.3825,8.7,0.48,0.38,1.4,3.68,3.6,3.52,5.32,5.2,10.63,3,2005,,,14.036842105263158,,10.026315789473685,3.81
2005-06-30,34.61999999999999,5.34,0.5310819672131147,0.003986194995685699,,5.729999999999999,5.729999999999999,24.9,0.0,10.520000000000001,150.2,0.0,38.13,407.96,122.55,100.0,285.41,-9.8,39.03,-2.5,11.720224719101124,8.72,0.43,0.91,1.4,1.54,5.229114754098361,5.229114754098361,7.493508196721311,7.423475409836065,12.99,6,2005,,,0.04008097165991664,,10.054945054945055,9.15
2005-09-30,22.02000000000001,-10.52,-1.0750364963503651,0.21148231330713077,,-9.479999999999999,-9.479999999999999,25.0,0.0,16.08,143.32,0.0,37.56,397.7,124.42,100.0,273.28,-13.190000000000001,-27.700000000000003,0.0,-5.813709600760457,9.15,0.46,-0.14,1.65,-11.79,-10.443211678832116,0.3071532846715328,-15.357664233576642,-15.357664233576642,-1.48,9,2005,,,2.069505494505494,,9.785714285714285,-1.37
2005-12-31,23.0,2.12,0.1978666666666667,0.14300000000000013,,0.69,0.69,25.0,0.0,12.5,170.96,0.0,38.99,391.71,115.09,100.0,276.62,-3.2099999999999973,38.27,0.0,31.586674528301888,9.04,0.42,0.07,1.65,23.57,2.1482666666666668,2.0352,3.0528000000000004,3.0528000000000004,0.65,12,2005,,,1.5321428571428584,,10.714285714285714,0.75
2006-03-31,24.81,3.9,0.39,0.0,,4.87,4.87,27.0,0.0,11.35,184.29,0.0,39.21,397.78,118.08,100.0,279.7,2.49,0.84,0.0,17.3075,9.65,0.42,0.39,0.0,0.0,3.92,4.76,5.56,5.52,15.72,3,2006,,,0.0,,10.0,3.9
2006-06-30,26.3,-0.8599999999999999,-0.08486842105263155,0.0,,0.05999999999999961,0.05999999999999961,15.0,0.0,11.290000000000001,209.69,0.0,38.52,408.45,135.91,100.0,272.54,5.609999999999999,19.51,0.0,-44.186046511627914,5.5,0.5,0.3,0.0,0.0,-0.8373684210526314,-1.3692105263157892,-1.2673684210526315,-1.233421052631579,5.95,6,2006,,,0.0,,10.133333333333335,3.04
2006-09-30,31.189999999999998,-20.58,-2.053306727480045,0.0,,-18.189999999999998,-18.189999999999998,14.3,0.0,13.79,235.63,0.0,38.71,452.04,195.32,100.0,256.72,15.410000000000002,46.93,0.0,-1.7407896015549076,5.57,0.76,-1.75,0.0,0.0,-18.209897377423033,-14.643010262257697,-32.05505131128849,-31.06946408209806,-21.31,9,2006,,,0.0,,10.022857142857143,-17.54
2006-12-31,27.28,-6.940000000000001,-0.6945669934640525,0.0,,-11.22,-11.22,15.0,0.0,8.399999999999999,247.14,0.0,38.88,471.41,223.42,100.0,247.99,11.719999999999995,-54.44,0.0,-5.3968876080691635,6.05,0.9,-2.45,0.0,0.0,-5.885392156862747,-6.429705882352942,-11.192450980392158,-10.580098039215688,-22.34,12,2006,,,0.0,,9.991836734693877,-24.48
2007-03-31,33.11,1.87,0.19,0.0,,1.87,1.87,21.0,0.0,11.03,274.75,0.0,38.13,474.13,226.08,100.0,248.06,10.1,-31.69,0.0,27.6325,8.47,0.91,0.19,0.0,0.0,1.56,1.72,3.0,2.84,5.65,3,2007,,,0.0,,9.842105263157896,1.87
2007-06-30,33.39,7.06,0.7036282194848824,0.0,,7.06,7.06,23.0,0.0,10.890000000000002,275.67,0.0,37.7,486.27,226.54,100.0,259.73,2.620000000000001,42.010000000000005,0.0,8.171076487252124,8.86,0.87,0.89,0.0,0.0,5.818768197088466,6.324748040313549,10.878566629339305,10.625576707726763,13.43,6,2007,,,0.0,,10.03370786516854,8.93
