,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,month,year,dividend,ROCE%,number_of_shares,return_old
2015-03-31,333.55,36.89,0.12,0.0,62.0,49.98,54.49,19.5,104.18,62.0,25.95,1.0,39.62,2545.35,1826.73,300.0,718.62,-396.67,-9.77,404.5,4.51,40.625,8.14,2.54,0.12,0.0,0.0,5.8,11.2,20.52,21.84,3,2015,0.0,,307.4166666666667,36.89
2015-06-30,327.25999999999993,18.939999999999998,0.06106394411606662,0.19,32.129999999999995,19.089999999999996,24.059999999999995,15.4,131.0,32.129999999999995,33.07,1.32,38.87,2673.89,1042.55,370.0,1631.34,-134.71999999999997,-2.610000000000001,144.46000000000004,4.970000000000001,63.05193769799367,3.49,0.64,0.18,0.19,1.06,2.8360809600573162,5.007243417517463,4.640859752821063,6.676324556689951,6,2015,58.93166666666667,,310.1666666666667,55.83
2015-09-30,348.21000000000004,21.72,0.06441779497098646,0.015218783580485682,28.08,31.570000000000007,36.81,15.0,139.04000000000002,28.08,39.37,1.33,48.58,3373.97,1720.91,370.0,1653.06,-398.43000000000006,-13.949999999999998,418.66999999999996,5.24,58.216056629834256,3.36,1.04,0.23,0.19,0.83,2.576711798839458,4.268379110251451,5.254251450676983,7.584495164410057,9,2015,5.131376811594194,,337.17391304347825,77.55
2015-12-31,382.25,17.090000000000003,0.048756339814032136,0.007233498107243935,1.7900000000000063,18.989999999999995,25.260000000000005,12.2,172.72000000000003,1.7900000000000063,44.19,4.47,52.18,3739.87,2071.24,370.0,1668.63,-496.17999999999995,-18.300000000000004,519.3000000000001,6.269999999999998,62.562633118782905,2.71,1.24,0.27,0.19,0.7,1.8274598478444635,2.896487743026205,4.095532544378699,5.814644970414203,12,2015,2.5354750402576514,,350.5185185185185,94.64
2016-03-31,420.16,-15.22,-0.04,0.0,-35.52,-1.54,5.16,11.6,228.61,-35.52,42.38,19.81,49.72,3968.04,2314.63,370.0,1653.4,-196.66,-51.46,246.3,6.7,-72.5,2.6,1.4,-0.04,0.0,0.0,-1.52,-0.2,-3.68,-5.12,3,2016,0.0,,380.5,-15.22
2016-06-30,449.75999999999993,35.18,0.08812625250501002,0.16,38.67,44.199999999999996,50.870000000000005,11.5,163.89999999999998,38.67,57.13,25.04,47.6,4627.72,2998.33,370.0,1629.39,-623.6700000000001,-8.350000000000001,646.79,6.669999999999999,32.62364980102331,2.61,1.84,0.05,0.16,3.2,3.0315430861723445,8.248617234468938,8.601122244488979,8.601122244488979,6,2016,63.872,,399.2,19.96
2016-09-30,529.0000000000001,51.49,0.1369223233030091,-0.009848565430370868,7.57,59.93000000000001,67.02,14.0,218.45000000000005,7.57,82.46,27.95,57.0,5110.72,3429.84,370.0,1680.88,-363.7399999999999,-21.819999999999993,410.88,7.090000000000002,25.560477762672367,3.08,2.04,0.19,0.16,0.84,4.035605318404478,6.975832050384884,12.250944716585025,12.366247725682294,9,2016,-3.7035789473684133,,376.0526315789474,71.45
2016-12-31,843.9499999999998,218.96000000000004,0.5880954512585655,-0.0016038305191027693,136.63,234.35,241.90999999999997,20.4,268.3299999999999,136.63,111.04,23.5,53.19,4163.96,2228.12,370.0,1935.84,-301.1200000000001,1730.2199999999998,-1400.51,7.559999999999999,8.670786330836682,3.9,1.15,0.78,0.16,0.21,21.02064253985744,25.725406149925966,45.23811163527427,48.58573189628457,12,2016,-0.5971390013495324,,372.3205128205128,290.41
2017-03-31,546.8,73.26,0.2,0.0,106.39,91.58,99.74,23.7,166.25,106.39,80.62,0.0,65.06,4468.1,2459.0,372.0,2009.1,-242.54,-17.56,229.68,8.16,29.625000000000004,4.39,1.22,0.2,0.0,0.0,6.56,8.68,14.6,16.0,3,2017,0.0,,366.3,73.26
2017-06-30,759.96,124.77999999999999,0.3339396081599677,0.66,143.16000000000003,160.67000000000002,169.82999999999998,27.0,236.23000000000002,143.16000000000003,79.47,34.99,67.66,4278.24,2389.87,372.0,1888.37,-138.56000000000003,201.36,-63.96000000000001,9.16,20.21188812309665,5.32,1.27,0.53,0.66,1.25,11.66898404362755,14.264891941022016,26.437935770551405,28.37856594627348,6,2017,246.61584905660374,,373.6603773584905,198.04
2017-09-30,699.74,98.79999999999998,0.2662713919956879,0.2653568277682151,173.69,120.30000000000001,130.17000000000002,30.5,175.68999999999994,173.69,89.58,29.2,87.81,4201.55,2173.34,372.0,2028.21,192.64000000000001,-19.640000000000015,-162.72,9.870000000000001,28.639952429149805,5.59,1.07,0.8,0.93,1.16,9.412693707047566,10.650855679827515,19.491065894084354,21.315024929254818,9,2017,98.46065094339622,,371.04999999999995,296.84
