,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,TIE,month,year,dividend,ROCE%,number_of_shares,return_old
2009-06-30,287.94,48.790000000000006,0.20947011637103155,0.54,0.0,74.27000000000001,77.61000000000001,3.56,56.04,187.89000000000001,0.0,18.88,0.0,31.02,11721.65,10031.05,1150.0,1690.6,227.37,-2.7199999999999998,-301.32,3.34,4.249532178725148,2.42,5.93,0.38,0.54,1.42,1.6757609309682522,2.623888826121342,11.553930629307423,11.664178058976388,0.65,6,2009,125.77736842105264,,232.92105263157896,88.51
2009-09-30,407.40999999999997,51.43999999999998,0.22421150410861015,-0.008225757319343436,0.0,79.16,82.94,4.5,85.83,181.25999999999993,0.0,79.89,0.0,34.44,12026.13,10284.1,1150.0,1742.04,-176.74,-9.75,306.17,3.7800000000000002,5.019590785381028,2.97,5.9,0.61,0.54,0.89,1.7054776705966412,2.675835655591282,11.806022150768129,11.938343694176488,0.7,9,2009,-1.8872044866264162,,229.4262295081967,139.95
2009-12-31,258.1400000000001,53.68000000000001,0.23287300521613388,0.0025433160929710322,0.0,73.01999999999998,76.86000000000001,5.2,113.85,199.84000000000003,0.0,237.17,0.0,38.67,12569.2,10773.48,1150.0,1795.72,-310.94,-7.450000000000001,479.33,3.84,5.582012388226527,3.33,6.0,0.84,0.54,0.64,1.707735371584982,2.605959820275784,11.954147601094872,12.198109797035585,0.7,12,2009,0.5862646370023583,,230.51190476190476,193.63
2010-03-31,379.21,74.16,0.32,0.58,0.0,99.71,103.78,5.15,18.57,186.56,0.0,40.59,641.86,35.63,12864.8,10994.92,1150.0,1869.88,-449.19,-0.62,239.76,4.07,4.0225,3.17,5.88,0.32,0.58,1.81,2.32,3.2399999999999998,15.88,16.32,0.96,3,2010,134.41499999999996,,231.74999999999997,74.16
2010-06-30,388.37000000000006,66.05000000000001,0.2873582483417731,-0.004788174880536165,0.0,92.50000000000001,96.57,6.35,48.43,196.31,0.0,117.54,0.0,32.66,13617.68,11815.15,1150.0,1802.53,-609.1699999999998,-0.5099999999999999,679.07,4.07,5.524549962149886,4.05,6.55,0.61,0.58,0.95,1.9408458740460741,2.864160901504886,14.65998145638685,15.1310605520291,0.9,6,2010,-1.1005737704917635,,229.85245901639345,140.21
2010-09-30,414.86,72.69999999999999,0.3175567141045512,-0.002323124294033412,-116.39,103.24999999999997,107.28999999999999,7.7,70.12,-82.53000000000003,-116.39,114.24,671.81,35.49,14635.65,12760.42,1150.0,1875.23,-952.76,-8.16,965.63,4.039999999999999,6.062224209078405,4.72,6.8,0.93,0.58,0.62,1.9804612277488136,3.032154431449908,15.502230989620026,16.075881828002437,0.0,9,2010,-0.5318455843469394,,228.93548387096772,212.91
2010-12-31,284.24,77.10999999999999,0.335006551272326,0.0031223653096227196,-198.10000000000002,101.43,105.57,8.95,89.52,117.33000000000004,-198.10000000000002,128.06,0.0,41.87,15394.85,13442.52,1150.0,1952.34,-565.1199999999999,-9.98,616.1700000000001,4.140000000000001,6.675988847101544,5.27,6.89,1.26,0.58,0.46,1.9994041790221362,3.020376525756844,15.793165988552511,16.463179091097164,0.0,12,2010,0.7186891961085564,,230.17460317460316,290.02
2011-03-31,433.17,77.81,0.34,0.0,-65.35,117.2,121.39,9.95,13.08,117.29,-65.35,161.8,0.0,42.74,16430.55,14435.93,1150.0,1994.62,-962.29,-4.46,982.82,4.19,7.315,5.74,7.24,0.34,0.0,0.0,1.8800000000000001,3.1999999999999997,15.6,16.12,0.0,3,2011,0.0,,228.85294117647058,77.81
2011-06-30,409.54,82.44999999999999,0.36013353300886053,0.88,-125.42000000000002,121.96999999999998,126.08,9.15,21.66,126.45,-125.42000000000002,114.21,0.0,41.76,17126.97,15252.29,1150.0,1874.67,-660.51,-2.4699999999999998,620.38,4.11,6.351116434202548,5.61,8.14,0.7,0.88,1.26,1.9344315487333081,3.2103332085361287,17.595095469861477,17.9449394733558,0.0,6,2011,201.4697142857143,,228.94285714285715,160.26
2011-09-30,458.98,91.66,0.4002302318196253,0.0002894342875287249,-91.17999999999998,134.71,139.26000000000002,10.0,33.36,119.61000000000001,-91.17999999999998,154.82,0.0,50.2,18039.65,16073.33,1150.0,1966.33,-786.8500000000001,-11.45,806.8,4.549999999999999,6.245780056731399,5.85,8.17,1.1,0.88,0.8,2.037535725627183,3.332826294061607,18.643451889488727,19.09462051444903,0.0,9,2011,0.06628571428566943,,229.0181818181818,251.92
2011-12-31,564.99,79.62000000000003,0.3458189057127346,0.004655124570187876,5.060000000000002,112.98000000000002,117.71999999999997,10.9,58.7,123.47999999999996,5.060000000000002,439.99,0.0,49.79,18214.88,16168.93,1150.0,2045.95,304.34000000000015,-6.0,59.0,4.74,7.880425144436069,6.13,7.9,1.44,0.88,0.61,1.7483066899921584,2.7857634071303625,15.561850757073058,15.926881824214277,0.0,12,2011,1.0717777777778394,,230.23611111111114,331.54
2012-03-31,532.0,95.22,0.41,0.0,-57.92,128.21,132.82,12.5,26.55,129.84,-57.92,191.72,0.0,47.81,19183.1,17041.93,1150.0,2141.17,-1171.13,0.41,872.59,4.61,7.6225,6.71,7.96,0.41,0.0,0.0,1.9999999999999998,2.88,17.8,18.4,0.0,3,2012,0.0,,232.2439024390244,95.22
2012-06-30,615.8599999999999,110.75999999999999,0.4355549082435188,1.0,-29.349999999999994,151.09,155.70999999999998,10.9,51.98,143.30999999999997,-29.349999999999994,106.3,0.0,48.72,20532.78,17361.61,1725.0,3171.16,-1351.23,-2.9000000000000004,1185.54,4.62,6.257879198266523,5.93,5.47,0.81,1.0,1.23,2.150888435770463,3.1833148849402852,13.98077483250801,17.55124963588698,0.0,6,2012,254.29629629629628,,254.29629629629628,205.98
2012-09-30,629.4300000000001,137.15,0.483640311252295,0.10325964352135206,-46.42999999999999,183.42000000000002,188.34000000000003,16.5,75.92,142.15000000000003,-46.42999999999999,173.05,0.0,51.74,21990.46,18682.16,1725.0,3308.31,-1226.42,-7.82,1317.2999999999997,4.92,8.531340138534452,8.6,5.65,1.21,1.0,0.83,2.4941450762101827,3.693253285926617,16.57966951301256,20.80053041121441,0.0,9,2012,29.28221610039796,,283.57851239669424,343.13
