,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2004-06-30,,,,,,,,,0.0,,293.32,68.5,1046.08,568.81,350.0,477.26,,,,,,0.0,1.19,0.83,0.0,0.0,,,,,39.99,0.0,6,2004,,,,140.40963855421688,116.54
2004-09-30,98.93,19.459999999999994,0.12734852941176467,0.0,,21.36,30.710000000000008,,0.0,77.57,217.17,86.09,1038.52,541.76,350.0,496.77,-125.15,-25.999999999999993,75.0,9.35,0.0,0.0,1.09,0.89,0.0,0.0,7.497823529411762,0.0,15.67102352941176,0.0,34.84,0.0,9,2004,,0.0,,152.80898876404495,136.0
2004-12-31,138.43999999999994,22.150000000000006,0.13025292443882394,0.0,,20.25,30.25,,0.0,118.19,587.92,89.89,1511.72,419.66,470.0,1092.06,-107.18,-18.570000000000007,496.5,9.999999999999996,0.0,0.0,0.38,0.93,0.0,0.0,5.85998103066709,0.0,8.112096111286755,0.0,29.91,0.0,12,2004,,0.0,,170.05376344086022,158.15
2005-03-31,136.96,33.77,0.14,0.0,,42.0,53.61,,0.0,94.96,508.23,83.84,2050.58,926.98,470.0,1123.6,-74.27,-5.42,0.0,11.61,0.0,0.0,0.83,0.14,0.0,0.0,6.6,0.0,12.04,0.0,24.66,0.0,3,2005,,0.0,,241.21428571428572,33.77
2005-06-30,85.03,0.12999999999999545,0.0005368731563421641,0.0,,3.6199999999999974,15.379999999999995,,0.67,81.42,313.9,79.42,1332.64,279.18,470.0,1053.45,-117.32000000000001,-6.51,-70.5,11.760000000000002,0.0,0.0,0.27,0.14,0.0,0.0,0.038961651917402765,0.05890265486725457,0.04939233038347911,0.06795280235987963,15.27,0.0,6,2005,,0.0,,242.1428571428571,33.9
2005-09-30,98.32,8.690000000000005,0.036726931204508116,0.0,,14.220000000000006,25.38000000000001,,5.78,84.09000000000003,462.42,75.92,1406.0,335.44,470.0,1070.56,155.73000000000002,-7.199999999999999,0.0,11.16,0.0,0.0,0.31,0.18,0.0,0.0,2.4729467011035466,3.999154731157551,3.248293026532051,4.43171636534398,13.3,0.0,9,2005,,0.0,,236.61111111111114,42.59
2005-12-31,72.11000000000001,-0.8600000000000065,-0.0037095614665708407,0.3,,-0.20000000000000284,10.569999999999993,5.25,5.77,72.30999999999995,454.05,72.08,1431.31,362.82,470.0,1068.49,8.45,-16.830000000000002,0.0,10.769999999999996,-353.8558430232531,2.31,0.34,0.18,0.3,1.67,-0.240709321830819,-0.33386053199137566,-0.32231967409537754,-0.31819793913252103,10.63,0.0,12,2005,,69.55,,231.83333333333331,41.73
2006-03-31,82.86,8.96,0.04,0.0,,12.41,22.71,4.5,0.0,70.45,500.62,65.93,1294.47,214.4,470.0,1080.07,51.71,-5.14,0.0,10.3,28.125,1.96,0.2,0.04,0.0,0.0,2.76,2.9600000000000004,3.32,3.24,10.81,0.0,3,2006,,0.0,,224.00000000000003,8.96
2006-06-30,59.33999999999999,0.2599999999999998,0.0011279826464208234,0.15,,1.0500000000000007,11.019999999999996,3.1,0.39,58.290000000000006,569.57,58.57,1321.48,283.74,470.0,1037.74,84.87,18.52,-34.45,9.969999999999999,687.0673076923083,1.4,0.27,0.04,0.15,3.75,0.07895878524945762,0.11392624728850316,0.10039045553145327,0.09926247288503245,6.48,0.0,6,2006,,34.574999999999996,,230.5,9.22
2006-09-30,48.33000000000001,-7.870000000000001,-0.058296296296296304,-0.10611111111111107,,-9.610000000000001,0.6000000000000014,3.26,0.43,57.94,407.46,50.22,1184.72,153.64,471.77,1031.08,-138.19000000000003,-24.98,1.0700000000000003,10.21,-13.980304955527318,1.49,0.15,0.01,0.15,15.0,-2.5650370370370372,-6.995555555555556,-3.031407407407408,-3.031407407407408,0.71,0.0,9,2006,,-14.324999999999996,,135.0,1.35
