,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2013-09-30,,,,,,,,10.5,,,101.0,45.02,6347.99,4.68,,,0.0,9,2013,,,,,,,,,,,,
2013-12-31,296.39,,,,,,,10.3,13.280000000000001,0.75,472.11,297.81,6753.33,9.86,371.1099999999997,0.0,0.0,12,2013,,,,,,,,,,,,
2014-03-31,69.12,,,,,,,9.3,12.13,0.0,3.87,69.84,6098.47,5.66,465.06,-933.3,0.54,3,2014,,,,,,,,,,,,
2014-06-30,152.17,,,,,,,9.75,12.49,0.0,4.05,220.43,6081.97,10.51,0.18000000000000682,0.0,0.54,6,2014,,,,,,,,,,,,
2014-09-30,69.95000000000002,,,,,,,9.2,12.539999999999996,0.0,26.02,69.96,5808.71,15.05,414.13,-392.1600000000001,0.87,9,2014,,,,,,,,,,,,
2014-12-31,137.31,,,,,,,9.0,12.57,0.0,15.21,207.25,5943.74,10.49,-10.81000000000006,0.0,0.87,12,2014,,,,,,,,,,,,
2015-03-31,67.2,,,,,,,8.7,11.37,0.0,28.5,67.2,5512.4,5.93,390.93,-377.64,0.3,3,2015,,,,,,,,,,,,
2015-06-30,117.18999999999998,,,,,,,8.85,12.33,0.0,26.39,184.37,5667.95,9.91,-2.1200000000000045,0.0,0.3,6,2015,,,,,,,,,,,,
2015-09-30,102.47000000000003,,,,,,,8.25,11.59,0.0,48.89,102.47,5470.45,14.1,389.65000000000003,-367.14,0.57,9,2015,,,,,,,,,,,,
2015-12-31,101.06,,,,,,,8.15,12.810000000000002,0.0,45.94,203.51,5900.43,17.65,-9.720000000000027,6.769999999999982,0.57,12,2015,,,,,,,,,,,,
2016-03-31,102.38,,,,,,,8.05,11.53,0.0,67.15,102.38,5685.09,21.77,405.86,-384.65,0.3,3,2016,,,,,,,,,,,,
2016-06-30,95.20000000000002,,,,,,,8.5,12.040000000000001,0.0,57.46,197.55,5992.66,17.88,-9.600000000000023,-0.09000000000003183,0.3,6,2016,,,,,,,,,,,,
2016-09-30,88.23999999999998,,,,,,,8.45,11.950000000000003,0.0,69.3,88.25,5499.77,12.8,429.35,-417.51,0.59,9,2016,,,,,,,,,,,,
2016-12-31,307.84999999999997,,,,,,,8.35,12.509999999999998,0.0,65.53,396.06,6167.6,14.92,-5.159999999999968,1.3899999999999864,0.59,12,2016,,,,,,,,,,,,
2017-03-31,110.92,,,,,,,8.15,11.82,0.0,87.82,110.92,5857.04,20.09,636.38,-614.09,0.62,3,2017,,,,,,,,,,,,
2017-06-30,65.52,,,,,,,9.0,12.23,0.0,81.75,176.38,5759.27,19.72,-5.82000000000005,-0.25,0.62,6,2017,,,,,,,,,,,,
2017-09-30,86.89999999999998,,,,,,,8.45,11.790000000000003,0.0,0.0,86.91,5486.49,15.12,384.44000000000005,-371.5,0.87,9,2017,,,,,,,,,,,,
