,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,operating_profit,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2009-06-30,,,,,,,,,,33.6,0.0,603.18,0.12,,,0.0,6,2009,,,,,,,,,,,,,
2009-09-30,10.82,,,,,,,9.95,1.21,11.99,0.0,612.86,0.2,-21.610000000000014,0.0,0.0,9,2009,,,,,,,,,,,,,
2009-12-31,12.780000000000001,,,,,,,9.9,1.2400000000000002,14.56,0.0,642.12,0.42,2.5699999999999363,0.0,0.0,12,2009,,,,,,,,,,,,,
2010-03-31,12.79,,,,,,,9.95,2.16,3.93,0.0,632.46,1.24,10.47,-21.1,0.35,3,2010,,,,,,,,,,,,,
2010-06-30,12.780000000000001,,,,,,,10.0,2.04,0.64,0.0,643.43,1.47,-3.290000000000001,0.0,0.35,6,2010,,,,,,,,,,,,,
2010-12-31,25.58,,,,,,,9.95,3.54,13.75,0.0,635.28,1.17,34.21,-21.11,0.7,12,2010,,,,,,,,,,,,,
2011-06-30,-25.47,,,,,,,9.9,-3.6800000000000006,13.53,0.0,635.94,1.31,-20.5,21.11,0.35,6,2011,,,,,,,,,,,,,
2011-12-31,25.810000000000002,,,,,,,9.6,4.150000000000001,21.8,0.0,642.69,1.34,29.369999999999997,-21.11,0.7,12,2011,,,,,,,,,,,,,
2012-06-30,-25.73,,,,,,,9.6,-3.960000000000001,2.69,0.0,643.08,1.32,-48.26,21.11,0.35,6,2012,,,,,,,,,,,,,
2012-12-31,26.73,,,,,,,9.55,8.26,38.27,0.0,644.17,4.71,56.68,-21.11,0.7,12,2012,,,,,,,,,,,,,
2013-06-30,-28.48,,,,,,,9.6,-7.22,25.2,4.71,646.11,9.03,-50.65,21.11,0.35,6,2013,,,,,,,,,,,,,
2013-12-31,24.02,,,,,,,9.5,5.89,24.34,5.58,642.74,10.84,20.25,-21.11,0.7,12,2013,,,,,,,,,,,,,
2014-06-30,-24.02,,,,,,,9.75,-5.989999999999999,24.51,6.46,642.08,12.46,-7.010000000000002,21.11,0.35,6,2014,,,,,,,,,,,,,
2014-12-31,24.02,,,,,,,9.8,3.9799999999999995,36.23,7.33,639.84,14.39,32.83,-21.11,0.7,12,2014,,,,,,,,,,,,,
2015-06-30,-23.970000000000002,,,,,,,9.85,-5.390000000000001,36.44,8.21,640.58,15.95,-32.790000000000006,21.11,0.35,6,2015,,,,,,,,,,,,,
2015-12-31,20.52,,,,,,,9.0,4.540000000000001,25.49,8.95,617.7,18.01,10.150000000000002,-21.11,0.7,12,2015,,,,,,,,,,,,,
2016-06-30,-27.27,,,,,,,6.45,-4.57,38.61,9.51,633.16,19.91,-18.33,42.21,0.0,6,2016,,,,,,,,,,,,,
2016-12-31,16.01,,,,,,,6.15,3.7699999999999996,30.54,10.09,603.92,20.06,18.46,-26.53,0.19,12,2016,,,,,,,,,,,,,
2017-06-30,-17.28,,,,,,,6.05,-3.8499999999999996,1.45,10.72,605.36,21.18,-48.620000000000005,14.47,0.0,6,2017,,,,,,,,,,,,,
