,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2003-09-30,354.90999999999997,-4.759999999999998,-0.21114754098360647,0.0,57.82000000000001,19.959999999999997,26.500000000000004,7.75,49.58,334.95000000000005,1.8500000000000014,2.44,215.04,1037.9,1326.73,515.34,2029.92,1103.1,172.96,31.91,1460.86,117.78,1578.64,225.0,451.28,2.969999999999999,-8.34,6.090000000000003,6.540000000000001,-9.177232142857147,0.77,3.5,-2.3,0.0,0.0,-0.9363934426229503,0.43698360655737684,-4.2192786885245885,-3.855737704918031,1.5276065573770485,-5.38,-5.2,0.91,0.2,9,2003,0.0,22.543478260869566,-51.85
2003-12-31,400.18999999999994,47.33,2.0942477876106196,0.0,80.46000000000001,76.77000000000001,83.84,19.75,50.29,323.4200000000001,36.720000000000006,4.0,222.36,1056.06,1302.44,710.37,2250.87,1055.75,221.34,37.3,1468.0,109.4,1577.4,225.0,673.47,90.18,-30.4,-58.230000000000004,7.07,2.357648425945489,1.32,2.34,-0.2,0.0,0.0,8.376991150442478,-197.27814159292035,28.062920353982307,32.25141592920354,-537.383982300885,-0.34,-0.32,0.89,0.17,12,2003,0.0,22.599999999999998,-4.52
2004-03-31,426.52,38.75,1.72,0.0,110.0,71.36,79.02,14.5,0.0,355.16,66.03,3.05,247.66,1067.19,1336.88,709.05,2276.49,1025.09,243.71,44.05,1463.68,100.58,1564.26,225.0,712.22,53.3,1.32,-55.71,7.66,2.1075,0.92,2.2,1.72,0.0,0.0,6.8,13.28,21.76,25.48,35.12,9.2,9.09,0.91,0.18,3,2004,0.0,22.52906976744186,38.75
2004-06-30,417.80000000000007,39.629999999999995,0.8797677979076294,0.0,117.41,70.17999999999999,78.28000000000002,21.2,0.0,347.60999999999996,70.81,1.95,233.88,1043.23,1302.19,710.43,2258.59,979.32,251.52,29.76,1394.32,112.43,1506.75,225.0,751.85,91.72000000000001,-24.44,-68.28,8.1,6.022384557153671,1.27,2.0,1.74,0.0,0.0,7.0179178361827,13.408874712936973,21.073978055626434,26.150339372288844,33.127808114314874,9.37,9.28,0.93,0.19,6,2004,0.0,45.04597701149425,78.38
2004-09-30,314.28999999999985,21.27000000000001,0.47171801304565997,0.0,79.19000000000003,43.58000000000001,51.859999999999985,20.8,0.0,270.73,36.03999999999999,1.88,172.73,1073.4,1265.36,708.5,2205.26,959.4,205.14,22.6,1314.84,117.29,1432.13,225.0,773.12,15.5,8.170000000000002,-23.760000000000005,8.28,11.021468030089324,1.21,1.85,2.21,0.0,0.0,3.8591229302558974,7.462109382839943,11.005330657300558,13.899672854992481,17.750257902659314,8.73,8.6,0.96,0.15,9,2004,0.0,45.09049773755657,99.65
2004-12-31,270.1300000000001,-8.950000000000003,-0.1993274531422272,0.0,36.17999999999995,8.289999999999992,16.569999999999993,21.0,0.0,261.8299999999999,-11.259999999999991,2.82,175.13,1056.26,1251.92,705.77,2220.95,950.09,205.1,20.12,1305.89,117.34,1423.24,225.0,797.71,-12.630000000000024,-5.470000000000002,19.110000000000014,8.280000000000001,-26.3486033519553,1.18,1.78,2.02,0.0,0.0,-1.6104079382579939,-3.414222712238149,-4.487828004410145,-4.866747519294378,-8.344123484013233,6.49,6.35,0.96,0.15,12,2004,0.0,44.9009900990099,90.7
2005-03-31,238.2,-20.56,-0.45,0.0,40.4,2.88,11.19,18.3,0.0,235.32,-0.99,24.82,160.79,1115.29,1322.05,707.22,2320.46,953.85,204.66,19.02,1284.38,113.27,1397.66,227.25,922.8,-65.12,-30.46,117.57,8.31,-10.1675,0.9,1.51,-0.45,0.0,0.0,-3.56,0.52,-8.92,-10.04,1.12,-8.77,-8.63,1.03,0.16,3,2005,0.0,45.68888888888888,-20.56
2005-06-30,208.86,-47.56,-1.047269524368761,0.7999999999999999,19.990000000000002,-27.13,-19.09,10.0,0.0,236.0,-13.42,4.27,134.04,1109.95,1261.49,708.45,2210.55,1006.36,183.33,16.87,1315.6,109.54,1425.14,227.25,785.41,-9.539999999999992,-9.380000000000003,-1.6799999999999926,8.040000000000001,-2.388353658536585,0.58,1.81,-1.5,0.8,-0.53,-8.60157369348209,-3.044063417498532,-24.212871403405757,-24.74348796241926,-7.568267762771579,-15.46,-15.24,0.96,0.12,6,2005,36.330666666666666,45.413333333333334,-68.12
2005-09-30,278.64000000000004,-20.17,-0.44319628496998525,0.0017046853173256242,30.849999999999994,-3.1999999999999993,4.970000000000001,7.6,0.0,281.83,0.9700000000000006,2.32,167.23,993.55,1171.98,704.14,2105.9,930.5,164.66,16.19,1235.02,105.64,1340.67,227.25,765.24,67.2,-12.849999999999994,-56.29,8.169999999999998,-4.289747149231532,0.45,1.75,-1.94,0.8,-0.41,-3.8288503794314197,-1.1605346018801677,-10.545330161966247,-10.49050175557821,-2.878491335372069,-12.36,-12.17,0.95,0.14,9,2005,0.07758075601375225,45.51030927835052,-88.29
2005-12-31,283.4699999999999,-9.649999999999991,-0.21282417806820486,-0.002959101827544493,34.43000000000001,9.0,17.650000000000002,5.15,0.0,274.4699999999999,3.049999999999999,2.11,166.33,927.31,1118.44,699.05,2047.28,884.35,180.17,15.5,1189.72,101.98,1291.69,227.25,755.59,74.3,-3.5500000000000043,-70.96000000000001,8.650000000000002,-6.038787564766844,0.31,1.71,-2.16,0.8,-0.37,-1.8838880947518875,-0.33894220951602994,-5.107780273636917,-4.969838676740857,-0.8473555237900748,-9.87,-9.71,0.94,0.16,12,2005,-0.1341733486063461,45.34259259259259,-97.94
