,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2003-03-31,43.03,-4.88,-0.7,0.0,2.97,-4.57,-2.22,6.5,0.0,47.6,-4.66,31.95,30.86,71.56,136.57,97.5,285.3,48.99,43.28,0.0,96.92,0.55,97.47,70.0,164.36,16.24,-1.2,-4.71,2.35,-2.3225,2.77,0.59,-0.7,-6.839999999999999,-6.4,-11.88,-11.440000000000001,-9.72,-11.36,-11.34,1.41,0.67,3,2003,0.0,6.9714285714285715,-4.88
2003-06-30,48.06,0.6499999999999995,0.0921985815602836,0.0,7.67,1.1100000000000003,3.5100000000000002,7.9,0.0,46.949999999999996,-0.3099999999999996,16.46,41.65,65.24,124.8,96.19,272.2,61.77,17.24,0.08,84.26,0.0,84.26,70.0,164.98,-27.33,-0.6799999999999999,12.530000000000001,2.4,21.426576923076944,3.35,0.51,-0.6,0.9527186761229306,0.7744680851063823,1.5735224586288403,1.5304964539007078,1.1309692671394789,-4.72,-4.64,1.48,0.71,6,2003,0.0,7.050000000000001,-4.23
2003-09-30,44.84,2.4200000000000004,0.34762430939226524,0.0,8.509999999999998,2.74,5.18,7.25,0.0,42.10000000000001,0.6499999999999995,19.51,37.37,62.56,121.18,94.2,266.6,49.47,21.24,0.0,76.79,0.0,76.79,70.0,167.35,15.59,0.04999999999999982,-12.600000000000001,2.4400000000000004,5.213099173553719,3.03,0.46,-0.26,3.636685082872929,1.390497237569061,5.775911602209946,5.722430939226521,2.032265193370166,-1.37,-1.33,1.58,0.76,9,2003,0.0,6.961538461538462,-1.81
2003-12-31,38.20999999999998,-1.2999999999999998,-0.18392282958199357,0.0,6.280000000000001,-1.1400000000000001,1.3100000000000005,10.5,0.0,39.34,-1.0099999999999998,13.15,33.54,78.79,142.99,91.63,285.84,1.26,43.32,0.0,97.86,0.0,97.86,70.0,166.01,9.9,0.040000000000000036,-1.21,2.45,-14.270115384615387,4.43,0.59,-0.44,-1.822508038585209,-1.1369774919614148,-3.126688102893891,-3.1099678456591637,-1.6553054662379418,-1.83,-1.79,1.46,0.66,12,2003,0.0,7.0681818181818175,-3.11
2004-03-31,44.82,0.75,0.11,0.0,8.86,1.61,3.95,10.2,0.0,43.21,1.24,15.0,37.66,84.38,138.69,89.22,279.37,68.73,17.85,0.0,91.19,0.0,91.19,70.0,166.72,-33.5,-0.02,20.29,2.34,23.1825,4.28,0.55,0.11,1.08,2.28,1.7999999999999998,1.7999999999999998,3.4400000000000004,1.69,1.67,1.52,0.6,3,2004,0.0,6.818181818181818,0.75
2004-06-30,47.07,-0.17000000000000004,-0.023448275862068973,0.0,8.620000000000001,0.30999999999999983,2.63,8.2,0.0,46.74999999999999,0.56,13.79,43.87,59.04,118.49,86.85,256.8,53.42,9.07,0.0,69.32,0.0,69.32,70.0,166.51,13.95,-0.030000000000000002,-15.129999999999999,2.3200000000000003,-87.42647058823526,3.45,0.42,0.08,-0.2696551724137932,-0.8558620689655174,-0.410344827586207,-0.410344827586207,-1.1958620689655177,0.63,0.63,1.71,0.86,6,2004,0.0,7.249999999999999,0.58
2004-09-30,47.83999999999999,0.84,0.11830985915492957,0.0,9.3,1.5899999999999999,3.9000000000000004,8.3,0.0,46.260000000000005,1.24,35.32,41.36,81.75,161.28,84.5,295.28,47.15,52.9,0.0,107.48,0.0,107.48,70.0,167.31,25.580000000000002,2.21,-6.2700000000000005,2.3099999999999996,17.538690476190478,3.47,0.64,0.2,1.1357746478873239,2.9577464788732395,2.011267605633803,2.011267605633803,4.424788732394367,1.02,1.02,1.5,0.74,9,2004,0.0,7.1,1.42
2004-12-31,55.91,4.88,0.6971428571428572,0.0,12.089999999999996,5.65,7.93,7.5,0.0,50.25999999999999,4.04,10.04,45.21,61.03,127.72,91.2,264.26,47.01,12.08,0.0,68.15,0.0,68.15,70.0,171.92,-16.13,0.1299999999999999,-0.1399999999999999,2.2800000000000002,2.688473360655738,3.05,0.4,0.9,7.374222222222222,10.317714285714287,11.340190476190477,11.557079365079366,14.469587301587302,3.26,3.22,1.87,0.98,12,2004,0.0,7.0,6.3
2005-03-31,52.16,2.64,0.38,0.0,11.91,3.2,5.47,8.0,0.0,48.96,3.15,34.64,43.72,117.78,201.11,88.72,335.17,68.67,62.66,0.0,136.91,0.0,136.91,70.0,174.44,-5.69,-0.03,21.18,2.27,5.2625,3.21,0.78,0.38,3.16,4.16,6.04,6.200000000000001,6.44,5.07,5.06,1.47,0.61,3,2005,0.0,6.947368421052632,2.64
2005-06-30,68.55,0.73,0.10397626112759643,0.0,13.75,1.2599999999999998,3.490000000000001,8.0,0.0,67.28999999999999,1.2399999999999998,17.04,54.92,125.4,219.44,86.27,351.04,102.85,42.78,0.0,153.03,0.0,153.03,70.0,175.05,-30.13,-0.010000000000000002,31.700000000000003,2.23,19.23900684931507,3.2,0.87,0.48,0.8318100890207714,1.2737091988130562,1.6722848664688428,1.7069436201780415,1.9495548961424332,2.79,2.79,1.43,0.61,6,2005,0.0,7.020833333333334,3.37
