Date,Open,High,Low,Close,Adj Close,Volume
2004-04-01,3.80968,4.02007,3.6203300000000005,3.8702699999999997,3.552371,902352212
2004-04-02,3.8702699999999997,3.8896300000000004,3.6396900000000003,3.6598800000000002,3.359262,370036832
2004-04-05,3.7002800000000002,3.82988,3.6396900000000003,3.6396900000000003,3.34073,215493998
2004-04-07,3.6800800000000002,3.7196300000000004,3.38975,3.38975,3.11132,122582926
2004-04-08,3.40994,3.51009,3.40994,3.40994,3.129852,144315212
2004-04-09,3.40994,3.40994,3.28035,3.37039,3.09355,55733991
2004-04-12,3.37039,3.45034,3.3401,3.38975,3.11132,26647848
2004-04-16,3.40994,3.6001300000000005,3.40994,3.53029,3.240316,137575306
2004-04-19,3.57994,3.6001300000000005,3.40994,3.43014,3.148393,76160996
2004-04-20,3.45034,3.46969,3.40994,3.43014,3.148393,19626665
2004-04-21,3.40994,3.57994,3.40994,3.46969,3.184694,106398227
2004-04-22,3.48989,3.51009,3.3199,3.37039,3.09355,34502129
2004-04-23,3.37039,3.43014,3.26015,3.26015,2.992365,12320253
2004-04-26,3.26015,3.3199,3.2004,3.2004,2.937523,10924036
2004-04-27,3.2004,3.2997,3.2004,3.26015,2.992365,19470213
2004-04-28,3.26015,3.28035,3.1297099999999998,3.1600099999999998,2.90045,11325618
2004-04-29,3.1600099999999998,3.21976,2.89997,2.94962,2.7073419999999997,8732565
2004-04-30,2.94962,2.99001,2.87977,2.96982,2.725883,5699521
2004-05-04,2.89997,2.94962,2.89997,2.94962,2.7073419999999997,3074274
2004-05-06,2.96982,2.96982,2.84022,2.89997,2.66177,3907372
2004-05-07,2.89997,2.89997,2.77963,2.89997,2.66177,4604916
2004-05-10,2.86042,2.86042,2.60963,2.60963,2.395278,3082182
2004-05-11,2.65003,2.68958,2.4396400000000003,2.5002299999999997,2.294865,33839605
2004-05-12,2.51959,2.65003,2.5002299999999997,2.51959,2.312634,56799228
2004-05-13,2.54988,2.57008,2.3100400000000003,2.3100400000000003,2.1202959999999997,8619037
2004-05-14,2.3403400000000003,2.37989,2.0601,2.0996599999999996,1.927197,21996053
2004-05-17,2.0702,2.15015,1.93976,2.0803,1.909427,11593904
2004-05-18,2.0996599999999996,2.0996599999999996,2.05001,2.05001,1.881625,8929684
2004-05-19,2.0702,2.17035,2.0601,2.0996599999999996,1.927197,128354178
2004-05-20,2.0996599999999996,2.0996599999999996,1.99026,2.0003599999999997,1.836053,36731444
2004-05-21,2.00961,2.03991,1.99026,2.0003599999999997,1.836053,20913873
2004-05-24,2.01971,2.01971,1.98016,1.99026,1.8267830000000003,9839596
2004-05-25,1.98016,1.98016,1.89011,1.89011,1.734859,8787915
2004-05-26,1.92041,2.03991,1.92041,2.01971,1.8538139999999999,80044645
2004-05-27,2.02981,2.0996599999999996,2.00961,2.0601,1.890886,122078548
2004-05-28,2.0904,2.1897,2.0601,2.0996599999999996,1.927197,165840212
2004-05-31,2.0904,2.1897,2.03991,2.17035,1.9920799999999999,35453274
2004-06-01,2.1897,2.40009,2.1897,2.25029,2.065454,143892167
2004-06-03,2.28985,2.3403400000000003,2.15015,2.2099,2.028381,60977145
2004-06-04,2.17035,2.25029,2.17035,2.17035,1.9920799999999999,26814467
2004-06-07,2.1897,2.2301,2.15015,2.15015,1.973539,68631483
2004-06-08,2.15015,2.1897,2.01971,2.01971,1.8538139999999999,34824637
2004-06-09,2.01971,2.0601,1.99026,2.02981,1.863084,23236382
2004-06-10,2.01971,2.0904,2.01971,2.0601,1.890886,41213795
2004-06-11,2.0702,2.17035,2.0702,2.0996599999999996,1.927197,117884252
2004-06-14,2.0996599999999996,2.15015,2.02981,2.02981,1.863084,32199953
2004-06-15,2.01971,2.0601,2.01971,2.02981,1.863084,7084441
2004-06-16,2.03991,2.0904,2.03991,2.0702,1.9001560000000002,22930254
2004-06-17,2.0803,2.0996599999999996,2.0601,2.0601,1.890886,17384360
2004-06-18,2.05001,2.0702,2.05001,2.0601,1.890886,1910760
2004-06-21,2.0601,2.0904,2.0601,2.0702,1.9001560000000002,3473596
2004-06-22,2.0803,2.15015,2.0803,2.0996599999999996,1.927197,62982794
2004-06-23,2.0996599999999996,2.11985,2.0803,2.0904,1.918697,27064679
2004-06-24,2.0996599999999996,2.1897,2.0996599999999996,2.17035,1.9920799999999999,79733999
2004-06-25,2.1897,2.2099,2.0996599999999996,2.0996599999999996,1.927197,67217192
2004-06-28,2.11985,2.17035,2.11985,2.11985,1.945728,17022880
2004-06-29,2.15015,2.17035,2.0996599999999996,2.11985,1.945728,34358667
2004-06-30,2.11985,2.15015,2.0601,2.0601,1.890886,22728051
2004-07-02,2.05001,2.0601,2.03991,2.05001,1.881625,3538550
2004-07-05,2.0601,2.0702,2.03991,2.0601,1.890886,2835359
2004-07-06,2.0601,2.0996599999999996,2.0601,2.0904,1.918697,10157021
2004-07-07,2.0904,2.11985,2.0702,2.11985,1.945728,22271681
2004-07-08,2.11985,2.15015,2.0601,2.0601,1.890886,16031635
2004-07-09,2.0702,2.0996599999999996,2.0702,2.0996599999999996,1.927197,10946629
2004-07-12,2.0996599999999996,2.17035,2.0904,2.11985,1.945728,68918971
2004-07-13,2.11985,2.15015,2.0996599999999996,2.0996599999999996,1.927197,18093764
2004-07-14,2.11985,2.15015,2.05001,2.05001,1.881625,20922910
2004-07-15,2.05001,2.0803,2.03991,2.05001,1.881625,2914432
2004-07-16,2.05001,2.0702,2.03991,2.05001,1.881625,3317708
2004-07-19,2.03991,2.0601,2.01971,2.01971,1.8538139999999999,3696133
2004-07-20,2.01971,2.03991,2.00961,2.01971,1.8538139999999999,2391416
2004-07-21,2.03991,2.03991,2.01971,2.01971,1.8538139999999999,6367131
2004-07-22,2.02981,2.03991,1.99026,1.99026,1.8267830000000003,8891276
2004-07-23,2.0003599999999997,2.0003599999999997,1.95996,1.97006,1.808242,2666479
2004-07-26,1.95996,1.95996,1.85982,1.86992,1.716327,7609717
2004-07-27,1.88001,1.88001,1.77987,1.77987,1.633674,3676364
2004-07-28,1.81017,1.8303599999999998,1.75042,1.75967,1.615133,11225646
2004-07-29,1.75042,1.75967,1.6603700000000001,1.73022,1.5881020000000001,4578369
2004-07-30,1.73022,1.73022,1.68982,1.71002,1.569561,1086134
2004-08-03,1.68982,1.77987,1.6603700000000001,1.76977,1.624403,19896081
2004-08-04,1.75967,1.75967,1.69992,1.72012,1.5788309999999999,3801752
2004-08-05,1.72012,1.75042,1.67973,1.67973,1.541759,4469925
2004-08-06,1.66963,1.67973,1.6300700000000001,1.66963,1.532489,3738493
2004-08-09,1.6502700000000001,1.66963,1.6401700000000001,1.6401700000000001,1.505448,1309800
