,dividend,close_price,dividend_yield
2007-04-17,0.13,4.64,2.8
2007-11-20,0.14,6.5,2.15
2008-04-04,0.14,5.75,2.43
2008-08-25,0.14,3.86,3.63
2009-02-10,0.14,3.08,4.55
2009-03-12,0.05,3.02,1.66
2009-08-25,0.14,4.08,3.43
2009-11-26,0.14,6.9,2.03
2010-03-24,0.12,8.75,1.37
2010-08-26,0.17,9.6,1.77
2010-11-23,0.14,8.75,1.6
2011-05-09,0.12,13,0.92
2011-08-25,0.09,9.15,0.98
2011-11-24,0.07,7.65,0.92
2012-05-08,0.08,8.5,0.94
2012-09-25,0.1,15.2,0.66
2012-11-23,0.05,8.4,0.6
2013-04-29,0.135,9.55,1.41
2013-08-22,0.075,9.55,0.79
2013-11-26,0.055,10.5,0.52
2014-05-06,0.08,11.5,0.7
2014-08-26,0.06,8.35,0.72
2014-11-25,0.06,7.85,0.76
2015-05-07,0.06,7.55,0.79
2015-08-25,0.03,5,0.6
2016-05-09,0.015,3.98,0.38
