,dividend,close_price,dividend_yield
2001-04-04,3,20,15
2002-04-04,6,24.6,24.39
2003-04-01,6.75,25.8,26.16
2004-04-02,6.75,52.4,12.88
2005-03-11,9,65.2,13.8
2005-08-10,5.5,87.2,6.31
2006-03-13,8,104.8,7.63
2006-08-15,1.71,121,1.41
2007-03-01,1.5,98,1.53
2007-08-14,1.61,117,1.38
2008-03-04,1.67,158,1.06
2008-08-13,2.86,149,1.92
2009-02-12,2.56,99.5,2.57
2009-08-13,1.48,140.5,1.05
2010-02-11,1.2,131.5,0.91
2010-08-10,2.55,152,1.68
2011-02-10,2.48,172,1.44
2011-08-10,2.61,161.5,1.62
2012-02-13,2.79,178.5,1.56
2012-08-01,2.8,152,1.84
2013-02-12,3,165,1.82
2013-08-06,3,160,1.88
2014-02-11,3,153,1.96
2014-08-05,3,165,1.82
2015-02-10,1.5,119,1.26
2015-08-04,1,91,1.1
2016-02-09,2,58.75,3.4
2016-08-09,0.75,82,0.91
2017-02-07,2.5,98.5,2.54
2017-08-08,1.5,87.25,1.72
