,dividend,close_price,dividend_yield
2001-03-19,8.5,3.7,229.73
2001-07-27,6.5,4.72,137.71
2002-04-01,0.6,5.52,10.87
2002-08-27,0.5,5,10
2003-04-02,1,5.96,16.78
2003-09-01,1.11111,13.9,7.99
2004-03-26,0.5,11.04,4.53
2004-09-13,0.5,10.72,4.66
2005-04-01,0.15,8.24,1.82
2005-09-13,0.5,9.92,5.04
2006-03-31,0.2,8,2.5
2006-10-05,0.25,6.12,4.08
2007-04-02,0.45,6.84,6.58
2007-10-25,0.5,12.32,4.06
2008-04-01,0.8,18.1,4.42
2008-09-17,1.3,21.2,6.13
2009-09-17,0.95,18.2,5.22
2010-03-23,0.8,18.4,4.35
2010-09-16,0.6,24.3,2.47
2011-03-22,0.9,27.75,3.24
2011-09-20,0.6,23.6,2.54
2012-03-13,0.3,21.4,1.4
2012-08-23,0.8,27,2.96
2013-03-12,1,25.5,3.92
2013-08-26,0.3,18.2,1.65
2014-03-24,0.7,23,3.04
2014-08-26,0.9,23.4,3.85
2015-03-10,0.85,22.8,3.73
2015-08-24,1,26.5,3.77
2016-03-22,0.9,24.2,3.72
2016-08-23,1.25,33.5,3.73
2017-03-20,1.5,37,4.05
