,dividend,close_price,dividend_yield
2001-03-28,1.5,2.2,68.18
2002-03-26,2.5,3.075,81.3
2003-04-02,2,2.9,68.97
2004-04-07,3,4,75
2004-09-28,1.5,4.05,37.04
2005-04-11,2.75,4.1,67.07
2006-04-03,5,5.6,89.29
2007-04-02,0.38,5.15,7.38
2008-04-03,0.23,4.32,5.32
2009-04-24,0.3,5.15,5.83
2010-05-06,0.15,5.4,2.78
2011-05-04,0.4,10,4
2012-05-08,0.02222,24,0.09
2013-04-26,0.0277778,17.7,0.16
2014-05-02,0.0277778,16.8,0.17
2015-04-24,0.037037,27.25,0.14
2016-05-03,0.0111111,10.9,0.1
2017-05-04,0.0111111,11.2,0.1
