,dividend,close_price,dividend_yield
2007-03-29,0.11,2.18,5.05
2007-08-17,0.05,2.54,1.97
2008-04-10,0.15,3.84,3.91
2008-08-22,0.1,3.88,2.58
2009-04-17,0.15,2.92,5.14
2009-08-26,0.1,3.38,2.96
2010-04-12,0.15,3.42,4.39
2010-08-23,0.1,3.98,2.51
2011-04-12,0.15,4.6,3.26
2011-08-24,0.05,4,1.25
2012-08-21,0.1,3.72,2.69
2013-04-09,0.15,3.74,4.01
2013-08-20,0.08,3.38,2.37
2014-04-08,0.2,4.18,4.78
2014-08-26,0.12,5.8,2.07
2015-04-07,0.23,6.35,3.62
2015-08-25,0.08,5.4,1.48
2016-04-18,0.3,6.9,4.35
2016-08-23,0.1,7.65,1.31
2017-04-17,0.32,9.75,3.28
