,dividend,close_price,dividend_yield
2001-07-02,4.5,59,7.63
2002-06-17,3,49,6.12
2003-04-17,3.25,50,6.5
2004-04-27,3.25,78,4.17
2005-04-08,2.3,50.5,4.55
2006-05-11,2,40,5
2007-04-02,2.5,40.25,6.21
2008-04-02,3.8,53,7.17
2009-04-02,4.2,46.5,9.03
2010-03-16,5,74,6.76
2011-03-17,5,90.75,5.51
2012-03-19,5,94,5.32
2013-03-18,9,202,4.46
2013-11-22,0.4,19,2.11
2014-03-06,0.5,18.8,2.66
2015-03-12,0.7,31,2.26
2015-08-24,0.35,24,1.46
2016-03-17,0.35,20.8,1.68
2016-08-24,0.35,20.3,1.72
2017-02-23,0.45,19.6,2.3
