,dividend,close_price,dividend_yield
2005-03-15,1,52,1.92
2006-03-14,1.25,65.5,1.91
2006-09-11,0.5,64.5,0.78
2007-04-12,1.25,69,1.81
2007-09-10,0.5,76,0.66
2008-04-10,1.5,91.5,1.64
2008-09-08,0.5,68.5,0.73
2009-04-10,1.5,50,3
2009-09-08,0.5,74.25,0.67
2010-04-16,2,92,2.17
2010-09-07,0.5,112.5,0.44
2011-04-18,2,131,1.53
2011-09-06,0.5,125,0.4
2012-04-10,2,153,1.31
2012-09-04,0.5,172.5,0.29
2013-04-10,2.5,197,1.27
2013-09-10,0.5,175.5,0.28
2014-04-11,3,185,1.62
2014-09-09,0.5,242,0.21
2015-04-09,3.5,234,1.5
2015-09-08,0.5,178.5,0.28
2016-04-05,3.5,168,2.08
2016-09-06,0.5,189,0.26
2017-04-07,3.5,193.5,1.81
