,dividend,close_price,dividend_yield
2002-01-03,1.6,2.775,57.66
2003-02-11,1.8,3.275,54.96
2004-02-13,2,5.25,38.1
2005-02-09,2.5,4,62.5
2005-06-24,0.125,3.8,3.29
2006-02-08,0.125,4.1,3.05
2007-02-07,0.25,5.4,4.63
2008-02-05,0.25,4.88,5.12
2009-02-05,0.25,3.06,8.17
2009-09-03,0.1,3.78,2.65
2010-03-23,0.25,4.82,5.19
2010-09-02,0.13,5.5,2.36
2011-03-28,0.25,6.2,4.03
2011-09-02,0.12,6.1,1.97
2012-04-04,0.3,7.65,3.92
2012-09-03,0.2,11.1,1.8
2013-05-08,0.24,14.1,1.7
2013-09-11,0.2,13.3,1.5
2014-04-28,0.22,11.3,1.95
2014-09-08,0.21,11.3,1.86
2015-04-29,0.24,11.3,2.12
2015-09-02,0.22,11.4,1.93
2016-04-29,0.25,12.7,1.97
2016-09-08,0.2,12.3,1.63
2017-04-24,0.27,11.7,2.31
