,dividend,close_price,dividend_yield
2001-04-10,3,5.3,56.6
2002-04-03,3.5,7.8,44.87
2003-04-03,6,12.3,48.78
2004-04-05,0.6,21.5,2.79
2005-04-04,0.6,16.3,3.68
2006-04-03,0.6,19.6,3.06
2007-04-02,0.7,19.6,3.57
2008-04-03,0.9,28.75,3.13
2009-03-12,0.45,11.1,4.05
2010-03-04,0.6,20.2,2.97
2011-03-11,1,32.75,3.05
2012-03-12,0.8,25.25,3.17
2013-03-29,0.44,28.5,1.54
2013-06-20,0.11,24.9,0.44
2014-06-03,0.44,26,1.69
2015-07-07,0.6,24.7,2.43
2016-06-09,0.6,23,2.61
2017-06-08,0.8,38,2.11
