,dividend,close_price,dividend_yield
2001-05-09,1,9.4,10.64
2002-05-08,1.5,22.9,6.55
2003-05-07,2,24,8.33
2003-08-27,1,29.75,3.36
2004-05-07,1.25,34,3.68
2004-08-31,1.25,32,3.91
2005-05-09,1.5,38,3.95
2005-10-14,1.25,34,3.68
2006-05-08,1.75,41.75,4.19
2006-10-16,1.25,39.25,3.18
2007-05-10,1.75,42.5,4.12
2007-10-11,1.25,41.5,3.01
2008-05-07,1.75,41,4.27
2008-10-13,1.5,32.5,4.62
2009-05-06,1.75,28.25,6.19
2009-10-12,1,29.5,3.39
2010-05-07,2,36.75,5.44
2010-10-08,2.5,51.25,4.88
2011-05-06,2.5,56.75,4.41
2011-10-07,0.2,5.6,3.57
2012-05-03,0.25,6.6,3.79
2012-10-09,0.2,6.95,2.88
2013-04-18,0.3,10.2,2.94
2013-10-09,0.25,9.9,2.53
2014-04-24,0.3,9.8,3.06
2014-08-07,0.45,10,4.5
2014-10-15,0.25,10.8,2.31
2015-04-30,0.3,10.1,2.97
2015-10-01,0.25,8.55,2.92
2015-11-25,0.5,8.9,5.62
2016-04-28,0.25,8.35,2.99
2016-10-06,0.1,6.45,1.55
2017-05-05,0.15,5.05,2.97
