,dividend,close_price,dividend_yield
2001-04-20,6,7.35,81.63
2002-04-24,7,11.3,61.95
2002-08-23,3.5,12.3,28.46
2003-04-25,3.5,12.2,28.69
2004-04-08,0.75,15.9,4.72
2005-03-31,0.9,20.2,4.46
2006-03-30,1.1,24.3,4.53
2007-04-03,1,18.7,5.35
2008-04-01,0.75,17,4.41
2008-07-08,0.26,17.3,1.5
2009-05-06,0.54,18.6,2.9
2010-04-29,0.75,22,3.41
2010-11-29,0.54,18.2,2.97
2011-05-04,0.31,18,1.72
2011-08-18,0.4638,21.2,2.19
2012-04-30,0.6362,21.2,3
2013-04-30,1.2,30.25,3.97
2014-05-29,0.95,27.75,3.42
2015-05-21,0.85,26,3.27
2016-05-13,0.75,23.9,3.14
2017-05-04,0.85,23.8,3.57
