,dividend,close_price,dividend_yield
2003-05-29,0.2,7,2.86
2003-08-29,0.15,8.8,1.7
2003-11-28,0.1,7.35,1.36
2004-04-01,0.05,4.96,1.01
2005-04-08,0.25,6.15,4.07
2006-03-31,0.15,3.84,3.91
2007-04-02,0.1,2.88,3.47
2008-04-02,0.11,2.9,3.79
2008-10-14,0.1,2.9,3.45
2009-04-29,0.03,2.7,1.11
2009-08-27,0.1,3.02,3.31
2010-04-12,0.2,4.34,4.61
2010-08-24,0.15,8.15,1.84
2010-11-19,0.25,32.5,0.77
2011-04-20,0.45,25,1.8
2011-08-23,0.6,24.8,2.42
2012-04-26,0.1,15.4,0.65
2013-04-30,0.15,13.1,1.15
2016-05-04,0.005,6.8,0.07
2017-05-04,0.2,14.1,1.42
2017-05-26,0.1,13.9,0.72
