,dividend,close_price,dividend_yield
2001-10-24,2,29,6.9
2003-05-06,1,26,3.85
2003-11-05,1.25,32.5,3.85
2004-04-08,1.25,30.75,4.07
2004-10-06,1.25,35,3.57
2005-10-11,1.25,30.75,4.07
2006-05-02,1.25,30,4.17
2006-10-06,1.25,29.75,4.2
2007-05-09,1,29.5,3.39
2007-10-04,1.5,34,4.41
2008-04-09,1.5,60.5,2.48
2008-10-13,1.5,38,3.95
2009-05-06,1.25,40,3.13
2009-10-09,1.75,52,3.37
2010-05-04,1.5,59,2.54
2010-09-13,2,66,3.03
2011-04-12,1.75,70.5,2.48
2011-09-22,2.25,86,2.62
2012-03-05,2.25,80,2.81
2012-10-09,2,99.5,2.01
2013-03-12,2.25,104.5,2.15
2013-10-15,2.25,112,2.01
2014-03-17,2.25,108,2.08
2014-10-15,0.25,15,1.67
2015-03-10,0.25,12.7,1.97
2015-10-09,0.25,14,1.79
2016-03-14,0.28,13.2,2.12
2016-10-12,0.28,13,2.15
2017-03-20,0.28,12.6,2.22
