,dividend,close_price,dividend_yield
2001-04-02,1,0.7082,141.2
2002-04-02,1.5,1.8108,82.84
2003-04-01,1.5,1.7159,87.42
2004-03-30,1.5,2.154,69.64
2005-04-01,1.25,2.9936,41.76
2006-03-30,1.25,5.1476,24.28
2007-04-03,0.13,5.5,2.36
2008-04-28,0.13,5.85,2.22
2009-04-28,0.1,3.1,3.23
2010-04-30,0.05,3.82,1.31
2011-04-29,0.05,6.1,0.82
2012-04-27,0.15,12.8,1.17
2013-05-02,0.3,37.25,0.81
2014-04-30,0.4,31,1.29
2015-04-29,0.4,34.25,1.17
2016-05-09,0.5,39.25,1.27
2017-05-08,0.55,35.25,1.56
