,dividend,close_price,dividend_yield
2003-04-02,2,4.3474,46
2004-04-02,0.15,10.0145,1.5
2005-04-01,0.1,4.1533,2.41
2008-04-03,0.08,3.48,2.3
2010-03-29,0.15,6.4,2.34
2010-08-30,0.15,9.95,1.51
2011-04-01,0.3,7.85,3.82
2011-08-30,0.1,6.25,1.6
2012-03-30,0.1,5.55,1.8
2012-08-16,0.2,7.55,2.65
2013-04-01,0.35,16,2.19
2013-08-20,0.25,16.5,1.52
2014-03-28,0.5,29.25,1.71
2014-08-18,0.4,40,1
2015-03-20,0.7,55,1.27
2015-08-21,0.5,53.25,0.94
2016-03-25,1,81.5,1.23
2016-08-19,1,98.75,1.01
2017-03-24,1.1,105,1.05
