,dividend,close_price,dividend_yield
2005-12-13,0.5,5.45,9.17
2006-03-31,1.2,9.4719,12.67
2008-04-08,1.5,17.1,8.77
2008-09-30,0.25,28,0.89
2009-08-20,0.84,23,3.65
2009-11-30,0.7,28.5,2.46
2010-05-11,0.7,25,2.8
2010-07-05,0.86,27,3.19
2010-12-20,1.5,28.25,5.31
2011-04-26,0.89,24.3,3.66
2011-10-03,1.67,26,6.42
2012-02-24,0.64,24.9,2.57
2012-09-05,1.45,48,3.02
2013-03-26,1,84.5,1.18
2013-05-03,0.0102,129.5,0.01
2013-09-12,0.11,7.15,1.54
2014-05-08,0.0568,4.98,1.14
2015-05-07,0.0625,11.2,0.56
2016-05-09,0.156,24.1,0.65
2017-05-05,0.274,22.8,1.2
