,dividend,close_price,dividend_yield
2006-04-04,0.4,1.32,30.3
2006-09-07,0.5,1.45,34.48
2007-03-07,0.6,1.85,32.43
2007-08-29,0.6,3.3,18.18
2008-03-14,0.18,3.02,5.96
2008-09-04,0.15,2.34,6.41
2009-03-05,0.1,1.93,5.18
2009-09-11,0.15,3.06,4.9
2010-03-05,0.15,3.16,4.75
2010-09-10,0.18,4.76,3.78
2011-03-10,0.18,5.6,3.21
2011-09-09,0.18,6.25,2.88
2012-03-09,0.2,6.15,3.25
2012-09-07,0.2,7.05,2.84
2013-03-13,0.2,9.15,2.19
2013-09-04,0.2,8.35,2.4
2014-03-12,0.18,6.45,2.79
2014-09-18,0.15,6.35,2.36
2015-03-09,0.12,5.15,2.33
2015-09-10,0.12,4.7,2.55
2016-03-09,0.13,4.24,3.07
2016-08-25,0.15,5.3,2.83
2017-03-03,0.15,6.1,2.46
2017-09-18,0.18,6.15,2.93
