,dividend,close_price,dividend_yield
2007-02-23,0.103,9.3,1.11
2007-05-25,0.24,9.85,2.44
2007-08-28,0.248,9.7,2.56
2007-11-27,0.24,9.95,2.41
2008-02-26,0.241,10.3,2.34
2008-05-27,0.243,10.5,2.31
2008-08-26,0.258,9.9,2.61
2008-11-25,0.28,8,3.5
2009-02-24,0.24,8.85,2.71
2009-05-26,0.251,9.2,2.73
2009-08-26,0.25,9.2,2.72
2009-11-25,0.26,9.5,2.74
2010-02-23,0.26,10.3,2.52
2010-05-25,0.271,10.7,2.53
2010-08-26,0.272,11.9,2.29
2010-11-25,0.292,12.5,2.34
2011-02-23,0.28,12.9,2.17
2011-05-26,0.296,14.2,2.08
2011-08-26,0.3,15,2
2011-11-25,0.28,14.1,1.99
2012-02-24,0.16,13.8,1.16
2012-05-28,0.391,14.3,2.73
2012-08-28,0.312,16.9,1.85
2012-11-27,0.51,18.3,2.79
2013-02-22,0.1,18.6,0.54
2013-05-28,0.29,18.1,1.6
2013-08-27,0.301,17.1,1.76
2013-11-26,0.303,16.5,1.84
2014-02-25,0.289,16.1,1.8
2014-05-27,0.306,16.9,1.81
2014-08-26,0.306,17.7,1.73
2014-11-25,0.326,17.3,1.88
2015-02-24,0.31,17.4,1.78
2015-05-26,0.316,17.7,1.79
2015-08-25,0.308,18.1,1.7
2015-11-24,0.302,20.1,1.5
2016-02-24,0.322,22.3,1.44
2016-05-24,0.322,23,1.4
2016-08-24,0.316,24.1,1.31
2016-11-23,0.341,23.7,1.44
2017-02-23,0.351,23.6,1.49
2017-05-24,0.358,22.1,1.62
2017-08-24,0.355,20.5,1.73
2017-11-23,0.352,21.8,1.61
