,dividend,close_price,dividend_yield
2004-03-17,1,8,12.5
2005-03-09,0.1,6.5,1.54
2013-09-13,0.0142,6.55,0.22
2014-05-06,0.076619,4.76,1.61
2015-04-09,0.0023169,1.48,0.16
2016-05-04,0.023,0.82,2.8
2017-05-08,0.022,0.64,3.44
