,dividend,close_price,dividend_yield
2001-03-30,2,3.55,56.34
2001-12-26,10,5.75,173.91
2002-03-25,3,5.15,58.25
2002-10-30,2,4.025,49.69
2003-03-26,1,3.625,27.59
2003-12-25,0.15,7.15,2.1
2004-03-31,0.1,5.8,1.72
2004-08-26,0.2,9.9,2.02
2004-12-28,0.75,10.4,7.21
2005-03-03,0.16,9.85,1.62
2005-08-25,0.25,11.3,2.21
2006-03-29,0.098,10.7,0.92
2006-10-26,0.25,12.5,2
2007-03-28,0.22,11.1,1.98
2007-10-25,0.3,21.8,1.38
2008-04-02,0.35,19,1.84
2008-10-31,0.4,7.1,5.63
2009-04-29,0.4,7.15,5.59
2009-11-26,0.5,16.4,3.05
2010-03-12,0.5,15.1,3.31
2010-10-28,0.5,20.5,2.44
2011-03-14,0.55,23.2,2.37
2011-10-27,0.8,23.4,3.42
2012-03-14,1,27.5,3.64
2012-10-25,0.5,25.75,1.94
2013-04-25,0.5,25,2
2013-10-31,0.35,12.6,2.78
2014-03-14,0.4,11.8,3.39
2014-10-30,0.35,13.5,2.59
2015-03-13,0.4,13.1,3.05
2015-10-29,0.35,11.5,3.04
2016-03-11,0.4,9.45,4.23
2016-10-27,0.35,12.9,2.71
2017-03-17,0.29,13.4,2.16
2017-10-30,0.4,14.2,2.82
