,dividend,close_price,dividend_yield
2007-05-15,0.3124,10,3.12
2007-08-21,0.2006,8.95,2.24
2007-11-15,0.2248,8.35,2.69
2008-02-25,0.1851,9.05,2.05
2008-05-26,0.2506,9.1,2.75
2008-08-26,0.2075,7.8,2.66
2008-11-25,0.2337,5.15,4.54
2009-03-03,0.1784,5.95,3
2009-05-25,0.24,7.2,3.33
2009-08-24,0.21,7.05,2.98
2009-11-19,0.24,8.5,2.82
2010-02-25,0.2,8.75,2.29
2010-08-20,0.1727,9.3,1.86
2010-11-24,0.235,9.85,2.39
2011-02-28,0.21,9.8,2.14
2011-05-20,0.27,9.8,2.76
2011-08-22,0.22,9.9,2.22
2011-11-21,0.25,9.75,2.56
2012-02-16,0.25,10.3,2.43
2012-05-21,0.3,11.6,2.59
2012-08-20,0.27,13.1,2.06
2012-11-19,0.305,16.6,1.84
2013-02-22,0.28,17.9,1.56
2013-05-22,0.33,18.9,1.75
2013-08-19,0.29,18.3,1.58
2013-11-25,0.335,17,1.97
2014-02-24,0.295,16,1.84
2014-05-26,0.34,16.8,2.02
2014-08-25,0.29,17.9,1.62
2014-11-20,0.325,17.4,1.87
2015-02-23,0.295,17.7,1.67
2015-05-25,0.33,17.8,1.85
2015-08-21,0.3,19,1.58
2015-11-19,0.35,20.1,1.74
2016-02-19,0.31,22,1.41
2016-05-24,0.4,24.1,1.66
2016-08-24,0.335,26,1.29
2016-11-21,0.395,26.5,1.49
2017-02-21,0.34,24.4,1.39
2017-05-22,0.41,23.6,1.74
2017-08-21,0.345,23.4,1.47
2017-11-17,0.4,24,1.67
