,dividend,close_price,dividend_yield
2013-10-29,0.1971,10.3,1.91
2014-02-03,0.1787,9.5,1.88
2014-05-02,0.2002,9.6,2.09
2014-08-06,0.1928,9.95,1.94
2014-11-10,0.1928,9.9,1.95
2015-01-30,0.1775,9.75,1.82
2015-05-08,0.193,9.65,2
2015-08-04,0.195,10,1.95
2015-11-04,0.1978,10.7,1.85
2016-02-04,0.215,10.5,2.05
2016-05-03,0.198,12.6,1.57
2016-08-04,0.193,12.3,1.57
2016-11-08,0.1978,11.9,1.66
2017-02-02,0.193,11.4,1.69
2017-05-05,0.193,11.3,1.71
2017-08-10,0.193,11.3,1.71
2017-11-08,0.193,11.5,1.68
