,dividend,close_price,dividend_yield
2009-05-15,0.17,10.1,1.68
2009-09-11,0.166,9.9,1.68
2009-10-13,0.16,9.95,1.61
2010-04-19,0.1875,10,1.88
2010-08-27,0.18,10,1.8
2010-10-15,0.1875,10.1,1.86
2011-02-16,0.18,9.9,1.82
2011-04-11,0.185,9.5,1.95
2011-08-11,0.185,9.5,1.95
2011-10-19,0.185,9.5,1.95
2012-02-17,0.185,9.5,1.95
2012-04-20,0.188,9.5,1.98
2012-08-29,0.188,9.6,1.96
2012-10-22,0.188,10,1.88
2013-02-26,0.188,9.85,1.91
2013-04-30,0.188,9.5,1.98
2013-08-26,0.187,9.45,1.98
2013-10-17,0.186,9.45,1.97
2014-02-24,0.18,9.6,1.88
2014-04-29,0.168,9.4,1.79
2014-08-26,0.168,9.15,1.84
2014-10-20,0.18,9,2
2015-02-24,0.1557,8.15,1.91
2015-04-29,0.175,8.1,2.16
2015-08-27,0.17,7.9,2.15
2015-10-27,0.17,8,2.13
2016-02-24,0.0927,6.6,1.4
2016-05-11,0.1301,6,2.17
2016-08-23,0.0588,6.25,0.94
2016-11-03,0.0556,6.1,0.91
2017-03-01,0.0556,6.05,0.92
2017-05-16,0.06,5.3,1.13
2017-08-21,0.08,6.35,1.26
2017-11-20,0.06,5.65,1.06
