,dividend,close_price,dividend_yield
2005-12-13,0.1,5.8,1.72
2006-04-03,0.12,2.3,5.22
2007-03-29,0.12,2.02,5.94
2008-04-04,0.14,2.2,6.36
2009-04-03,0.11,1.39,7.91
2010-05-11,0.05,1.63,3.07
2010-08-18,0.05,2.12,2.36
2011-05-10,0.14,2.82,4.96
2011-09-08,0.1,3.04,3.29
2012-05-08,0.12,4.02,2.99
2012-08-21,0.14,4.3,3.26
2013-05-03,0.18,6.75,2.67
2013-08-21,0.1,5.2,1.92
2014-05-06,0.16,4.98,3.21
2014-08-20,0.1,4.7,2.13
2015-05-06,0.12,4.56,2.63
2015-08-26,0.12,4.32,2.78
2016-05-04,0.14,3.92,3.57
2016-08-26,0.12,3.98,3.02
2017-05-08,0.18,5.55,3.24
2017-08-23,0.14,5.55,2.52
