,dividend,close_price,dividend_yield
2005-02-22,1.5,8.5,17.65
2006-03-15,1,7.65,13.07
2006-11-23,1,7.6,13.16
2007-03-06,0.5,8.8,5.68
2007-08-22,0.5,20.7,2.42
2008-02-19,1.5,32.25,4.65
2008-08-22,1,24.8,4.03
2009-03-12,0.25,8.45,2.96
2011-12-29,0.2,13.2,1.52
