,dividend,close_price,dividend_yield
2006-03-24,0.3,13.9,2.16
2007-04-03,0.17,8.5,2
2008-04-01,0.3,13.4,2.24
2009-04-20,0.5,10.4,4.81
2009-08-26,1,15.9,6.29
2010-03-04,0.8,14.8,5.41
2010-09-07,0.5,15.3,3.27
2011-02-28,0.55,18.6,2.96
2011-09-09,0.65,22.5,2.89
2012-02-27,1,24.2,4.13
2012-09-07,0.35,23.2,1.51
2013-03-04,0.9,39.5,2.28
2013-09-09,0.6,34,1.76
2014-03-03,0.75,28.75,2.61
2014-09-04,0.6,35,1.71
2015-03-03,0.4,34.25,1.17
2015-08-26,1,32.75,3.05
2016-03-02,1,31,3.23
2016-09-06,0.8,32.75,2.44
2017-03-01,1,34.5,2.9
2017-09-12,1.05,38.5,2.73
