,dividend,close_price,dividend_yield
2001-03-22,1,1.6,62.5
2002-04-02,1,2.25,44.44
2003-04-28,2,3.525,56.74
2004-03-31,0.3,9.1,3.3
2005-03-31,0.5,7.4,6.76
2005-08-25,0.3,8,3.75
2006-03-28,0.5,13.9,3.6
2006-08-25,0.4,12.4,3.23
2007-03-27,0.6,12.2,4.92
2007-08-24,0.4,17.4,2.3
2008-04-01,0.6,16.1,3.73
2009-03-27,0.25,3.22,7.76
2009-09-18,0.25,8.6,2.91
2010-03-29,0.3,9.9,3.03
2010-08-20,0.3,10.7,2.8
2011-03-24,0.4,11.2,3.57
2011-08-26,0.2,8.95,2.23
2013-04-04,0.3,11.3,2.65
2013-08-27,0.3,8.05,3.73
2015-04-27,0.02,8.55,0.23
2015-08-27,0.2,5.85,3.42
2016-04-29,0.25,5.7,4.39
2017-08-29,0.1,5.2,1.92
