,dividend,close_price,dividend_yield
2006-09-27,0.13,2.86,4.55
2007-03-30,0.17,2.84,5.99
2008-04-02,0.087,1.56,5.58
2008-10-06,0.2,1.24,16.13
2010-03-29,0.06,1.35,4.44
2011-03-07,0.08,1.84,4.35
2012-11-16,0.05,1.95,2.56
2013-03-18,0.05,2.46,2.03
2016-11-09,0.1,2.3,4.35
