,dividend,close_price,dividend_yield
2013-03-12,0.1,7.7,1.3
2014-03-18,0.034,6.25,0.54
2014-11-26,0.05,5.6,0.89
2015-03-20,0.05,4.62,1.08
2015-11-25,0.05,4.64,1.08
2016-03-22,0.1,4.88,2.05
2016-11-24,0.05,4.58,1.09
2017-03-10,0.1,4.52,2.21
