,dividend,close_price,dividend_yield
2003-04-01,1,2.0683,48.35
2004-03-12,2.5,3.7311,67
2005-04-04,0.2,3.3,6.06
2006-03-31,0.22,4.22,5.21
2006-08-22,0.08,4.5,1.78
2007-04-03,0.18,5.85,3.08
2007-08-15,0.1,7.4,1.35
2008-04-01,0.22,7.8,2.82
2008-08-18,0.14,5.5,2.55
2009-04-02,0.2715,2.62,10.36
2009-08-18,0.16,6.05,2.64
2010-03-03,0.34,7.25,4.69
2010-08-17,0.18,8.7,2.07
2011-03-01,0.38,9.25,4.11
2011-08-16,0.21,10.4,2.02
2012-03-01,0.44,14.7,2.99
2012-08-21,0.23,16.6,1.39
2013-02-28,0.53,25.25,2.1
2013-08-20,0.26,22.2,1.17
2014-02-27,0.58,15.9,3.65
2014-08-20,0.26,22.6,1.15
2015-02-24,0.54,20.9,2.58
2015-08-19,0.3,16,1.88
2016-02-23,0.6,13.8,4.35
2016-08-16,0.3,13,2.31
2017-02-21,0.6,12.7,4.72
2017-08-22,0.15,10.5,1.43
