Name ,MCap (M),NVDR (Val),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG
HPT,614,,65.93,2.68,0.11,0.01,0.02,3.65,4.03,7,0.86,22.97,,867,852,-3.7,1
HTC,"3,028",,12.57,1.22,0.90,0.30,1.21,6.29,10,4.21,1.67,20.97,,419,446,0.18,1
HTECH,"1,800","-47,370.00",15.27,1.96,0.28,0.11,0.39,14.57,14.78,14.27,2.78,58.12,,364,290,1.03,1
HYDRO,507,,,7.65,5.88,,0,-18.63,-100.25,-31.48,,69.78,,,,,2
ICC,"10,753","-3,700.00",11.49,0.62,0.16,1.15,3.22,5.33,5.61,6.95,3.13,27.00,,492,446,1.34,2
ICHI,"13,000","-734,825.00",35.28,2.26,0.50,,0.28,4.63,6.25,7,2.50,34.89,,756,742,-1.85,2
IEC,"4,068",,,1.00,0.30,,0,-0.93,-1.35,-17.42,,98.19,,,,,
IFEC,"6,150",,14.58,1.16,1.75,0.12,0.21,6.48,8.21,10.99,3.41,88.16,,502,482,0.1,2
IFS,"1,429","39,078.00",10.96,1.29,2.18,0.10,0.28,4.8,12.14,37.3,3.15,26.69,,321,444,0.62,1
IHL,"2,866","41,600.00",14.98,2.25,1.15,0.15,0.39,9.61,15.9,9.77,2.81,28.66,,351,393,1.7,1
ILINK,"6,342","333,240.00",28.72,2.42,0.91,0.20,0.61,7.31,9.96,7.43,1.14,36.63,,639,627,1.19,1
INET,"2,010","36,880.00",23.82,1.49,0.91,0.08,0.17,6.89,9.1,8.27,1.94,50.80,,615,602,-0.1,2
INOX,"15,747","667,689.00",26.73,1.71,0.29,0.05,0.08,5.11,6.59,4.28,2.47,4.92,,699,678,0.07,
INSURE,363,,48.66,1.68,3.61,,0.74,0.73,3.53,2.83,,25.27,,856,930,1.44,1
INTUCH,"172,345","-35,677,525.00",10.51,6.35,0.62,1.61,5.11,32.77,62.3,57.32,8.65,54.35,,90,95,44.7,3
IRC,"4,480","200,030.00",7.95,1.33,0.33,1.03,2.82,16.43,17.83,12,4.59,27.83,,147,95,0.13,2
IRCP,727,"15,000.00",,2.00,1.89,,0,-7.17,-24.02,-8.94,,79.54,,,,,1
IRPC,"100,537","31,216,708.00",10.34,1.24,1.13,0.23,0.48,6.81,12.41,5.22,4.66,51.90,,303,371,-0.04,3
IT,"1,307","-169,634.00",85.06,1.26,0.74,0.04,0.04,0.88,1.47,0.31,1.07,57.12,,924,955,-0.9,1
ITD,"25,871","-231,570.00",,1.99,4.92,,0,3.28,-0.83,-0.23,,66.49,11.06,,,,1
ITEL,"5,250","392,270.00",78.08,3.74,1.37,,0.13,4.7,7.77,8.31,,33.42,,797,821,0.64,
IVL,"164,890","10,871,875.00",10.18,1.85,1.87,0.36,3.36,9.43,19.18,6.15,1.94,33.49,,176,276,0.14,3
J,852,,150.80,1.17,2.12,,0.02,1.27,0.77,1.01,,30.16,,954,965,-1.64,1
JAS,"51,651","4,155,875.00",17.21,4.80,3.55,0.25,0.48,8.64,22.99,16.54,6.64,73.66,,291,448,0.19,
JCT,"1,121",,14.91,1.02,0.14,4.00,5.57,7.74,7.43,8.96,4.71,24.61,,529,446,-169.43,
JMART,"9,314","5,593,850.00",21.26,3.18,3.07,0.02,0.7,7.16,15.29,3.9,0.25,55.64,11.39,441,554,0.79,1
JMT,"8,258","5,252,250.00",28.43,4.24,1.15,0.66,0.78,8.53,16.11,23.88,3.10,38.94,9.56,497,572,0.49,1
JSP,"4,662",4.00,37.66,0.90,1.42,0.01,0.03,3.32,2.41,3.72,0.91,41.99,,834,801,0.43,2
JTS,"1,469","1,872.00",,1.55,0.37,,0,-3.16,-5.69,-40.43,4.90,49.08,,,,,
JUBILE,"3,067","-1,750.00",19.50,3.96,0.35,0.30,0.9,19.1,21.26,11.37,3.14,45.00,,340,301,2.88,1
JUTHA,379,,,0.77,3.11,,0,-2.52,-20.75,-32.42,,52.61,,,,,
JWD,"9,129","96,645.00",,3.57,1.06,0.08,0,1.7,-0.34,-0.39,0.89,27.39,,,,,1
K,"1,144","-54,000.00",18.63,2.57,0.64,0.09,0.28,11.45,14.53,5.19,1.79,28.44,,419,397,1.3,2
KAMART,"7,255","-176,670.00",27.50,9.09,0.55,0.07,0.4,29.74,34.82,18.16,2.57,61.83,9.55,371,359,0.81,
KASET,745,,,2.20,1.04,,0,-0.14,-2.95,-0.78,,21.51,,,,,1
KBANK,"454,719","-248,426,601.00",11.32,1.41,7.75,3.50,16.79,2.07,13.23,22.46,2.12,66.02,,310,547,0.91,3
KBS,"4,650","-296,810.00",,1.31,1.99,0.05,0,-2.26,-9.45,-4.96,1.29,35.33,,,,,1
KC,875,,10.17,0.61,0.25,,0.1,5.98,6.12,10.51,,60.98,,443,389,-0.22,
KCAR,"3,675",200.00,11.11,1.85,1.34,0.72,1.32,7.87,17.54,16.51,6.89,26.59,,232,353,2.06,1
KCE,"61,541","-46,956,284.50",20.25,6.16,0.73,1.00,5.18,19.48,33.65,21.7,1.41,58.30,,294,308,0.16,3
KCM,666,"-35,479.00",52.44,1.48,0.72,0.01,0.02,2.88,2.88,2.83,0.78,29.41,,873,863,4.77,
KDH,"2,093",,,4.65,0.40,,0,-3.53,-5.3,-3.91,,41.91,,,,,
KGI,"8,365","5,351,440.00",8.18,1.53,1.58,0.38,0.51,10.77,19.43,31.5,9.09,64.98,,135,201,0.38,1
KIAT,"1,701","-101,552.00",14.76,1.54,0.11,0.03,0.04,11.01,10.42,13.75,6.25,47.80,,456,353,-1.63,
KKC,"3,240","-7,862.00",51.18,1.28,2.05,0.10,0.05,3.69,2.44,0.72,3.70,46.91,,881,835,0.04,1
KKP,"57,156","33,071,775.00",10.30,1.42,4.80,4.00,6.55,2.76,14.18,27.35,8.99,68.68,,254,495,0.5,3
KOOL,"3,096","524,120.00",35.59,7.96,0.46,0.05,0.18,19.48,24.32,9.78,1.17,38.12,20.90,451,434,0.08,1
KSL,"21,257","18,011,309.00",14.90,1.31,1.34,0.10,0.32,6.42,9.64,7.72,2.09,20.30,,476,492,4.09,2
KTB,"279,521","-23,986,750.00",8.66,1.02,8.80,0.76,2.31,1.48,12.42,20.15,3.82,44.93,,263,508,0.54,3
KTC,"33,389","2,848,550.00",13.39,3.24,5.62,4.00,9.67,4.87,26.19,16.56,3.08,41.97,13.00,204,504,0.19,3
KTIS,"26,827","-5,623.90",,3.42,1.05,0.10,0,-0.41,-6.21,-3.4,1.45,18.90,,,,,2
KWC,"1,194",,18.55,2.11,0.09,5.50,10.73,14.58,12.66,29.5,2.82,45.59,,462,337,3.2,1
KWG,537,,8.83,2.52,10.39,,0.28,10.88,32.84,10.55,,31.71,,79,213,-0.22,
KYE,"10,560","12,397,200.00",7.51,1.73,0.26,19.14,63.93,21.73,24.99,15.36,3.97,34.99,,82,56,0.56,1
L&E,"1,732",,23.38,1.56,1.45,0.15,0.16,,,,3.87,,,,,2.49,2
LALIN,"3,564",,7.99,0.72,0.85,0.01,0.54,7.37,10.37,18.38,3.05,31.44,,291,286,0.51,1
LANNA,"7,035","-9,380.00",25.92,1.71,0.66,0.29,0.52,6.82,6.48,3.07,4.78,23.29,,701,625,-1.13,2
LDC,852,-286.00,,2.22,0.27,,0,-20.4,-28.15,-23.56,,33.74,13.74,,,,
LEE,"2,951","141,142.00",11.89,1.10,0.11,0.24,0.27,10.21,9.56,7.13,7.50,49.81,,415,304,19.62,
LH,"114,773","-5,088,460.00",13.31,2.42,1.14,0.30,0.72,11.1,18.62,24.75,6.60,42.24,,273,320,1.4,2
LHBANK,"24,413","436,007.00",9.05,1.20,9.44,0.05,0.2,1.62,14.09,27.3,2.91,26.41,,237,516,0.22,3
LHK,"1,540","-2,160,728.00",10.26,1.14,0.51,0.14,0.39,10.87,11.21,4.99,5.97,27.91,,319,244,-5.22,2
LIT,"2,120","-963,570.00",21.06,4.45,3.19,0.01,0.5,8.01,22.7,35.05,0.11,51.14,,338,512,0.44,2
LOXLEY,"6,931","-546,156.00",40.20,1.10,1.44,0.07,0.08,2.73,2.77,1.19,2.29,62.89,,837,831,-20.32,2
LPH,"6,600","295,370.00",42.33,4.11,0.22,0.20,0.21,10,9.82,11.44,2.26,56.16,,708,611,0.77,1
LPN,"17,266","25,541,670.00",7.93,1.39,0.50,0.60,1.48,14.37,18.14,14.85,7.63,75.51,,146,128,2.35,3
LRH,"4,375",,11.51,0.35,0.65,0.26,2.28,3.44,3.2,7.12,1.45,29.19,,533,515,0.06,2
LST,"4,141","1,742,000.00",12.52,1.32,0.78,0.10,0.4,8.35,10.97,3.96,2.00,19.41,,391,375,0.65,2
LTX,"3,162",,7.38,0.59,0.84,1.25,8.27,5.76,8.21,4.75,4.10,26.12,,342,344,0.06,
LVT,457,,,1.78,427.87,,0,-13.7,-156.3,-103.29,,74.86,,,,,
M,"54,205","-240,775.00",25.82,4.05,0.17,1.10,2.29,16.8,15.92,13.55,3.57,21.18,,483,394,25.04,2
M-CHAI,"4,432",,25.60,3.25,1.27,4.40,10.82,8.97,14.12,7.94,1.59,36.92,,511,543,1.95,1
MACO,"4,078","8,664.00",39.98,3.70,0.42,0.01,0.03,11.45,11.06,13.49,2.21,46.61,,656,559,6.43,2
MAJOR,"30,638","2,499,475.00",25.78,4.62,1.21,0.60,1.33,10.96,17.98,12.4,3.50,59.65,,451,495,2.8,1
MAKRO,"159,600","13,350.00",29.49,10.14,2.36,0.49,1.13,13.94,36.17,3.13,2.56,2.12,,386,469,1.8,1
MALEE,"12,110","-4,714,948.75",22.84,7.69,1.31,1.15,3.79,20.33,37.54,8.06,2.29,47.77,15.52,315,334,0.54,2
MANRIN,821,,215.35,1.78,1.14,,0.14,3.18,0.83,1.11,,33.07,,960,904,-14.14,
MATCH,"1,224",,,0.88,0.32,,0,-3.42,-5.03,-14.22,,49.49,,,,,1
MATI,"1,177",,,0.84,0.24,,0,-2.7,-4.5,-6.48,,32.82,,,,,1
MAX,793,"211,800.00",32.83,0.80,0.31,,0,6.92,8.74,32.3,,52.12,,724,703,-0.19,
MBAX,796,,13.70,1.90,1.57,0.20,0.36,6.82,14.68,3.78,6.25,41.90,,338,458,-0.43,
MBK,"25,619","-10,865.00",12.47,1.32,1.18,0.33,1.2,7.37,11.77,18.23,4.40,40.41,,373,404,0.23,3
MBKET,"12,558","-22,000.00",12.89,2.56,2.42,0.95,1.71,7.03,20.02,26.54,7.73,16.50,,243,428,0.89,2
MC,"16,800","7,160,340.00",19.94,4.04,0.22,0.50,1.05,17.85,20.77,18.79,4.27,38.90,,352,321,0.55,2
MCOT,"9,001","167,900.00",,1.37,0.55,,0,-7.45,-10.55,-25.96,,22.72,,,,,3
MCS,"7,950","-499,150.00",6.12,2.64,0.35,0.48,2.6,36.57,47.11,21.39,8.61,64.56,,19,16,0.04,
MDX,"2,426",,41.59,0.84,0.37,,0.12,1.44,2.63,10.15,,61.70,,849,887,1.89,1
MEGA,"21,848","-4,974,790.00",27.48,4.67,0.70,0.24,0.92,12.28,17.64,8.99,1.86,35.91,,473,477,2.66,2
METCO,"4,848","69,600.00",10.83,0.79,0.37,14.00,21.43,7.13,7.34,2.77,5.98,21.99,,437,371,-0.16,
MFC,"2,730","6,660.00",14.56,2.01,0.21,,1.52,15.21,14.23,20.43,7.29,34.12,,354,261,2.7,2
MFEC,"2,472","-307,605.00",11.15,1.25,0.68,0.35,0.5,8.68,11.45,6.57,6.25,68.88,,337,324,2.86,1
MGT,848,"1,072,100.00",26.04,,0.91,0.03,0.08,,,,1.43,,,,,,
MIDA,"1,953",,24.72,0.51,1.41,,0.03,4.39,2.1,2.9,,60.98,,764,685,-0.17,
MILL,"5,987",,15.89,1.08,2.08,,0.1,5.42,6.84,2.01,,52.58,,566,535,0.25,
MINT,"148,851","5,359,175.00",22.59,3.98,1.81,0.35,1.49,9.25,18.77,11.57,1.02,50.79,,415,515,1.15,3
MJD,"2,805",-324.00,6.81,0.71,3.01,,0.48,6.6,10.98,7.62,,37.37,,265,315,-0.08,1
MK,"3,849","-1,223,956.00",10.97,0.59,1.04,0.25,0.35,4.83,5.38,11.38,6.54,70.66,10.56,476,438,0.71,1
ML,"1,917","-9,540.00",16.21,1.16,1.11,0.01,0.12,4.6,7.34,22.49,0.51,45.15,,553,567,7.4,
MODERN,"4,388","-129,590.00",25.38,1.81,0.50,0.15,0.23,5.82,6.96,5.22,4.20,64.75,,692,656,13.61,1
MONO,"11,236","8,191,102.00",,4.54,1.28,0.03,0,-1.78,-10.42,-11.81,0.91,23.59,,,,,3
MOONG,771,,9.91,1.25,0.44,0.18,0.5,10.46,14.36,9.85,3.63,25.20,,246,249,1.19,2
MPG,743,"-5,920.00",,4.22,0.78,,0,-26.93,-43.46,-30.97,,33.94,,,,,1
MPIC,"1,898",,,2.70,0.38,,0,-8.07,-11.12,-16.73,,6.78,,,,,
MSC,"1,818","50,500.00",9.67,1.12,0.93,0.35,0.52,7.73,11.82,2.44,7.00,24.07,,291,318,0.48,2
MTI,"7,611","-12,900.00",12.02,1.54,3.03,4.30,10.73,4.07,13.3,8.68,3.33,39.42,,330,502,-0.03,2
MTLS,"59,890","34,624,800.00",40.90,8.94,2.65,0.10,0.69,9.66,23.72,32.74,0.36,20.07,,472,604,0.66,2
NBC,969,,,0.99,0.88,0.08,0,-10.5,-23.99,-51.34,4.44,27.20,28.61,,,,
NC,248,,17.10,0.63,0.65,0.20,0.97,2.93,3.82,2.16,1.18,24.72,,637,643,-1.63,1
NCH,"1,432","264,500.00",69.11,0.58,1.07,,0.02,1.82,0.84,1.44,,26.59,,929,918,-3.33,2
NCL,857,"-92,804.00",,3.78,1.42,,0,-1.47,-3.54,-0.81,,33.80,,,,,1
NDR,886,,15.81,2.04,0.71,0.10,0.26,10.71,13.55,6.55,2.37,33.72,,401,375,5.61,1
NEP,616,,,0.92,0.13,,0,-8.92,-11.46,-22,,38.18,,,,,1
NETBAY,"3,340","888,840.00",37.40,9.71,0.37,0.22,0.45,26.41,35.67,32.24,1.33,20.00,,426,420,1.01,
NEW,453,,41.56,1.39,0.40,0.50,1.09,4,3.38,3.59,1.00,19.38,,838,797,-0.49,
NEWS,881,-709.00,,1.27,2.30,,0,-51.85,-100.36,-432.11,,73.12,,,,,
NINE,250,,,0.94,0.41,0.02,0,-38.84,-56.37,-116.73,1.49,23.43,,,,,
NKI,"1,716",,50.44,0.82,1.66,1.00,1.03,,,1.25,1.89,50.60,,,,0.79,3
NMG,"4,068","879,235.00",,1.52,1.52,0.03,0,-12.08,-33.52,-50.52,2.94,48.34,17.78,,,,
NNCL,"2,601","-4,445.00",16.28,0.96,0.45,,0.08,4.21,6.09,20.36,,42.52,,586,587,-0.63,
NOBLE,"7,349","-104,900.00",10.77,1.66,4.25,0.22,1.49,4.87,16.66,14.94,1.38,52.77,17.99,229,429,-0.08,2
NOK,"4,594","-478,100.00",,19.34,26.54,,0,-48.08,-170.11,-16.5,,49.00,,,,,1
NPK,315,,7.36,0.92,0.42,0.20,4.28,12.34,13.29,10.73,0.63,24.06,,223,148,-6.02,
NPP,"1,067","338,842.00",,0.88,0.61,,0,-10.07,-13.94,-13.5,,81.84,,,,,
NSI,"1,119",,12.39,0.90,1.74,1.40,6.5,3.22,7.11,4.9,4.81,27.12,,496,549,0.61,2
NTV,"8,440","-10,525.00",26.59,5.01,0.16,1.19,1.98,20.63,19.67,15.93,2.26,31.24,,437,376,1.7,2
NUSA,"2,987","-3,053.00",,0.41,0.69,,0,-0.8,-2.76,-19.37,,81.61,,,,,1
NWR,"3,206","-144,079.00",61.63,0.87,2.39,,0.02,2.33,1.42,0.62,,88.96,,911,889,-0.17,
NYT,"9,114","-282,240.00",23.37,2.44,0.17,0.60,0.63,11.67,10.41,27.34,4.08,28.05,,576,455,4.89,3
OCC,942,,13.31,1.12,0.36,0.70,1.18,7.84,8.59,4.99,4.40,36.77,,469,408,-2.08,2
OCEAN,948,"278,712.00",603.59,3.64,0.48,,0,1.68,0.59,0.47,1.17,57.32,,970,962,-10.01,
OGC,949,"-8,800.00",10.04,0.56,0.79,2.22,4.43,4.65,5.63,4.6,5.02,37.86,,446,422,-0.15,2
OHTL,"16,759",,109.77,22.74,1.90,5.00,10.11,9.84,20.17,7.38,0.99,16.52,,578,673,6.3,
OISHI,"22,125","-23,900.00",19.07,4.54,0.92,1.40,6.19,12.28,22.43,8.48,3.33,20.34,,324,379,3.67,2
ORI,"11,673","-548,300.00",18.31,5.33,1.83,0.04,0.58,16,32.35,19.93,1.16,8.65,12.71,276,315,0.28,2
OTO,"1,764","-23,825.00",21.16,2.02,0.16,0.15,0.3,10.07,9.73,8.61,3.71,29.71,,561,457,-416.4,3
PACE,"12,251","1,953,340.00",,7.24,17.84,,0,-6.13,-121.9,-42.56,,39.94,,,,,2
PAE,194,,,,-5.04,,0,-18.12,,-33.07,,100.00,,,,,
PAF,"1,177",,4.86,2.51,0.61,0.02,0.45,35.96,72.11,23.1,1.04,57.18,,5,8,0.03,
PAP,"3,927","319,925.00",7.19,1.54,0.45,0.99,0.83,19.45,23.92,7.64,16.78,24.38,,79,62,-0.02,2
PATO,"1,708","-238,700.00",12.44,3.09,0.25,0.92,0.96,25.28,25.79,19.02,7.73,40.65,,185,158,3.38,1
PB,"28,800",,19.69,4.73,0.24,0.91,3.25,22.97,25.63,19.14,2.58,24.78,,306,285,1.59,2
PCA,680,,,1.57,0.94,,0,-1.63,-5.4,-3.45,,32.27,,,,,1
PCSGH,"8,266","490,420.00",21.35,1.67,0.06,0.12,0.25,7.31,7.83,10.21,7.48,23.91,,615,555,-0.63,2
PDG,"1,102",,11.80,1.97,0.21,0.17,0.35,18.01,17.17,14.59,5.84,40.13,,274,195,0.7,1
PDI,"4,136","-407,980.00",8.65,1.03,0.39,1.00,2.12,10.35,12.58,8.95,5.56,64.37,,257,217,,2
PE,576,"3,700.00",,6.55,23.30,,0,-13.69,-124.5,-37.95,,37.27,,,,,2
PERM,"1,880","-81,080.00",4.56,1.90,3.04,0.15,0.83,15.68,52.59,7.88,3.93,48.00,,8,77,-0.01,
PF,"7,330","-113,528.00",18.35,0.62,3.06,0.04,0.05,3.23,3.58,2.57,4.73,71.41,,654,646,0.35,1
PG,739,,,0.50,0.23,,0,-4.49,-5.07,-6.73,,32.29,,,,,2
PHOL,551,"1,370.00",,1.56,1.73,,0,-0.65,-4.51,-1.38,2.92,30.52,,,,,3
PICO,736,,21.30,1.66,1.02,0.15,0.16,5.4,7.75,2.46,4.26,21.67,,625,627,-0.06,1
PIMO,"1,362","252,442.00",33.76,4.37,0.42,0.03,0.08,11.69,13.68,7.04,1.22,23.46,,577,524,2.48,1
PJW,"1,711",,12.13,1.58,1.23,0.13,0.25,7.3,13.43,5.11,4.39,33.93,10.29,329,401,0.39,2
PK,"1,368","-3,758.00",19.37,1.09,1.41,0.08,0.17,4.04,5.78,2.25,2.40,25.24,,631,630,-0.15,
PL,"2,589","21,500.00",11.75,0.94,3.81,0.19,0.37,0.83,8.17,5.27,4.40,62.93,,445,604,2.45,1
PLANB,"21,624","-355,650.00",61.50,6.91,0.16,0.04,0.1,12.04,11.54,14.36,0.56,30.11,,693,593,1.76,2
PLAT,"20,020","-941,490.00",28.43,2.37,0.16,0.18,0.25,9.11,8.45,37.78,2.52,26.30,,671,564,1.03,1
PLE,"1,085","112,512.00",5.67,1.20,7.19,,0.16,4.89,32.18,3.54,,80.72,,38,346,-0.01,1
PM,"5,504","-824,160.00",15.95,3.11,0.44,0.59,0.58,18.2,19.51,8.45,9.78,35.61,,308,262,2.87,2
PMTA,"2,216",,8.00,1.31,0.19,1.17,2.74,16.82,17.17,8.55,5.32,22.57,,164,94,0.05,1
POLAR,"1,277",,,0.28,0.08,,0,-12.93,-14.92,-295.59,,99.77,,,,,
POST,"2,100",,,2.92,2.49,,0,-6.56,-26.04,-11.55,,32.91,,,,,
PPM,"1,433",,78.91,1.91,1.05,0.04,0.05,2.73,2.83,1.38,0.94,30.76,,896,890,-1.02,1
PPP,"1,635",,10.55,1.71,1.01,0.26,0.52,10.89,17.06,9.91,6.55,39.50,,223,251,0.26,2
PPS,734,"5,720,593.00",22.81,3.20,0.35,0.01,0.06,16.32,16.5,10.07,0.39,47.13,9.76,448,370,0.15,3
PR,"8,833",,13.82,2.22,0.05,0.94,4.27,16.29,16.73,33.01,3.31,44.84,,311,238,1.44,2
PRAKIT,813,,14.88,0.96,0.43,1.00,0.99,5.61,6.5,13.49,6.77,37.46,,549,511,0.98,
PRANDA,"1,663","8,120.00",,0.68,1.07,,0,-5.07,-11.23,-9.71,,61.41,9.35,,,,2
PREB,"4,568","-797,430.00",5.80,2.24,1.48,1.00,2.55,20.03,45.7,14.67,6.76,66.15,16.90,19,46,0.1,2
PRECHA,642,,,1.19,0.14,,0,-3.48,-4.61,-23.47,,56.97,,,,,
PRG,"7,320",,22.01,1.13,0.29,0.28,0.55,3.85,5.17,15.18,4.63,5.74,,681,674,0.51,2
PRIN,"1,781","-15,680.00",8.25,0.45,1.27,0.06,0.18,3.69,5.49,7.11,8.16,67.60,13.43,418,423,0.23,1
PRINC,"10,951","-181,420.00",,1.40,0.22,,0,-0.78,-1.05,-14.12,,30.96,,,,,2
PRO,405,,,,0.83,,0,0.8,0.2,0.14,,74.68,,,,,
PSH,"47,870","-4,741,810.00",8.06,1.35,0.85,,2.72,11.81,16.77,12.59,2.80,29.09,11.93,172,170,,
PSL,"16,684","-27,040.00",,1.22,1.37,,0,-5.2,-17.69,-70.22,,48.08,,,,,3
PSTC,"3,369",,,2.45,1.50,,0,0.02,-4.1,-6.2,,47.74,,,,,1
PT,979,"-801,940.00",11.92,2.95,1.60,0.88,0.58,12.47,26.95,6.12,7.25,46.95,,168,253,0.41,2
PTG,"38,911","-7,283,290.00",36.25,8.50,1.73,0.20,0.64,14.37,25.03,1.65,1.28,34.58,,451,493,1.03,2
PTL,"14,490","8,411,220.00",9.51,1.52,0.51,,1.69,11.14,17.75,11.93,,48.95,,183,218,-0.07,
PTT,"1,125,382","1,045,500.00",11.90,1.48,1.39,6.00,33.11,8.36,12.96,5.45,2.54,48.87,,335,358,0.23,3
PTTEP,"354,321","49,262,280.00",27.56,0.87,0.66,2.50,3.24,4.37,3.15,8.4,3.62,34.68,,768,714,-0.33,3
PTTGC,"329,146","37,258,090.50",12.72,1.32,0.59,1.80,5.74,8.6,10.72,7.25,3.94,50.00,,398,370,0.04,3
PYLON,"4,537","-192,510.00",26.34,5.73,0.28,0.20,0.46,18.72,20.17,15.98,3.69,41.16,,432,389,0.92,2
Q-CON,"2,280",100.00,,1.28,0.14,,0,-4.92,-5.76,-7.24,,8.40,,,,,2
QH,"27,215","-4,247,558.00",8.82,1.19,1.31,0.08,0.29,7.28,13.87,14.75,5.91,62.94,,233,317,0.21,3
QLT,882,,19.79,1.99,0.14,0.15,0.45,9.73,10,9.93,2.79,51.34,,538,454,-2.31,1
QTC,"4,455","1,600.00",,5.89,0.61,0.32,0,-8.03,-12.16,-14.93,1.39,37.76,10.23,,,,3
RAM,"35,400",,31.10,3.68,0.46,8.00,94.84,10.63,13.36,25.79,0.54,29.83,,576,551,5.37,
RATCH,"72,500","-9,171,775.00",11.76,1.16,0.54,1.25,4.25,8.82,10.07,11.99,4.70,35.42,,399,338,0.69,3
RCI,"2,174","-1,715,060.00",,2.97,0.38,,0,-2.16,-4.15,-4.48,,75.64,,,,,1
RCL,"5,428","-34,075.00",,0.59,0.96,,0,-6.34,-13.77,-12.98,,47.63,,,,,1
RICH,561,,,0.51,-49.26,,0,-29.72,-277.97,-35.46,,94.40,,,,,1
RICHY,"1,241","-48,000.00",134.07,0.81,2.66,0.01,0.01,0.8,0.6,1.63,0.39,40.69,,953,971,-2.82,2
RJH,"6,840","177,060.00",44.23,4.59,0.19,0.20,0.52,14.49,17.57,12.63,1.78,45.72,,553,521,0.46,
RML,"4,827",-677.00,5.67,0.94,0.90,0.07,0.24,11.9,17.81,16.34,5.19,60.75,9.13,124,142,-0.23,1
ROBINS,"67,750","-75,247,968.50",24.07,4.47,0.71,1.25,2.53,13.71,19.67,9.15,2.05,40.58,,413,424,1.55,2
ROCK,380,,20.90,0.82,0.65,0.25,0.91,4.51,3.96,2.52,1.38,20.28,,685,637,-0.12,
ROH,"3,047",,28.66,3.54,0.25,0.90,1.13,12.75,13.16,12.26,2.75,2.13,,566,478,0.23,
ROJNA,"9,698","-1,733,736.00",83.42,0.83,4.42,,0.06,2.13,0.98,1.18,,32.37,,929,909,-0.97,
RP,"1,471","-170,055.00",21.79,1.67,0.18,0.30,0.4,7.22,7.35,9.74,3.51,45.00,,631,564,-1.56,
RPC,"1,057","-61,704.00",,0.82,1.44,,0,-1.53,-5.22,-2.89,,67.99,,,,,1
RPH,"3,030","101,970.00",44.63,,0.40,0.05,0.12,,,,0.86,70.96,,,,,
RS,"8,786","-407,775.00",,7.98,2.94,,0,-0.96,-7.39,-3.14,,46.59,20.16,,,,2
RWI,"1,320",,90.39,1.40,0.05,,0.02,1.4,1.57,2.4,,25.70,,927,947,-0.82,2
S&J,0,,,,0.51,,0,1.9,1.36,4.65,,,,,,,
S,"27,364","3,731,234.00",160.74,1.92,1.06,,0.03,1.9,1.36,4.65,,20.42,,949,941,-0.54,2
S11,"5,149","78,650.00",12.22,2.70,1.24,0.23,0.69,13.29,23.23,32.17,4.02,24.81,,201,250,0.22,
SABINA,"8,027",,45.70,4.57,0.28,0.14,0.51,9.93,10.28,7.33,1.04,19.13,,704,620,1.93,2
SALEE,"3,163","-6,753,734.00",57.59,2.51,0.35,0.04,0.04,5.85,4.41,4.71,1.76,44.22,,852,770,2.34,2
SAM,"1,432","1,370.00",34.04,0.69,0.84,,0.04,2.54,2.04,1.46,,31.43,,827,809,0.31,
SAMART,"12,581","-2,780,210.00",176.74,2.18,3.00,0.08,0.07,1.98,1.21,0.51,1.53,53.63,18.31,951,938,-12.44,3
SAMCO,"2,039",,19.83,0.91,0.71,0.01,0.17,4.6,4.53,8.25,0.32,39.05,,659,616,0.13,2
SAMTEL,"7,478","-902,400.00",40.65,2.14,1.87,0.10,0.3,3.72,5.29,3.2,1.68,27.12,,793,793,-1.87,3
SANKO,428,"17,712.00",,2.70,0.91,,0,-4.47,-13.85,-5.7,,33.28,,,,,1
SAPPE,"8,088","194,475.00",19.71,4.03,0.23,0.42,1.36,20.96,22.11,14.69,1.56,25.09,,336,295,0.34,1
SAT,"7,143","5,248,150.00",11.76,1.21,0.60,0.41,1.43,7.75,10.64,7.17,3.59,53.83,,374,371,0.74,3
SAUCE,"8,928",,21.51,3.73,0.11,1.15,1.15,19.51,17.34,15.11,4.67,17.15,,416,328,-15.07,
SAWAD,"43,911","32,001,952.00",21.90,6.42,2.25,0.01,1.92,14,34.54,37.57,0.01,47.63,,320,396,0.42,1
SAWANG,350,,,0.71,0.15,,0,-3.35,-3.86,-11.65,,22.60,,,,,
SC,"15,213","-1,418,560.00",7.73,1.05,1.32,0.19,0.47,7.93,14.23,13.57,5.19,34.02,,202,274,0.56,3
SCB,"526,286","43,150,750.00",11.07,1.58,7.72,4.00,14,2.08,14.84,29.02,3.55,62.81,,265,541,1.77,3
SCC,"631,200","73,765,486.00",11.26,2.63,1.08,10.50,46.72,15.49,25.14,12.45,3.56,66.88,,166,192,0.62,3
SCCC,"63,250","-549,900.00",16.16,2.86,1.79,7.00,17.02,11.33,17.7,11.19,5.45,27.64,,335,366,3.39,3
SCG,"4,660",,28.31,1.95,1.83,0.14,0.17,5.3,6.94,4.14,2.87,27.16,,711,688,1.62,2
SCI,"7,875","-1,751,240.00",48.45,4.04,0.55,0.05,0.22,7.3,8.54,8.25,0.49,29.60,,754,708,-3.63,1
