Name ,MCap (M),NVDR (Val),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG
AI,"4,256",,14.58,2.08,0.16,0.01,0.1,9.3,12.81,6.29,1.70,45.46,,392,386,0.18,
AIE,"3,028",,31.26,1.63,0.15,,0.02,2.45,2.39,1.22,,28.81,,814,807,-0.14,
AIRA,"13,917","24,796.00",,4.47,1.15,0.01,0,-1.02,-3.51,-15.64,0.40,35.35,,,,,1
AIT,"5,932","-122,525.00",13.81,2.06,0.56,1.50,2.08,12.01,14.94,9.72,6.96,71.79,,331,305,4.4,1
AJ,"5,992","-539,160.00",49.42,1.82,1.58,0.20,0.3,2.58,3.76,1.72,1.37,44.88,,851,866,0.08,1
AJD,"7,166","8,638,397.00",20.16,4.45,0.71,,0.08,24.99,25.3,13.9,,61.47,,320,290,0.01,
AKP,937,"-28,080.00",17.30,2.00,0.23,0.07,0.13,12.27,11.93,10.2,3.04,48.51,,457,361,7.98,2
AKR,"1,504","44,400.00",,1.26,0.77,0.03,0,-2.04,-4.94,-3.66,2.27,67.11,,,,,1
ALLA,"1,428","8,546.00",24.20,1.97,0.24,0.02,0.1,10.03,11,9.71,0.86,24.20,,559,499,,
ALT,"8,350","1,430,800.00",29.91,4.51,0.82,0.10,0.28,12.2,22.91,13.69,1.20,25.60,,435,498,0.85,
ALUCON,"12,917",,12.07,2.52,0.26,15.00,24.77,20.59,22.22,17.2,5.02,20.79,,207,170,0.62,2
AMA,"9,193","19,370.00",63.88,4.38,0.55,0.25,0.33,8.75,11.07,14.78,1.16,36.57,,703,679,,
AMANAH,"1,615","153,919.00",51.37,1.77,1.95,,0.03,1.39,3.49,8.95,,35.73,,852,907,-0.71,2
AMARIN,"1,485",685.00,,1.93,5.16,,0,-5.6,-58.04,-32.29,,39.49,,,,,1
AMATA,"16,752","5,423,450.00",13.98,1.40,1.03,0.30,1.12,7.41,10.37,23.69,2.90,70.50,14.97,436,428,1.15,3
AMATAV,"6,685","-65,235.00",134.20,2.26,0.74,0.05,0.05,3.6,1.66,5.5,2.76,24.53,,936,880,-2.31,1
AMC,"1,815","-364,780.00",5.20,0.97,0.99,0.20,0.73,12.66,20.52,6.81,5.29,30.89,11.14,92,123,0.03,1
ANAN,"16,265","6,637,690.00",10.83,1.51,1.36,0.09,0.45,9.35,15.41,12.16,2.59,44.52,,248,293,-0.17,2
AOT,"553,571","18,352,352.00",27.64,4.38,0.36,6.83,1.4,15.73,16.71,38.56,1.75,29.99,,492,425,0.41,3
AP,"22,650","-2,595,610.00",8.38,1.17,0.95,0.30,0.86,9.5,14.58,12.98,4.17,65.54,,206,239,0.6,2
APCO,"4,500","-2,771.00",34.24,6.82,0.10,0.04,0.04,24.51,21.59,28.9,2.87,28.65,,467,409,1.44,2
APCS,"4,620","-2,370,455.00",83.10,3.87,0.28,,0.08,4.51,4.76,5.61,,50.86,,868,834,2.41,2
APURE,"2,166","-1,026,014.00",11.30,1.48,0.09,0.05,0.2,16.2,13.7,12.24,3.51,40.63,,305,181,0.07,1
AQ,"2,788",,,0.44,0.59,,0,-36.33,-47.28,-12.69,,100.00,,,,,
AQUA,"3,445","-38,911.00",14.29,1.04,0.67,0.01,0.05,6.74,7.34,34.62,1.33,59.67,14.54,517,467,0.06,1
ARIP,340,"-9,500.00",183.88,1.70,0.14,,0,2.81,0.93,1.04,,34.38,,956,912,-3.94,2
ARROW,"4,212","-519,790.00",16.03,4.13,0.17,0.40,1.04,28.4,27.27,19.24,3.57,28.08,,252,229,0.4,1
AS,766,"-273,748.00",,6.93,4.17,,0,-21.58,-128.86,-24.61,,18.75,,,,,1
ASEFA,"4,290","-437,645.00",14.89,3.00,0.58,0.32,0.52,15.84,21.44,10.24,4.13,27.67,,270,262,0.24,
ASIA,"2,336",,662.66,0.43,0.67,0.85,0.11,1.46,0.07,0.26,1.16,34.20,,981,971,10.64,2
ASIAN,"1,827","-298,566.00",11.81,0.82,1.85,0.21,0.43,4.57,7.3,1.65,4.12,35.90,,471,484,-0.05,
ASIMAR,718,"12,408.00",14.84,1.64,0.60,0.12,0.19,10.07,11.05,7.87,4.32,60.64,,434,373,1.34,2
ASK,"7,214","1,667,525.50",10.21,1.58,5.93,1.40,2.01,2.8,15.84,25.1,6.76,43.57,,235,496,0.58,2
