,ticker,dividend,close_price,dividend_yield
2009-03-26 00:00:00,AGE,0.5,6.35,7.87
2010-03-19 00:00:00,AGE,0.05,6.85,0.73
2011-05-04 00:00:00,AGE,0.0139,24.5,0.06
2012-05-04 00:00:00,AGE,0.00695,5.8,0.12
2014-05-07 00:00:00,AGE,0.00278,2.44,0.11
2015-05-06 00:00:00,AGE,0.0019,2.38,0.08
2016-03-09 00:00:00,AGE,0.05,1.29,3.88
2017-03-22 00:00:00,AGE,0.07,1.64,4.27
2003-04-01 00:00:00,AH,0.32,6.5137,4.91
2004-03-30 00:00:00,AH,1.3,28.4,4.58
2005-04-01 00:00:00,AH,0.76,34.0,2.24
2005-06-17 00:00:00,AH,0.42,35.25,1.19
2006-03-31 00:00:00,AH,0.36,26.5,1.36
2006-08-24 00:00:00,AH,0.21,13.6,1.54
2007-04-03 00:00:00,AH,0.2,13.8,1.45
2007-08-24 00:00:00,AH,0.15,12.8,1.17
2008-04-02 00:00:00,AH,0.24,11.2,2.14
2008-08-25 00:00:00,AH,0.29,9.55,3.04
2010-08-26 00:00:00,AH,0.26,14.6,1.78
2011-05-09 00:00:00,AH,0.21,12.8,1.64
2011-08-30 00:00:00,AH,0.16,13.0,1.23
2012-08-27 00:00:00,AH,0.488,18.8,2.6
2013-03-14 00:00:00,AH,0.25,32.5,0.77
2013-08-27 00:00:00,AH,0.35,14.9,2.35
2014-03-25 00:00:00,AH,0.14,13.4,1.04
2014-08-26 00:00:00,AH,0.2,16.5,1.21
2015-03-25 00:00:00,AH,0.1,14.2,0.7
2015-08-27 00:00:00,AH,0.1,11.9,0.84
2016-03-18 00:00:00,AH,0.2,12.0,1.67
2016-08-26 00:00:00,AH,0.33,15.2,2.17
2017-03-13 00:00:00,AH,0.33,17.1,1.93
2001-06-15 00:00:00,AHC,1.0,10.5,9.52
2002-05-08 00:00:00,AHC,1.5,17.0,8.82
2003-05-06 00:00:00,AHC,2.75,40.0,6.88
2004-04-30 00:00:00,AHC,3.0,56.0,5.36
2005-04-29 00:00:00,AHC,3.0,53.5,5.61
2006-05-08 00:00:00,AHC,2.0,80.0,2.5
2007-04-30 00:00:00,AHC,1.5,84.5,1.78
2008-04-25 00:00:00,AHC,1.0,49.75,2.01
2009-04-24 00:00:00,AHC,1.25,49.0,2.55
2010-04-23 00:00:00,AHC,1.1,59.0,1.86
2011-04-12 00:00:00,AHC,2.5,74.0,3.38
2012-04-23 00:00:00,AHC,3.5,121.0,2.89
2013-05-02 00:00:00,AHC,0.6,31.5,1.9
2014-04-23 00:00:00,AHC,0.64,22.5,2.84
2015-04-30 00:00:00,AHC,0.65,35.0,1.86
2016-05-03 00:00:00,AHC,0.55,39.75,1.38
2017-04-28 00:00:00,AHC,0.63,34.75,1.81
2005-12-13 00:00:00,AI,0.35,1.52,23.03
2007-08-20 00:00:00,AI,0.2,7.2,2.78
2008-03-05 00:00:00,AI,0.25,6.5,3.85
2008-08-19 00:00:00,AI,0.25,6.55,3.82
2008-12-26 00:00:00,AI,0.5,4.0,12.5
2010-04-19 00:00:00,AI,0.11,3.44,3.2
2010-08-18 00:00:00,AI,0.1,3.9,2.56
2011-04-19 00:00:00,AI,0.15,4.2,3.57
2011-08-19 00:00:00,AI,0.1,3.48,2.87
2012-04-17 00:00:00,AI,0.15,3.14,4.78
2012-08-23 00:00:00,AI,0.1,4.82,2.07
2013-04-23 00:00:00,AI,0.35,15.6,2.24
2014-02-28 00:00:00,AI,2.0,15.8,12.66
2014-09-01 00:00:00,AI,0.1,11.8,0.85
2015-05-07 00:00:00,AI,0.01111,2.22,0.5
2004-04-01 00:00:00,AIT,1.2,26.3333,4.56
2005-03-25 00:00:00,AIT,1.0,13.6,7.35
2006-03-27 00:00:00,AIT,1.0,9.6,10.42
2006-08-23 00:00:00,AIT,0.75,11.1333,6.74
2007-03-27 00:00:00,AIT,1.25,16.4,7.62
2008-04-01 00:00:00,AIT,1.25,17.0,7.35
2008-08-25 00:00:00,AIT,1.25,17.2,7.27
2009-04-29 00:00:00,AIT,1.5,16.5,9.09
2009-08-25 00:00:00,AIT,1.25,20.2,6.19
2010-04-30 00:00:00,AIT,2.25,32.0,7.03
2010-08-19 00:00:00,AIT,1.5,39.5,3.8
2011-04-19 00:00:00,AIT,3.0,51.25,5.85
2011-08-19 00:00:00,AIT,1.5,50.5,2.97
2012-04-19 00:00:00,AIT,3.5,65.0,5.38
2012-08-22 00:00:00,AIT,1.25,55.0,2.27
2013-04-18 00:00:00,AIT,2.75,99.25,2.77
2013-08-22 00:00:00,AIT,1.75,82.75,2.11
2014-04-18 00:00:00,AIT,1.0,30.25,3.31
2014-08-19 00:00:00,AIT,0.9,33.5,2.69
2015-04-21 00:00:00,AIT,1.1,40.0,2.75
2015-08-18 00:00:00,AIT,0.55,28.75,1.91
2016-04-20 00:00:00,AIT,1.5,33.0,4.55
2016-08-25 00:00:00,AIT,0.5,28.25,1.77
2017-04-19 00:00:00,AIT,1.5,29.5,5.08
2003-05-29 00:00:00,AJ,0.2,7.0,2.86
2003-08-29 00:00:00,AJ,0.15,8.8,1.7
2003-11-28 00:00:00,AJ,0.1,7.35,1.36
2004-04-01 00:00:00,AJ,0.05,4.96,1.01
2005-04-08 00:00:00,AJ,0.25,6.15,4.07
2006-03-31 00:00:00,AJ,0.15,3.84,3.91
2007-04-02 00:00:00,AJ,0.1,2.88,3.47
2008-04-02 00:00:00,AJ,0.11,2.9,3.79
2008-10-14 00:00:00,AJ,0.1,2.9,3.45
2009-04-29 00:00:00,AJ,0.03,2.7,1.11
2009-08-27 00:00:00,AJ,0.1,3.02,3.31
2010-04-12 00:00:00,AJ,0.2,4.34,4.61
2010-08-24 00:00:00,AJ,0.15,8.15,1.84
2010-11-19 00:00:00,AJ,0.25,32.5,0.77
2011-04-20 00:00:00,AJ,0.45,25.0,1.8
2011-08-23 00:00:00,AJ,0.6,24.8,2.42
2012-04-26 00:00:00,AJ,0.1,15.4,0.65
2013-04-30 00:00:00,AJ,0.15,13.1,1.15
2016-05-04 00:00:00,AJ,0.005,6.8,0.07
2017-05-04 00:00:00,AJ,0.2,14.1,1.42
2017-05-26 00:00:00,AJ,0.1,13.9,0.72
2014-05-08 00:00:00,AJD,0.1,3.02,3.31
2013-05-03 00:00:00,AKP,0.05,3.76,1.33
2014-05-02 00:00:00,AKP,0.05,2.32,2.16
2015-04-30 00:00:00,AKP,0.06,3.64,1.65
2016-05-09 00:00:00,AKP,0.07,2.2,3.18
2017-05-04 00:00:00,AKP,0.07,2.36,2.97
2007-03-02 00:00:00,AKR,0.1,2.36,4.24
2008-04-17 00:00:00,AKR,0.1,2.16,4.63
2009-04-16 00:00:00,AKR,0.1,1.1,9.09
2013-05-13 00:00:00,AKR,0.005555600000000001,2.52,0.22
2014-05-06 00:00:00,AKR,0.05,1.22,4.1
2015-05-06 00:00:00,AKR,0.07,2.24,3.13
2016-05-10 00:00:00,AKR,0.05,1.43,3.5
2017-05-08 00:00:00,AKR,0.025,1.1,2.27
2001-04-04 00:00:00,ALUCON,3.5,81.0,4.32
2002-04-19 00:00:00,ALUCON,10.0,173.0,5.78
2003-04-03 00:00:00,ALUCON,3.11,204.0,1.52
2004-04-01 00:00:00,ALUCON,5.0,132.0,3.79
2005-04-04 00:00:00,ALUCON,1.55,125.0,1.24
2006-05-18 00:00:00,ALUCON,4.0,91.0,4.4
2007-05-09 00:00:00,ALUCON,4.25,92.0,4.62
2008-04-11 00:00:00,ALUCON,5.25,90.0,5.83
2009-05-11 00:00:00,ALUCON,9.0,113.0,7.96
2010-05-04 00:00:00,ALUCON,5.56,205.0,2.71
2011-05-03 00:00:00,ALUCON,6.5,129.0,5.04
2012-05-02 00:00:00,ALUCON,6.0,114.5,5.24
2013-04-29 00:00:00,ALUCON,7.0,161.5,4.33
2014-04-25 00:00:00,ALUCON,8.0,174.0,4.6
2015-04-30 00:00:00,ALUCON,10.0,235.0,4.26
2016-04-28 00:00:00,ALUCON,10.0,217.0,4.61
2017-04-28 00:00:00,ALUCON,15.0,309.0,4.85
2001-05-02 00:00:00,AMARIN,2.75,2.475,111.11
2002-05-03 00:00:00,AMARIN,3.6,5.3,67.92
2003-05-06 00:00:00,AMARIN,5.0,9.25,54.05
2004-05-04 00:00:00,AMARIN,0.00589,10.6,0.06
2004-05-31 00:00:00,AMARIN,0.15,10.3,1.46
2004-09-02 00:00:00,AMARIN,0.15,10.3,1.46
2004-12-08 00:00:00,AMARIN,0.15,10.3,1.46
2005-05-04 00:00:00,AMARIN,0.15,10.1,1.49
2006-04-18 00:00:00,AMARIN,0.75,12.6,5.95
2007-05-04 00:00:00,AMARIN,0.8,14.3,5.59
2008-04-22 00:00:00,AMARIN,0.8,14.4,5.56
2009-04-29 00:00:00,AMARIN,0.8,12.6,6.35
2010-04-27 00:00:00,AMARIN,0.8,13.1,6.11
2011-04-26 00:00:00,AMARIN,0.8,13.4,5.97
2012-04-25 00:00:00,AMARIN,0.9,14.1,6.38
2013-04-25 00:00:00,AMARIN,1.2,30.0,4.0
2014-04-24 00:00:00,AMARIN,0.0111111,18.1,0.06
2015-04-24 00:00:00,AMARIN,0.7,13.0,5.38
2002-05-07 00:00:00,AMATA,2.0,3.275,61.07
2002-10-29 00:00:00,AMATA,1.0,4.18,23.92
2003-05-06 00:00:00,AMATA,0.2,3.86,5.18
2003-10-28 00:00:00,AMATA,0.25,13.5,1.85
2004-05-07 00:00:00,AMATA,0.3,11.8,2.54
2004-11-23 00:00:00,AMATA,0.25,10.4,2.4
2005-05-11 00:00:00,AMATA,0.3,11.2,2.68
2005-11-22 00:00:00,AMATA,0.3,13.8,2.17
2006-05-10 00:00:00,AMATA,0.35,20.5,1.71
2006-11-22 00:00:00,AMATA,0.25,15.2,1.64
2007-05-11 00:00:00,AMATA,0.2,13.0,1.54
2007-11-20 00:00:00,AMATA,0.2,16.7,1.2
2008-05-13 00:00:00,AMATA,0.35,17.7,1.98
2008-11-27 00:00:00,AMATA,0.2,3.7,5.41
2009-05-13 00:00:00,AMATA,0.1,4.58,2.18
2010-01-20 00:00:00,AMATA,0.1,8.05,1.24
2010-11-25 00:00:00,AMATA,0.15,14.4,1.04
2011-04-29 00:00:00,AMATA,0.15,15.9,0.94
2011-12-29 00:00:00,AMATA,0.15,12.7,1.18
2012-04-30 00:00:00,AMATA,0.25,17.9,1.4
2012-11-23 00:00:00,AMATA,0.25,15.3,1.63
2013-04-29 00:00:00,AMATA,0.3,23.6,1.27
2013-11-25 00:00:00,AMATA,0.25,15.8,1.58
2014-04-29 00:00:00,AMATA,0.25,16.0,1.56
2014-11-25 00:00:00,AMATA,0.2,16.1,1.24
2015-04-28 00:00:00,AMATA,0.5,18.1,2.76
2015-11-26 00:00:00,AMATA,0.22,13.9,1.58
2016-04-29 00:00:00,AMATA,0.24,12.1,1.98
2016-08-26 00:00:00,AMATA,0.15,12.7,1.18
2017-05-04 00:00:00,AMATA,0.3,17.1,1.75
2016-05-24 00:00:00,AMATAV,0.15,8.95,1.68
2017-05-04 00:00:00,AMATAV,0.05,7.15,0.7
2005-08-26 00:00:00,AMC,0.12,4.7478,2.53
2009-04-01 00:00:00,AMC,0.1,1.05,9.52
2011-03-23 00:00:00,AMC,0.07,1.93,3.63
2012-03-22 00:00:00,AMC,0.08,1.98,4.04
2013-03-20 00:00:00,AMC,0.18,3.38,5.33
2014-05-07 00:00:00,AMC,0.18,2.66,6.77
2017-05-05 00:00:00,AMC,0.2,4.08,4.9
2014-04-17 00:00:00,ANAN,0.05,2.22,2.25
2014-08-26 00:00:00,ANAN,0.03,3.14,0.96
2015-04-21 00:00:00,ANAN,0.068,3.8,1.79
2015-08-25 00:00:00,ANAN,0.032,3.06,1.05
2016-05-09 00:00:00,ANAN,0.068,3.62,1.88
2016-08-23 00:00:00,ANAN,0.04,4.78,0.84
2017-05-04 00:00:00,ANAN,0.085,4.9,1.73
2005-01-06 00:00:00,AOT,1.2,51.0,2.35
2006-01-03 00:00:00,AOT,1.7,52.5,3.24
2006-09-26 00:00:00,AOT,0.95,59.0,1.61
2006-12-29 00:00:00,AOT,1.8,59.5,3.03
2007-12-28 00:00:00,AOT,0.4,57.0,0.7
2008-12-29 00:00:00,AOT,2.58,20.6,12.52
2009-12-18 00:00:00,AOT,0.42,39.5,1.06
2010-12-20 00:00:00,AOT,0.55,39.0,1.41
2011-12-27 00:00:00,AOT,0.8,46.0,1.74
2012-12-19 00:00:00,AOT,1.8,93.0,1.94
2013-12-19 00:00:00,AOT,4.6,182.5,2.52
2014-12-16 00:00:00,AOT,3.4,280.0,1.21
2015-05-29 00:00:00,AOT,1.54,296.0,0.52
2015-12-14 00:00:00,AOT,5.0,327.0,1.53
2016-12-08 00:00:00,AOT,6.83,400.0,1.71
2003-04-25 00:00:00,AP,1.0,3.7,27.03
2004-04-05 00:00:00,AP,0.2,5.2,3.85
2005-04-29 00:00:00,AP,0.2,3.92,5.1
2006-04-26 00:00:00,AP,0.14,4.1,3.41
2007-05-04 00:00:00,AP,0.23,4.68,4.91
2008-04-29 00:00:00,AP,0.15,7.15,2.1
2009-05-07 00:00:00,AP,0.25,3.82,6.54
2010-05-06 00:00:00,AP,0.32,5.55,5.77
2011-05-04 00:00:00,AP,0.18,6.15,2.93
2012-05-04 00:00:00,AP,0.18,7.25,2.48
2013-05-07 00:00:00,AP,0.25,9.1,2.75
2014-05-07 00:00:00,AP,0.25,5.6,4.46
2014-10-20 00:00:00,AP,0.02,6.85,0.29
2015-05-08 00:00:00,AP,0.26,7.2,3.61
2016-05-09 00:00:00,AP,0.3,6.1,4.92
2017-05-08 00:00:00,AP,0.3,7.9,3.8
2012-05-03 00:00:00,APCO,0.25,7.55,3.31
2013-05-02 00:00:00,APCO,0.27,10.3,2.62
2014-04-08 00:00:00,APCO,0.2,15.8,1.27
2015-04-02 00:00:00,APCO,0.0425,27.25,0.16
2016-04-19 00:00:00,APCO,0.0347,1.53,2.27
2017-04-25 00:00:00,APCO,0.043,1.51,2.85
2011-10-18 00:00:00,APCS,0.25,4.52,5.53
2012-04-27 00:00:00,APCS,0.15,7.05,2.13
2013-05-07 00:00:00,APCS,0.15,4.66,3.22
2016-03-10 00:00:00,APURE,0.03,1.37,2.19
2016-08-25 00:00:00,APURE,0.03,1.9,1.58
2017-03-09 00:00:00,APURE,0.05,2.34,2.14
2010-09-02 00:00:00,AQUA,0.061111,0.71,8.61
2014-04-01 00:00:00,AQUA,0.027125,0.88,3.08
2015-05-06 00:00:00,AQUA,0.0174,1.0,1.74
2016-04-28 00:00:00,AQUA,0.03,0.87,3.45
2017-04-28 00:00:00,AQUA,0.01,0.78,1.28
2011-03-10 00:00:00,ARIP,0.03,1.28,2.34
2011-08-23 00:00:00,ARIP,0.042,1.32,3.18
2012-08-20 00:00:00,ARIP,0.04,1.33,3.01
2013-03-08 00:00:00,ARIP,0.024,1.34,1.79
2013-11-21 00:00:00,ARIP,0.035,1.15,3.04
2014-03-06 00:00:00,ARIP,0.025,1.03,2.43
2013-04-24 00:00:00,ARROW,0.25,8.4,2.98
2013-08-21 00:00:00,ARROW,0.15,7.35,2.04
2014-05-06 00:00:00,ARROW,0.2,6.55,3.05
2014-08-18 00:00:00,ARROW,0.15,8.25,1.82
2014-11-25 00:00:00,ARROW,0.05,8.4,0.6
2015-04-29 00:00:00,ARROW,0.14,11.4,1.23
2015-08-21 00:00:00,ARROW,0.15,14.1,1.06
2016-04-29 00:00:00,ARROW,0.4,14.1,2.84
2016-08-23 00:00:00,ARROW,0.2,14.9,1.34
2017-05-05 00:00:00,ARROW,0.4,17.0,2.35
2008-08-26 00:00:00,AS,0.31,9.3,3.33
2009-04-24 00:00:00,AS,0.32,6.75,4.74
2009-08-26 00:00:00,AS,0.23,6.05,3.8
2010-04-29 00:00:00,AS,0.35,6.3,5.56
2010-08-26 00:00:00,AS,0.43,10.6,4.06
2011-05-06 00:00:00,AS,0.412,11.8,3.49
2011-08-26 00:00:00,AS,0.413,13.0,3.18
2012-05-03 00:00:00,AS,0.343,17.1,2.01
2012-05-24 00:00:00,AS,0.12,16.7,0.72
2012-08-21 00:00:00,AS,0.34,17.0,2.0
2012-11-23 00:00:00,AS,0.23,14.6,1.58
2013-05-07 00:00:00,AS,0.31,16.3,1.9
2013-05-23 00:00:00,AS,0.15,14.6,1.03
2013-08-27 00:00:00,AS,0.2,9.85,2.03
2013-11-22 00:00:00,AS,0.1,9.1,1.1
2016-05-03 00:00:00,ASEFA,0.2,5.9,3.39
2017-05-02 00:00:00,ASEFA,0.32,8.05,3.98
2008-12-16 00:00:00,ASIA,1.0,39.0,2.56
2009-05-06 00:00:00,ASIA,1.0,38.25,2.61
2010-04-23 00:00:00,ASIA,0.5,33.0,1.52
2011-04-20 00:00:00,ASIA,0.5,33.25,1.5
2012-09-26 00:00:00,ASIA,0.85,67.75,1.25
2013-05-09 00:00:00,ASIA,0.55,106.0,0.52
2014-04-24 00:00:00,ASIA,2.0,87.0,2.3
2014-08-28 00:00:00,ASIA,2.0,104.0,1.92
2015-04-24 00:00:00,ASIA,1.25,88.0,1.42
2015-08-25 00:00:00,ASIA,2.25,82.5,2.73
2016-04-27 00:00:00,ASIA,2.0,83.0,2.41
2017-05-02 00:00:00,ASIA,0.85,73.0,1.16
2001-01-08 00:00:00,ASIAN,5.0,2.0625,242.42
2002-04-03 00:00:00,ASIAN,0.9,6.7,13.43
2003-04-08 00:00:00,ASIAN,0.87,3.85,22.6
2004-05-12 00:00:00,ASIAN,0.5,5.3,9.43
2005-04-27 00:00:00,ASIAN,0.5,6.05,8.26
2006-04-26 00:00:00,ASIAN,0.25,4.28,5.84
2012-04-30 00:00:00,ASIAN,0.15,4.44,3.38
2016-05-03 00:00:00,ASIAN,0.25,4.74,5.27
2017-04-25 00:00:00,ASIAN,0.21,5.5,3.82
2003-05-12 00:00:00,ASIMAR,0.255,2.34,10.9
2004-04-01 00:00:00,ASIMAR,0.136,2.24,6.07
2005-04-01 00:00:00,ASIMAR,0.057,1.6,3.56
2006-03-30 00:00:00,ASIMAR,0.1,1.37,7.3
2007-03-29 00:00:00,ASIMAR,0.05,0.9,5.56
2008-03-11 00:00:00,ASIMAR,0.07,1.18,5.93
2009-03-13 00:00:00,ASIMAR,0.125,0.96,13.02
2012-03-14 00:00:00,ASIMAR,0.13,1.83,7.1
2013-03-11 00:00:00,ASIMAR,0.01112,2.88,0.39
2014-03-17 00:00:00,ASIMAR,0.15,2.2,6.82
2015-03-13 00:00:00,ASIMAR,0.12,2.36,5.08
2016-03-09 00:00:00,ASIMAR,0.2,3.9,5.13
2017-03-09 00:00:00,ASIMAR,0.12,3.04,3.95
2016-04-12 00:00:00,ATP30,0.022,1.42,1.55
2017-04-11 00:00:00,ATP30,0.01348,2.24,0.6
2013-09-23 00:00:00,AUCT,0.03,2.18,1.38
2014-04-28 00:00:00,AUCT,0.09,4.16,2.16
2014-08-20 00:00:00,AUCT,0.15,9.15,1.64
2015-03-09 00:00:00,AUCT,0.19,15.2,1.25
2015-08-24 00:00:00,AUCT,0.17,11.5,1.48
2016-03-09 00:00:00,AUCT,0.17,9.0,1.89
2016-08-22 00:00:00,AUCT,0.1,7.35,1.36
2017-03-10 00:00:00,AUCT,0.12,9.0,1.33
2015-03-10 00:00:00,BA,0.2,19.7,1.02
2015-10-06 00:00:00,BA,0.25,19.7,1.27
2016-03-08 00:00:00,BA,0.45,24.5,1.84
2016-09-06 00:00:00,BA,0.25,23.9,1.05
2017-03-07 00:00:00,BA,0.5,20.0,2.5
2002-04-09 00:00:00,BAFS,4.54,11.1628,40.67
2002-08-21 00:00:00,BAFS,0.25,8.2471,3.03
2003-04-24 00:00:00,BAFS,0.25,6.831,3.66
2003-08-20 00:00:00,BAFS,0.28,8.9136,3.14
2004-04-26 00:00:00,BAFS,0.32,9.58,3.34
2004-08-20 00:00:00,BAFS,0.3,8.9969,3.33
2005-04-28 00:00:00,BAFS,0.1,9.4967,1.05
2005-08-18 00:00:00,BAFS,0.25,7.4557,3.35
2006-04-27 00:00:00,BAFS,0.37,7.9972,4.63
2006-08-22 00:00:00,BAFS,0.2,9.1635,2.18
2007-04-26 00:00:00,BAFS,0.22,9.58,2.3
2007-08-20 00:00:00,BAFS,0.2,10.6,1.89
2008-04-24 00:00:00,BAFS,0.32,10.7,2.99
2008-08-20 00:00:00,BAFS,0.15,9.1,1.65
2009-04-17 00:00:00,BAFS,0.25,6.0,4.17
2009-08-25 00:00:00,BAFS,0.13,6.7,1.94
2010-04-23 00:00:00,BAFS,0.3,8.6,3.49
2010-08-23 00:00:00,BAFS,0.18,9.2,1.96
2011-04-28 00:00:00,BAFS,0.36,11.2,3.21
2011-08-23 00:00:00,BAFS,0.25,12.6,1.98
2012-05-04 00:00:00,BAFS,0.4,14.0,2.86
2012-08-21 00:00:00,BAFS,0.27,14.3,1.89
2013-04-23 00:00:00,BAFS,0.51,25.0,2.04
2013-08-20 00:00:00,BAFS,0.3,25.5,1.18
2014-04-29 00:00:00,BAFS,0.7,32.5,2.15
2014-08-20 00:00:00,BAFS,0.28,37.25,0.75
2015-04-27 00:00:00,BAFS,0.57,34.0,1.68
2015-08-18 00:00:00,BAFS,0.25,26.25,0.95
2016-03-01 00:00:00,BAFS,0.25,29.75,0.84
2016-05-03 00:00:00,BAFS,0.85,35.75,2.38
2016-08-22 00:00:00,BAFS,0.25,37.5,0.67
2017-05-08 00:00:00,BAFS,1.0,39.25,2.55
2001-02-28 00:00:00,BANPU,3.0,23.25,12.9
2001-10-03 00:00:00,BANPU,1.0,24.0,4.17
2002-03-29 00:00:00,BANPU,0.6,42.0,1.43
2002-09-09 00:00:00,BANPU,1.5,36.75,4.08
2003-04-02 00:00:00,BANPU,1.1,37.0,2.97
2003-09-08 00:00:00,BANPU,1.5,55.5,2.7
2004-04-02 00:00:00,BANPU,2.5,134.0,1.87
2004-09-06 00:00:00,BANPU,2.25,145.0,1.55
2005-04-01 00:00:00,BANPU,3.25,162.0,2.01
2005-09-12 00:00:00,BANPU,3.5,159.0,2.2
2005-10-10 00:00:00,BANPU,5.0,156.0,3.21
2006-03-07 00:00:00,BANPU,4.0,144.0,2.78
2006-09-11 00:00:00,BANPU,3.25,144.0,2.26
2007-03-02 00:00:00,BANPU,4.25,188.0,2.26
2007-09-07 00:00:00,BANPU,3.75,292.0,1.28
2008-03-12 00:00:00,BANPU,4.75,444.0,1.07
2008-10-10 00:00:00,BANPU,7.0,212.0,3.3
2009-04-08 00:00:00,BANPU,5.0,222.0,2.25
2009-09-08 00:00:00,BANPU,8.0,420.0,1.9
2010-04-09 00:00:00,BANPU,8.0,628.0,1.27
2010-10-12 00:00:00,BANPU,8.0,740.0,1.08
2011-01-04 00:00:00,BANPU,5.0,792.0,0.63
2011-04-12 00:00:00,BANPU,8.0,782.0,1.02
2011-09-13 00:00:00,BANPU,9.0,626.0,1.44
2012-01-31 00:00:00,BANPU,3.0,592.0,0.51
2012-04-12 00:00:00,BANPU,9.0,578.0,1.56
2012-09-11 00:00:00,BANPU,9.0,446.0,2.02
2013-04-05 00:00:00,BANPU,9.0,377.0,2.39
2013-09-10 00:00:00,BANPU,5.0,312.0,1.6
2014-04-10 00:00:00,BANPU,0.7,27.75,2.52
2014-09-09 00:00:00,BANPU,0.5,34.0,1.47
2015-04-10 00:00:00,BANPU,0.7,30.25,2.31
2015-09-08 00:00:00,BANPU,0.5,20.3,2.46
2016-04-25 00:00:00,BANPU,0.5,18.8,2.66
2016-09-08 00:00:00,BANPU,0.25,16.0,1.56
