,ticker,dividend,close_price,dividend_yield
2010-04-26 00:00:00,2S,0.25,3.34,7.49
2011-05-04 00:00:00,2S,0.15,3.48,4.31
2012-05-08 00:00:00,2S,0.12,2.52,4.76
2013-05-02 00:00:00,2S,0.02224,2.88,0.77
2014-05-02 00:00:00,2S,0.12,2.32,5.17
2015-03-11 00:00:00,2S,0.1,4.14,2.42
2016-03-10 00:00:00,2S,0.1,2.64,3.79
2016-08-24 00:00:00,2S,0.08,4.34,1.84
2017-05-08 00:00:00,2S,0.1,8.15,1.23
2005-05-09 00:00:00,A,0.2,5.35,3.74
2012-05-02 00:00:00,A,0.03,3.6,0.83
2013-05-02 00:00:00,A,0.04,4.5,0.89
2014-05-09 00:00:00,A,0.03,5.25,0.57
2016-04-28 00:00:00,A,0.04,6.45,0.62
2017-04-27 00:00:00,A,0.05,6.5,0.77
2015-09-14 00:00:00,AAV,0.1,4.52,2.21
2016-11-22 00:00:00,AAV,0.15,6.7,2.24
2002-04-19 00:00:00,ABC,0.5,9.2,5.43
2003-04-01 00:00:00,ABC,0.5,11.0,4.55
2004-06-28 00:00:00,ABC,0.4,9.0,4.44
2005-04-29 00:00:00,ABC,0.25,7.9,3.16
2006-03-01 00:00:00,ACAP,0.5,7.3,6.85
2006-11-20 00:00:00,ACAP,0.35,7.0,5.0
2008-03-31 00:00:00,ACAP,0.24,6.6,3.64
2009-05-07 00:00:00,ACAP,0.5,9.0,5.56
2010-11-23 00:00:00,ACAP,3.5,10.3,33.98
2013-10-11 00:00:00,ACAP,1.0,6.9,14.49
2001-06-05 00:00:00,ACC,9.0,15.6,57.69
2001-07-02 00:00:00,ACC,15.0,19.8,75.76
2001-10-05 00:00:00,ACC,12.0,19.1,62.83
2002-03-29 00:00:00,ACC,9.0,29.8,30.2
2002-11-19 00:00:00,ACC,26.0,33.8,76.92
2003-11-21 00:00:00,ACC,1.25,21.0,5.95
2004-11-18 00:00:00,ACC,2.0,13.1,15.27
2008-10-09 00:00:00,ACC,0.08,2.0,4.0
2011-10-10 00:00:00,ACC,0.38,3.96,9.6
2004-03-16 00:00:00,ADAM,0.25,4.6948,5.33
2004-10-13 00:00:00,ADAM,0.15,2.9776,5.04
2005-04-05 00:00:00,ADAM,0.0048,2.1317,0.23
2001-04-03 00:00:00,ADVANC,4.0,39.8,10.05
2002-04-04 00:00:00,ADVANC,0.4,40.0,1.0
2003-04-03 00:00:00,ADVANC,1.55,43.0,3.6
2003-08-19 00:00:00,ADVANC,2.0,60.5,3.31
2004-03-31 00:00:00,ADVANC,2.1,85.0,2.47
2004-08-25 00:00:00,ADVANC,2.15,91.5,2.35
2005-03-07 00:00:00,ADVANC,2.6,114.0,2.28
2005-08-22 00:00:00,ADVANC,3.0,105.0,2.86
2006-03-30 00:00:00,ADVANC,3.3,94.0,3.51
2006-08-25 00:00:00,ADVANC,3.0,90.0,3.33
2007-03-30 00:00:00,ADVANC,3.3,70.5,4.68
2007-08-24 00:00:00,ADVANC,3.0,94.5,3.17
2008-04-16 00:00:00,ADVANC,3.3,98.0,3.37
2008-08-22 00:00:00,ADVANC,3.0,91.5,3.28
2009-04-16 00:00:00,ADVANC,3.3,81.75,4.04
2009-08-25 00:00:00,ADVANC,3.0,89.75,3.34
2010-04-12 00:00:00,ADVANC,8.3,90.0,9.22
2010-08-17 00:00:00,ADVANC,3.0,93.0,3.23
2010-11-16 00:00:00,ADVANC,6.0,96.75,6.2
2011-04-04 00:00:00,ADVANC,3.92,90.75,4.32
2011-08-16 00:00:00,ADVANC,4.17,117.0,3.56
2012-04-02 00:00:00,ADVANC,4.26,184.0,2.32
2012-08-21 00:00:00,ADVANC,5.9,210.0,2.81
2013-04-01 00:00:00,ADVANC,5.0,240.0,2.08
2013-08-16 00:00:00,ADVANC,6.4,284.0,2.25
2014-03-28 00:00:00,ADVANC,5.75,227.0,2.53
2014-08-13 00:00:00,ADVANC,6.04,213.0,2.84
2015-03-26 00:00:00,ADVANC,5.96,243.0,2.45
2015-08-11 00:00:00,ADVANC,6.5,242.0,2.69
2016-03-31 00:00:00,ADVANC,6.49,189.0,3.43
2016-08-15 00:00:00,ADVANC,5.79,184.5,3.14
2017-04-05 00:00:00,ADVANC,4.29,174.0,2.47
