SET Symbol,ISIN CODE,บริษัท,ประเภทหลักทรัพย์,วันที่มีผล,ราคาพาร์เก่า,ราคาพาร์ใหม่,"ประเภท
การเปลี่ยนพาร์ ",,,
     TUF,TH0450B10Z07  ,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน),หุ้นสามัญ,5 ม.ค. 2558,1.00,0.25,Par Change,,,
     TPIPL,TH0212010Z01  ,บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),หุ้นสามัญ,21 ต.ค. 2557,10.00,1.00,Par Change,,,
     MACO,TH0734010Z04  ,บริษัท มาสเตอร์ แอด จำกัด (มหาชน),หุ้นสามัญ,3 ต.ค. 2557,1.00,0.10,Par Change,,,
     MACO,TH0734010Z04  ,บริษัท มาสเตอร์ แอด จำกัด (มหาชน),หุ้นสามัญ,3 ต.ค. 2557,1.00,0.10,Par Change,,,
     GEL,TH0224D10Z00  ,บริษัท เจนเนอรัล เอนจิเนียริ่ง จำกัด (มหาชน),หุ้นสามัญ,26 ก.ย. 2557,1.00,10.00,Par Change,,,
     GEL,TH0224D10Z00  ,บริษัท เจนเนอรัล เอนจิเนียริ่ง จำกัด (มหาชน),หุ้นสามัญ,26 ก.ย. 2557,10.00,30.00,Par Change,,,
     GEL,TH0224D10Z00  ,บริษัท เจนเนอรัล เอนจิเนียริ่ง จำกัด (มหาชน),หุ้นสามัญ,26 ก.ย. 2557,30.00,0.85,Par Change,,,
     SNP,TH0146B10Z07  ,บริษัท เอส แอนด์ พี ซินดิเคท จำกัด (มหาชน),หุ้นสามัญ,19 พ.ค. 2557,5.00,1.00,Par Change,,,
     PRG,TH0366010Z05  ,บริษัท ปทุมไรซมิล แอนด์ แกรนารี จำกัด (มหาชน),หุ้นสามัญ,19 พ.ค. 2557,10.00,1.00,Par Change,,,
     SITHAI,TH0266A10Z02  ,บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด (มหาชน),หุ้นสามัญ,15 พ.ค. 2557,10.00,1.00,Par Change,,,
     BGH,TH0264A10Z04  ,บริษัท กรุงเทพดุสิตเวชการ จำกัด (มหาชน),หุ้นสามัญ,29 เม.ย. 2557,1.00,0.10,Par Change,,,
     MBK,TH0480010Z04  ,บริษัท เอ็ม บี เค จำกัด (มหาชน),หุ้นสามัญ,28 เม.ย. 2557,10.00,1.00,Par Change,,,
     MIDA,TH0710010Z04  ,บริษัท ไมด้า แอสเซ็ท จำกัด (มหาชน),หุ้นสามัญ,18 เม.ย. 2557,1.00,0.50,Par Change,,,
     WR,TH0680A10Z00  ,บริษัท วีรีเทล จำกัด (มหาชน),หุ้นสามัญ,14 มี.ค. 2557,5.00,1.05,Par Change,,,
     AEC,TH0658010Z05  ,บริษัท หลักทรัพย์เออีซี จำกัด (มหาชน),หุ้นสามัญ,17 ก.พ. 2557,5.00,1.00,Par Change,,,
     SUN,TH0234010Z05  ,บริษัท บิ๊ก คาเมร่า คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,6 ม.ค. 2557,10.00,1.00,Par Change,,,
     SUN,TH0234010Z05  ,บริษัท บิ๊ก คาเมร่า คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,6 ม.ค. 2557,1.00,0.25,Par Change,,,
     SUN,TH0234010Z05  ,บริษัท บิ๊ก คาเมร่า คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,6 ม.ค. 2557,0.25,0.10,Par Change,,,
     BNC,TH0045010Z05  ,บริษัท ดิจิตอลเทค แพลนเน็ต จำกัด (มหาชน),หุ้นสามัญ,20 ธ.ค. 2556,10.00,1.00,Par Change,,,
     BNC,TH0045010Z05  ,บริษัท ดิจิตอลเทค แพลนเน็ต จำกัด (มหาชน),หุ้นสามัญ,20 ธ.ค. 2556,1.00,0.10,Par Change,,,
     BNC,TH0045010Z05  ,บริษัท ดิจิตอลเทค แพลนเน็ต จำกัด (มหาชน),หุ้นสามัญ,20 ธ.ค. 2556,0.10,0.50,Par Change,,,
     MAKRO,TH0429010Z01  ,บริษัท สยามแม็คโคร จำกัด (มหาชน),หุ้นสามัญ,10 ต.ค. 2556,10.00,0.50,Par Change,,,
     BANPU,TH0148010Z07  ,บริษัท บ้านปู จำกัด (มหาชน),หุ้นสามัญ,26 ก.ย. 2556,10.00,1.00,Par Change,,,
     TWFP,TH0166010Z09  ,บริษัท ไทยวาฟูดโปรดักส์ จำกัด (มหาชน),หุ้นสามัญ,3 ก.ย. 2556,10.00,1.00,Par Change,,,
     CI,TH0696010Z05  ,บริษัท ชาญอิสสระ ดีเวล็อปเมนท์ จำกัด (มหาชน),หุ้นสามัญ,28 ส.ค. 2556,5.00,1.00,Par Change,,,
     UTP,TH0818010Z05  ,บริษัท ยูไนเต็ด เปเปอร์ จำกัด (มหาชน),หุ้นสามัญ,9 ส.ค. 2556,5.00,1.00,Par Change,,,
     STPI,TH0566A10Z09  ,บริษัท เอสทีพี แอนด์ ไอ จำกัด (มหาชน),หุ้นสามัญ,2 ส.ค. 2556,1.00,0.25,Par Change,,,
     SCP,TH0240010Z02  ,บริษัท ทักษิณคอนกรีต จำกัด (มหาชน),หุ้นสามัญ,26 ก.ค. 2556,10.00,1.00,Par Change,,,
     TPA,TH0457010Z02  ,บริษัท ไทยโพลีอะคริลิค จำกัด (มหาชน),หุ้นสามัญ,17 พ.ค. 2556,10.00,1.00,Par Change,,,
     UVAN,TH0748010Z04  ,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน),หุ้นสามัญ,16 พ.ค. 2556,5.00,0.50,Par Change,,,
     GL,TH0799010Z07  ,บริษัท กรุ๊ปลีส จำกัด (มหาชน),หุ้นสามัญ,15 พ.ค. 2556,5.00,0.50,Par Change,,,
     TMD,TH0165010Z01  ,บริษัท อุตสาหกรรมถังโลหะไทย จำกัด (มหาชน),หุ้นสามัญ,13 พ.ค. 2556,10.00,1.00,Par Change,,,
     CNS,TH0108010Z01  ,บริษัท หลักทรัพย์โนมูระ พัฒนสิน จำกัด (มหาชน),หุ้นสามัญ,10 พ.ค. 2556,10.00,1.00,Par Change,,,
     TCMC,TH0036A10Z01,บริษัท ทีซีเอ็ม คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,9 พ.ค. 2556,10.00,5.50,Par Change,,,
     TCMC,TH0036A10Z01,บริษัท ทีซีเอ็ม คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,9 พ.ค. 2556,5.50,1.10,Par Change,,,
     CPN,TH0481B10Z00  ,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),หุ้นสามัญ,7 พ.ค. 2556,1.00,0.50,Par Change,,,
     SPG,TH0613010Z00  ,บริษัท สยามภัณฑ์กรุ๊ป จำกัด (มหาชน),หุ้นสามัญ,2 พ.ค. 2556,10.00,1.00,Par Change,,,
     TRC,TH0890010Z04  ,บริษัท ทีอาร์ซี คอนสตรัคชั่น จำกัด (มหาชน),หุ้นสามัญ,2 พ.ค. 2556,1.00,0.50,Par Change,,,
     TRC,TH0890010Z04  ,บริษัท ทีอาร์ซี คอนสตรัคชั่น จำกัด (มหาชน),หุ้นสามัญ,2 พ.ค. 2556,0.50,0.13,Par Change,,,
     MALEE,TH0293A10Z09,บริษัท มาลีกรุ๊ป จำกัด (มหาชน),หุ้นสามัญ,18 เม.ย. 2556,10.00,2.00,Par Change,,,
     MALEE,TH0293A10Z09,บริษัท มาลีกรุ๊ป จำกัด (มหาชน),หุ้นสามัญ,18 เม.ย. 2556,2.00,1.00,Par Change,,,
     MALEE,TH0293A10Z09,บริษัท มาลีกรุ๊ป จำกัด (มหาชน),หุ้นสามัญ,18 เม.ย. 2556,1.00,0.50,Par Change,,,
     MALEE,TH0293A10Z09,บริษัท มาลีกรุ๊ป จำกัด (มหาชน),หุ้นสามัญ,18 เม.ย. 2556,1.00,0.50,Par Change,,,
     KMC,TH0231C10Z02,บริษัท เอคิว เอสเตท จำกัด (มหาชน),หุ้นสามัญ,7 มี.ค. 2556,2.30,10.00,Par Change,,,
     KMC,TH0231C10Z02,บริษัท เอคิว เอสเตท จำกัด (มหาชน),หุ้นสามัญ,7 มี.ค. 2556,10.00,20.00,Par Change,,,
     KMC,TH0231C10Z02,บริษัท เอคิว เอสเตท จำกัด (มหาชน),หุ้นสามัญ,7 มี.ค. 2556,20.00,0.50,Par Change,,,
     AKR,TH0914010Z02,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),หุ้นสามัญ,28 ก.ย. 2555,1.00,0.80,Par Change,,,
     TH,TH0236A10Z09,บริษัท ตงฮั้ว โฮลดิ้ง จำกัด (มหาชน),หุ้นสามัญ,6 ก.ย. 2555,5.00,1.00,Par Change,,,
     STRD,TH0052010Z01,บริษัท ดีมีเตอร์ คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,5 ก.ย. 2555,10.00,1.00,Par Change,,,
     BTS,TH0221A10Z06,บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),หุ้นสามัญ,10 ส.ค. 2555,1.00,0.64,Par Change,,,
     BTS,TH0221A10Z06,บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),หุ้นสามัญ,10 ส.ค. 2555,0.64,4.00,Par Change,,,
     SABINA,TH0976010Z01,บริษัท ซาบีน่า จำกัด (มหาชน),หุ้นสามัญ,1 ส.ค. 2555,5.00,1.00,Par Change,,,
