,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,dividend,ROCE%,number_of_shares,return_old
2007-03-31,337.79,45.5,0.37,0.0,0.0,52.1,72.9,8.65,0.0,428.78,0.0,316.82,0.0,369.87,8853.92,6050.85,625.05,2791.94,-198.62,130.35,74.78,20.8,5.845,1.94,2.17,0.37,0.0,0.0,2.04,2.32,6.5200000000000005,6.440000000000001,0.0,0.0,3,2007,0.0,,122.97297297297297,45.5
2007-06-30,345.60999999999996,-148.17000000000002,-1.197828966591994,0.0,0.0,-193.35999999999999,-148.15,9.35,0.0,-106.42999999999995,0.0,502.58,0.0,357.0,8393.48,5748.58,625.05,2624.87,663.34,-8.08999999999999,-454.66999999999996,45.21000000000001,-1.952302929067962,2.23,2.19,-0.83,0.0,0.0,-7.042657056589072,-8.83218466932892,-22.57113859939613,-21.70523814161878,0.0,0.0,6,2007,0.0,,123.6987951807229,-102.67
2007-09-30,108.58000000000004,-21.53,-0.1750829307568438,0.0,0.0,-10.600000000000023,-12.709999999999994,9.5,0.0,1164.4699999999998,0.0,576.9,0.0,344.15,9091.26,6494.29,625.05,2568.03,-291.09000000000003,41.83,331.83,-2.1100000000000065,-13.570854621458428,2.31,2.53,-1.01,0.0,0.0,-0.9499549114331725,-1.1163703703703705,-3.3560450885668276,-3.224299516908213,0.0,0.0,9,2007,0.0,,122.97029702970298,-124.2
2007-12-31,777.22,-160.40000000000003,-1.296275474349965,0.0,0.0,-88.01999999999998,113.6,8.8,0.0,-661.0799999999999,0.0,317.7,0.0,329.76,8803.5,6442.68,625.05,2360.81,-20.829999999999984,-32.890000000000015,1.2000000000000028,201.61999999999998,-1.698905860349127,2.33,2.73,-2.3,0.0,0.0,-7.281686577652847,-6.086858749121575,-27.187969079409704,-25.023752635277585,0.0,0.0,12,2007,0.0,,123.73913043478262,-284.6
2008-03-31,284.28,2.79,0.02,0.0,0.0,9.18,38.18,7.65,0.0,359.03,0.0,1871.68,0.0,316.37,9066.24,6848.97,625.05,2217.28,228.46,633.76,-1.57,29.0,95.625,2.16,3.09,0.02,0.0,0.0,0.12,0.39999999999999997,0.52,0.44,0.0,0.0,3,2008,0.0,,139.5,2.79
2008-06-30,331.68000000000006,-152.10999999999999,-1.2326084918296274,0.0,0.0,-146.09,-121.78999999999999,7.0,0.0,-90.96999999999997,0.0,752.15,0.0,310.68,7340.79,5084.78,625.05,2255.7,-475.56,109.0,-45.99,24.299999999999997,-1.4209499704161461,1.94,2.25,-1.21,0.0,0.0,-8.271719796410393,-7.090045539780338,-26.974770961693007,-24.93740155371015,0.0,0.0,6,2008,0.0,,123.40495867768595,-149.32
2008-09-30,-30.860000000000014,-103.66,-0.8399992094236698,0.0,0.0,-118.37,-93.55999999999999,6.7,57.98,874.8500000000001,0.0,1677.63,0.0,300.53,7893.58,5717.23,625.05,2176.04,305.11,-46.27999999999997,-379.26,24.810000000000002,-1.9950911634188695,1.92,2.63,-2.05,0.0,0.0,-5.244873112499012,-4.933458771444383,-19.061835718238598,-17.488373784488893,0.0,0.0,9,2008,0.0,,123.40487804878049,-252.98
2008-12-31,124.02999999999997,-361.97,-2.931312464428003,0.0,0.0,-298.72,-274.28999999999996,3.08,121.97,527.7099999999998,0.0,2043.85,0.0,325.14,5454.22,3581.66,625.05,1826.2,712.5,112.61000000000001,-1011.8300000000002,24.430000000000007,-0.2633291432991684,1.05,1.96,-4.98,0.0,0.0,-26.534852589641435,-18.29421513944223,-79.27493227091634,-69.1507205463859,0.0,0.0,12,2008,0.0,,123.48393574297188,-614.95
2009-03-31,69.29,-161.13,-1.3,0.0,0.0,-184.8,-157.41,2.82,64.66,316.99,0.0,1398.73,0.0,308.47,4180.03,2490.47,617.6,1645.15,1270.99,-7.4,-1159.15,27.39,-0.5425,1.06,1.51,-1.3,0.0,0.0,-15.4,-11.159999999999998,-39.16,-33.36,0.0,0.0,3,2009,0.0,,123.94615384615383,-161.13
2009-06-30,323.59,-56.52000000000001,-0.45704203997243287,0.0,0.0,-34.639999999999986,-12.030000000000001,3.3,145.2,-54.889999999999986,0.0,436.43,0.0,244.83,4217.36,2608.5,617.6,1546.54,120.8900000000001,-183.32,-64.93999999999983,22.61,-1.8098991507430993,1.32,1.69,-1.76,0.0,0.0,-5.359856650585804,-3.9471812543073748,-14.614957960027569,-11.893480358373537,0.0,-4.8,6,2009,0.0,,123.66477272727273,-217.65
2009-09-30,-23.30000000000001,-135.9,-1.099346627068307,0.0,0.0,-128.74,-115.0,4.16,193.77,403.59000000000003,0.0,555.73,0.0,276.53,2526.35,1065.62,617.6,1385.67,1017.8299999999999,162.93,-1048.5800000000002,13.740000000000002,-0.9430601545253864,1.85,0.77,-2.86,0.0,0.0,-21.510292745014848,-10.270818837505304,-39.222842596521005,-30.520322443784472,0.0,-5.71,9,2009,0.0,,123.61888111888113,-353.55
2009-12-31,34.44,-99.37,-0.8051927492713945,0.0,0.0,-97.04000000000002,-83.16000000000003,4.0,194.4,181.39999999999998,0.0,553.8,0.0,267.83,2090.78,734.54,617.6,1285.37,374.4899999999998,-20.07,-354.59000000000015,13.880000000000003,-1.2420318003421555,1.92,0.57,-3.67,0.0,0.0,-19.00869204274486,-10.355612470193412,-30.926422326238633,-25.546769407400866,0.0,-6.49,12,2009,0.0,,123.41144414168939,-452.92
2010-03-31,59.69,-20.66,-0.17,0.0,0.0,-23.97,-11.95,3.98,-0.6,53.77,0.0,409.55,220.98,260.21,1925.69,609.76,617.6,1244.25,-34.4,-1.66,-87.54,12.02,-5.8525,1.98,0.49,-0.17,0.0,0.0,-4.28,-3.16,-6.64,-5.720000000000001,0.0,-4.3,3,2010,0.0,,121.52941176470587,-20.66
2010-06-30,81.50999999999999,2.2300000000000004,0.018149755832881174,0.0,0.0,16.97,27.74,3.66,0.0,180.82,0.0,223.9,0.0,255.95,1876.83,564.33,617.6,1252.0,-133.48999999999998,-12.95,-41.709999999999994,10.77,50.413901345291464,1.81,0.45,-0.15,0.0,0.0,0.4743136190992947,0.11131850244167121,0.7114704286489422,0.6388714053174174,0.0,-0.71,6,2010,0.0,,122.86666666666667,-18.43
2010-09-30,321.24,9.44,0.0525027808676307,0.0,-28.99,6.03,16.92,3.88,-21.8,25.49999999999997,-28.99,81.68,0.0,182.14,1811.02,510.41,617.6,1257.86,-72.89000000000001,33.67,-59.78,10.89,18.475211864406777,1.91,0.41,-0.05,0.0,0.0,2.1001112347052278,0.16800889877641823,2.9821579532814235,2.85615127919911,0.0,0.0,9,2010,0.0,,179.79999999999998,-8.99
2010-12-31,164.20999999999998,16.77,0.12933161953727504,0.0,9.009999999999998,16.52,25.82,4.42,-56.42,86.60000000000002,9.009999999999998,123.82,0.0,179.73,1810.88,507.88,617.6,1274.74,98.75999999999999,-20.75,-31.310000000000002,9.299999999999997,8.544314251639832,2.14,0.4,0.06,0.0,0.0,3.7075064267352182,6.897686375321337,5.259485861182519,5.259485861182519,0.0,0.0,12,2010,0.0,,129.66666666666669,7.78
2011-03-31,125.38,-34.26,-0.28,0.0,-56.28,-42.24,-36.42,4.86,-19.05,118.97,-56.28,118.75,0.0,175.91,1907.86,660.47,617.6,1234.76,122.78,-300.75,167.89,5.82,-4.34,2.43,0.53,-0.28,0.0,0.0,-7.2,-8.8,-11.08,-11.04,0.0,0.0,3,2011,0.0,,122.35714285714283,-34.26
2011-06-30,95.82,-51.36000000000001,-0.4139032936229853,0.0,-57.34,-53.24999999999999,-41.91,4.18,-29.07,105.25,-57.34,107.07,0.0,171.8,1921.65,719.46,617.6,1190.82,-7.239999999999995,1.829999999999984,-15.319999999999993,11.34,-2.525589953271028,2.17,0.6,-0.69,0.0,0.0,-10.701499649614577,-12.069180098107921,-17.25196916608269,-16.820070077084793,0.0,0.0,6,2011,0.0,,124.08695652173914,-85.62
2011-09-30,65.11000000000001,-2.8499999999999943,-0.02319430315361135,0.0,-79.38,-6.040000000000006,6.8999999999999915,3.6,-69.07,106.05999999999997,-79.38,96.72,0.0,166.79,1944.46,718.53,617.6,1225.92,37.09999999999998,-95.55000000000001,30.960000000000008,12.940000000000001,-38.80263157894745,1.81,0.59,-0.72,0.0,0.0,-0.586300440827398,-0.6971176670057634,-0.9303492709392995,-0.9174635469650712,0.0,0.0,9,2011,0.0,,122.875,-88.47
2011-12-31,189.58999999999997,-54.81999999999999,-0.4437937050736268,0.0,8.889999999999986,-41.06999999999999,-22.739999999999995,3.08,-65.0,91.78000000000003,8.889999999999986,145.97,0.81,164.6,1838.5,664.76,617.6,1173.75,-7.599999999999994,111.19000000000005,-51.06999999999999,18.33,-1.738195001824152,1.62,0.57,-1.16,0.0,0.0,-11.921217112150183,-11.96712680577849,-18.685245306720635,-17.90478051503943,0.0,0.0,12,2011,0.0,,123.52586206896552,-143.29
2012-03-31,93.96,-38.13,-0.31,0.0,-35.12,-39.33,-25.72,2.88,0.0,83.39,-35.12,147.74,8.27,159.9,1758.0,634.91,617.6,1123.09,61.79,-21.36,-26.7,13.61,-2.3225,1.58,0.57,-0.31,0.0,0.0,-8.68,-8.6,-13.6,-12.92,0.0,0.0,3,2012,0.0,,123.00000000000001,-38.13
2012-06-30,130.2,-36.38999999999999,-0.29299516908212553,0.0,-30.949999999999996,-34.58,-20.910000000000004,2.6,0.0,93.67999999999999,-30.949999999999996,129.16,7.16,156.46,1779.17,665.5,617.6,1113.67,-33.62,-10.560000000000002,12.68,13.670000000000002,-2.2167600989282774,1.44,0.6,-0.6,0.0,0.0,-8.184331723027375,-7.793671497584541,-13.067584541062802,-12.637858293075682,0.0,0.0,6,2012,0.0,,124.2,-74.52
2012-09-30,346.05000000000007,9.399999999999991,0.07650491400491394,0.0,29.139999999999993,24.939999999999998,38.870000000000005,2.74,0.0,143.57999999999998,29.139999999999993,57.28,6.88,152.2,1752.15,641.71,617.6,1110.44,20.92,-1.1400000000000006,-76.44,13.93,8.95400000000001,1.52,0.58,-0.53,0.0,0.0,2.147911547911546,1.5300982800982785,3.3835380835380806,3.2160933660933635,0.0,0.0,9,2012,0.0,,122.86792452830188,-65.12
2012-12-31,335.9,31.120000000000005,0.24712941176470593,0.0,42.34,47.07,58.73,2.5,-5.0,127.56,42.34,73.58,6.45,148.71,1804.3,486.71,1061.95,1317.59,-80.76,62.410000000000004,37.25999999999999,11.659999999999997,2.5292416452442152,2.01,0.37,-0.27,0.0,0.0,6.883011764705883,0.3661176470588236,9.445835294117648,9.995011764705884,0.0,0.0,12,2012,0.0,,125.92592592592592,-34.0
2013-03-31,176.37,32.37,0.15,0.0,30.14,30.29,37.5,3.96,0.0,87.38,30.14,154.95,9.39,145.76,1689.0,361.4,1061.95,1327.59,114.6,53.78,-69.03,7.21,6.6,3.17,0.27,0.15,0.0,0.0,7.68,7.04,9.76,10.56,0.0,0.0,3,2013,0.0,,215.79999999999998,32.37
2013-06-30,144.26,-28.949999999999996,-0.16929824561403506,0.0,-10.879999999999999,-17.67,-11.45,3.84,0.0,79.13,-10.879999999999999,64.42,10.7,141.94,1851.8,364.72,1235.2,1487.08,-297.66999999999996,18.730000000000004,164.56,6.22,-5.6704663212435245,3.19,0.25,0.02,0.0,0.0,-6.094736842105262,-23.701754385964907,-7.787719298245614,-8.803508771929824,0.0,0.0,6,2013,0.0,,171.0,3.42
2013-09-30,129.87,3.0600000000000005,0.014166666666666668,0.0,3.479999999999997,0.33000000000000007,6.4999999999999964,3.2,0.0,74.05000000000001,3.479999999999997,111.8,10.47,138.68,1854.04,360.18,1235.2,1493.86,-6.719999999999999,50.78,-0.030000000000001137,6.170000000000002,56.47235294117647,2.65,0.24,0.03,0.0,0.0,0.6611111111111111,1.36,0.8122222222222222,0.9444444444444445,0.0,0.0,9,2013,0.0,,216.00000000000003,6.48
2013-12-31,223.12,67.58,0.29200108020523896,0.0,66.31,63.099999999999994,69.14,2.7,0.0,83.94,66.31,130.02,16.88,138.55,1966.51,361.23,1235.2,1605.28,-24.30000000000001,26.84999999999998,-0.030000000000001137,6.039999999999999,2.3123202130807927,2.08,0.23,0.32,0.0,0.0,13.760550904671886,14.709554415338914,16.826562246826896,18.505568458007023,0.0,0.0,12,2013,0.0,,231.4375,74.06
2014-03-31,88.78,-24.7,-0.1,0.0,-26.91,-26.5,-20.43,2.84,0.0,78.32,-26.91,143.88,19.48,148.04,1918.98,336.41,1235.2,1582.58,46.04,-5.98,-22.03,6.07,-7.1,2.22,0.21,-0.1,0.0,0.0,-5.16,-5.88,-6.24,-6.8,0.0,0.0,3,2014,0.0,,246.99999999999997,-24.7
2014-06-30,201.34,13.62,0.049169675090252704,0.0,24.18,16.92,23.63,3.48,0.0,69.47,24.18,147.78,20.73,148.16,1985.73,420.7,1235.2,1565.02,-104.03,17.04,90.97,6.709999999999999,17.693832599118945,2.75,0.27,-0.04,0.0,0.0,2.7535018050541518,2.4584837545126352,3.4910469314079418,3.589386281588447,0.0,0.0,6,2014,0.0,,277.0,-11.08
2014-09-30,-37.27000000000001,1.9000000000000004,0.008278867102396515,0.0,-10.67,-14.680000000000001,-8.02,4.78,0.0,-6.139999999999986,-10.67,156.59,13.88,141.98,2073.24,512.4,1235.2,1560.84,-77.25999999999999,8.229999999999999,91.97,6.660000000000002,144.34342105263156,3.78,0.33,-0.04,0.0,0.0,0.3642701525054467,1.026579520697168,0.48845315904139447,0.496732026143791,0.0,0.0,9,2014,0.0,,229.5,-9.18
2014-12-31,344.98,65.61,0.2674162679425838,0.0,71.97,81.3,88.88,4.12,-2.43,157.24999999999997,71.97,127.51,64.0,142.08,2528.08,897.67,1235.2,1630.41,261.65,-594.62,297.97,7.579999999999998,3.8510185185185186,3.12,0.55,0.23,0.0,0.0,10.371100478468898,11.812822966507177,16.091483253588517,16.231004784688995,0.0,0.0,12,2014,0.0,,245.3478260869565,56.43
2015-03-31,282.16,93.92,0.38,0.0,108.0,99.67,111.04,4.4,0.0,67.17,108.0,170.8,67.45,139.37,2581.66,862.37,1235.2,1719.28,-32.21,174.12,-109.02,11.37,2.8949999999999996,3.16,0.5,0.38,0.0,0.0,14.56,17.72,21.84,22.76,0.0,0.0,3,2015,0.0,,247.1578947368421,93.92
2015-06-30,545.9300000000001,154.75,0.6285337998150159,0.1,172.76,163.83999999999997,176.57,4.88,0.0,83.14999999999999,172.76,171.32,4.29,91.38,2943.13,1083.99,1235.2,1859.15,88.50999999999999,-320.74,215.3,12.730000000000002,1.940349111470113,3.24,0.58,1.01,0.1,0.1,21.034101419552016,26.610005227811957,33.30606828326699,36.14380504282784,0.0,0.0,6,2015,24.62079207920792,,246.2079207920792,248.67
2015-09-30,228.68999999999994,55.27000000000001,0.22366947423833655,0.00036331428102342176,64.68,54.04000000000002,69.78999999999996,4.86,0.0,82.6,64.68,196.85,4.5,89.22,2967.58,1102.32,1235.2,1865.26,-9.099999999999994,22.439999999999998,-20.0,15.75,5.430445992400941,3.22,0.59,1.23,0.1,0.08,7.448375337237613,9.164993090741595,11.849026781601633,12.903728367440944,0.0,0.0,9,2015,0.08977702648313723,,247.10569105691056,303.94
2015-12-31,582.8600000000001,258.89000000000004,1.04875219871009,0.1998985527406577,219.70999999999998,253.96999999999997,272.55000000000007,4.58,0.0,167.72,219.70999999999998,200.06,94.56,87.54,3534.76,1423.91,1235.2,2110.86,-16.560000000000002,-179.17000000000002,203.80999999999997,18.58,1.092441094673413,2.68,0.67,2.28,0.3,0.13,29.291464918359008,34.682419202956495,49.05216424142281,55.363076595064236,0.0,0.0,12,2015,49.346009841677365,,246.85526315789477,562.83
2016-03-31,185.13,9.14,0.04,0.0,21.66,9.1,27.24,4.7,0.0,77.94,21.66,330.87,91.36,85.26,3431.7,1336.2,1235.2,2095.49,101.75,5.76,34.0,18.14,29.375,2.77,0.64,0.04,0.0,0.0,1.08,1.2,1.76,1.9200000000000002,0.0,0.0,3,2016,0.0,,228.5,9.14
2016-06-30,240.04000000000002,42.0,0.1724677356276887,0.1,56.290000000000006,41.79,58.25,4.02,0.0,71.59,56.290000000000006,713.37,91.06,84.17,4087.21,1979.31,1235.2,2107.9,282.39,15.680000000000001,85.3,16.46,5.826307142857143,2.36,0.94,0.21,0.1,0.48,4.106374657802111,4.7633946030504495,7.982792334767306,8.47555729370356,0.0,0.0,6,2016,24.352380952380955,,243.52380952380955,51.14
2016-09-30,308.74999999999994,65.66,0.26421404109589036,0.00200668623613829,91.04,75.79,92.67,4.16,0.0,78.87,91.04,201.93,46.87,83.04,3659.98,1493.07,1235.2,2166.91,-510.0,3.8299999999999983,0.0,16.879999999999995,3.9357295156868712,2.37,0.69,0.47,0.1,0.21,7.173130136986301,8.58976712328767,12.120116438356163,13.019568493150684,0.0,0.0,9,2016,0.4986828774062815,,248.51063829787236,116.8
2016-12-31,196.92000000000007,13.88000000000001,0.05629323538414452,-0.0007886733225224631,26.639999999999986,11.23999999999998,28.120000000000005,4.28,0.0,89.71000000000001,26.639999999999986,82.55,45.7,86.77,3681.14,1495.78,1235.2,2185.36,-61.58999999999999,-70.29,0.0,16.880000000000003,19.018270893371746,2.42,0.68,0.53,0.1,0.19,1.5082338536884,1.622944597490053,2.540630547903277,2.5831160085705553,0.0,0.0,12,2016,-0.1944600562023311,,246.56603773584905,130.68
2017-03-31,212.86,31.33,0.13,0.0,46.32,32.55,49.09,4.8,0.0,67.41,46.32,97.11,49.7,85.9,3505.0,1308.96,1235.2,2196.03,153.06,28.06,-150.0,16.54,9.23,2.7,0.6,0.13,0.0,0.0,3.56,3.76,5.72,5.84,0.0,0.0,3,2017,0.0,,240.99999999999997,31.33
2017-06-30,261.21,37.230000000000004,0.1520478413068845,0.1,56.190000000000005,43.25,59.92,4.76,0.0,81.88,56.190000000000005,114.47,50.18,87.98,3518.26,1313.71,1235.2,2204.54,21.97999999999999,25.44,-24.69999999999999,16.67,7.826484018264839,2.67,0.6,0.28,0.1,0.36,4.235618436406068,4.3225029171528595,6.755268378063011,6.907316219369896,0.0,0.0,6,2017,24.485714285714284,,244.85714285714283,68.56
2017-09-30,233.2,26.739999999999995,0.10942917103882475,-0.0002038674861340122,45.17999999999999,32.36,49.230000000000004,4.76,0.0,76.48000000000002,45.17999999999999,158.66,49.74,87.0,3492.42,1266.77,1235.2,2225.65,102.72,-1.3900000000000006,-50.0,16.869999999999997,10.878954749439044,2.64,0.57,0.39,0.1,0.26,3.064016789087093,3.3894984260230845,4.803660020986358,4.871001049317942,0.0,0.0,9,2017,-0.04981684981684964,,244.35897435897434,95.3
