,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,dividend,ROCE%,number_of_shares,return_old
2002-06-30,,,,,,,,,0.0,,,93.99,0.0,25.64,513.0,52.29,320.0,458.9,,,,,,0.0,0.11,0.07,0.0,0.0,,,,,1.58,0.0,6,2002,,,22.0,1.54
2002-09-30,165.11,122.75999999999999,3.2591150442477876,0.0,0.0,130.1,135.97,21.8,0.0,35.02000000000001,0.0,1088.79,0.0,72.5,1894.82,442.22,500.0,1450.79,230.73999999999998,-107.84,868.78,5.869999999999999,1.6732302867383515,7.51,0.3,3.3,0.0,0.0,25.914902654867255,0.0,33.85529203539823,0.0,47.33,0.0,9,2002,0.0,,37.666666666666664,124.3
2002-12-31,236.52999999999997,103.10000000000001,1.931424802110818,0.0,0.0,11.849999999999994,21.069999999999993,22.9,18.54,224.68,0.0,450.67,0.0,90.04,2404.52,848.04,500.0,1555.0,-985.43,-383.72,732.25,9.219999999999999,2.9665664403491756,7.36,0.55,4.26,0.0,0.0,17.156130167106422,0.0,26.514019349164467,0.0,45.56,0.0,12,2002,0.0,,53.38028169014085,227.4
2003-03-31,133.44,48.18,0.48,0.0,0.0,45.11,55.13,18.4,1.9,120.6,0.0,164.2,0.0,93.68,3462.5,1911.49,500.0,1549.6,-917.74,-393.26,1025.69,10.02,9.5825,5.94,1.23,0.48,0.0,0.0,5.56,0.0,12.44,0.0,0.0,0.0,3,2003,0.0,,100.375,48.18
2003-06-30,300.82,133.0,1.328678662103985,0.5,0.0,138.83999999999997,149.14000000000001,31.75,0.0,125.30000000000001,0.0,768.64,0.0,99.48,6356.47,4666.27,500.0,1688.79,-132.26999999999998,-1639.42,2280.7799999999997,10.3,5.973490977443609,9.4,2.76,1.81,0.5,0.28,8.368473341428412,15.738602494756597,31.50656805386908,49.53548956838503,0.0,0.0,6,2003,50.049723756906076,,100.09944751381215,181.18
2003-09-30,245.89999999999998,178.59999999999997,1.7622713880704872,0.006152317146543516,0.0,229.82,223.97,53.5,0.7,176.07000000000002,0.0,1031.26,0.0,124.78,8466.22,6285.03,550.0,2179.76,-1071.68,-366.24,1719.3899999999999,-5.85,7.589424132138858,13.5,2.88,3.55,0.5,0.14,8.439046083717827,15.865406637389514,32.7832119628662,39.35573961865584,0.0,0.0,9,2003,0.6235156797136412,,101.34647887323943,359.78
2003-12-31,418.0000000000001,218.85000000000002,2.114255223545271,0.01045848218947475,0.0,308.45000000000005,313.42999999999995,52.0,0.86,440.0899999999999,0.0,1372.04,0.0,245.7,10614.07,8241.92,550.0,2372.16,-66.67000000000007,-262.75,672.5600000000004,4.979999999999999,6.147200137080191,12.06,3.47,5.59,0.5,0.09,8.245217150856334,16.79301107789088,36.89923785493321,44.58468796985984,0.0,0.0,12,2003,1.0825745168686538,,103.51162790697674,578.63
2004-03-31,263.38,157.42,1.35,0.5,0.0,207.42,193.35,37.0,0.38,250.28,0.0,828.65,0.0,366.04,10344.58,7577.98,600.05,2766.57,-535.72,-243.94,731.3,-14.07,6.852500000000001,8.03,2.74,1.35,0.5,0.37,6.08,12.0,22.76,29.16,0.0,0.0,3,2004,58.3037037037037,,116.6074074074074,157.42
2004-06-30,250.51999999999998,103.65,0.873443903933811,0.008682927382892924,0.0,117.27000000000001,82.28,39.5,0.38,280.56000000000006,0.0,1192.54,0.0,375.14,9951.55,7114.07,600.05,2837.55,824.55,518.12,-994.6899999999999,-34.99,11.302958273034248,8.35,2.51,2.2,0.5,0.23,4.160769142375608,6.320557704830122,14.610334393074655,18.326441184356685,0.0,0.0,6,2004,1.030387205387207,,118.66818181818181,261.07
2004-09-30,281.15999999999997,117.74000000000001,0.9759605079063385,0.00817284270598597,0.0,154.53000000000003,227.49,32.0,0.38,238.95999999999992,0.0,655.27,0.0,372.1,10236.77,7120.22,625.05,3116.54,-135.51,-711.88,300.34,72.96000000000001,8.196182053677594,6.42,2.28,3.14,0.5,0.16,4.600068635991659,6.365500382777646,15.105630791161797,17.778643647211005,0.0,0.0,9,2004,0.9859727851766067,,120.64012738853502,378.81
2004-12-31,216.21000000000004,98.82999999999998,0.811099572900092,0.0049521612898236,0.0,135.15999999999997,144.47000000000003,27.25,0.38,426.78999999999996,0.0,510.16,0.0,382.3,9783.31,6683.3,625.05,3100.0,35.09,-290.50000000000006,147.73000000000002,9.310000000000002,8.397242740058688,5.49,2.16,3.92,0.5,0.13,4.038944811992295,4.9824688049577075,12.754126957541242,14.450814839628169,0.0,0.0,12,2004,0.6034056934875878,,121.8469387755102,477.64
2005-03-31,217.38,58.7,0.47,0.5,0.0,76.44,86.91,23.2,0.0,322.93,0.0,413.42,0.0,378.55,10847.02,7685.41,625.05,3161.6,-1433.98,218.25,1087.73,10.47,12.34,4.59,2.43,0.47,0.5,1.06,2.16,2.88,7.440000000000001,7.920000000000001,0.0,0.0,3,2005,62.446808510638306,,124.89361702127661,58.7
2005-06-30,154.04000000000002,64.72,0.519144385026738,-0.0009102286949596527,0.0,96.72999999999999,107.53999999999999,18.6,0.0,229.82999999999998,0.0,517.06,0.0,372.32,9723.59,6528.57,625.05,3185.81,1117.1,33.46000000000001,-1086.22,10.81,8.958057014833127,3.65,2.05,0.99,0.5,0.51,2.6638923999351807,3.691693404634581,8.117530384054449,8.59996759034192,0.0,0.0,6,2005,-0.11347517730497003,,124.66666666666667,123.42
2005-09-30,194.71999999999997,38.08,0.3041684210526316,0.002105263157894712,0.0,35.31,45.81,19.6,0.0,250.76,0.0,898.4,0.0,380.26,10022.65,6815.59,625.05,3196.49,534.46,22.849999999999994,-170.14999999999998,10.5,16.10546875,3.83,2.13,1.29,0.5,0.39,1.5184842105263159,1.9429052631578947,4.762947368421052,4.828968421052632,0.0,0.0,9,2005,0.26356589147286513,,125.1937984496124,161.5
2005-12-31,265.20000000000005,-59.06999999999999,-0.47288294444986806,-0.001117420329406191,0.0,-49.099999999999994,-37.06,16.1,0.0,469.1500000000001,0.0,689.59,0.0,383.94,9556.24,6407.41,625.05,3134.71,-472.34000000000003,304.46999999999997,-41.56,12.04,-8.509822668020993,3.21,2.04,0.82,0.5,0.61,-2.4682182954212633,-3.8061310163038167,-7.543059650493018,-7.589194571902762,0.0,0.0,12,2005,-0.13958215163545873,,124.91463414634148,102.43
2006-03-31,256.52,-238.29,-1.91,0.5,0.0,-256.21,-242.83,14.6,0.0,580.73,0.0,343.71,0.0,385.6,9019.84,6144.67,625.05,2864.33,460.48,-322.95,-400.97,13.38,-1.91,3.19,2.15,-1.91,0.5,-0.26,-10.56,-10.32,-33.28,-31.640000000000004,0.0,0.0,3,2006,62.37958115183246,,124.75916230366492,-238.29
2006-06-30,374.25,53.17999999999998,0.430932958781265,-0.0054798321416924065,0.0,73.25999999999999,90.14000000000001,15.0,0.0,311.13,0.0,320.88,0.0,414.63,10063.22,7206.47,625.05,2837.65,-1104.45,94.78999999999999,1000.0500000000001,16.880000000000003,8.702049642722832,3.3,2.54,-1.5,0.5,-0.33,2.1144443844200738,2.125935929987574,7.492487710010259,7.067300524012746,0.0,0.0,6,2006,-0.676247818499121,,123.40666666666668,-185.11
2006-09-30,242.07000000000005,-32.42999999999998,-0.26237381630964407,0.0007912721032146472,0.0,-40.55000000000001,-21.909999999999997,11.6,0.0,431.7399999999999,0.0,549.74,0.0,444.96,9809.95,7008.21,625.05,2775.76,525.6700000000001,228.85999999999999,-503.91,18.639999999999997,-11.051407647240216,2.61,2.52,-1.76,0.5,-0.28,-1.3237951641077497,-1.3416842879470434,-4.675024363335476,-4.34705709294842,0.0,0.0,9,2006,0.09780303030301951,,123.60227272727272,-217.54
2006-12-31,265.66999999999996,34.639999999999986,0.28030180426462536,-8.573984790493565e-05,0.0,4.090000000000003,25.629999999999995,10.2,0.0,476.3800000000001,0.0,346.98,0.0,375.59,8945.23,6165.61,625.05,2765.0,582.0,-8.33,-734.2099999999999,21.54,9.094839780600466,2.31,2.23,-1.48,0.5,-0.34,1.5454477856752318,1.7954466921815193,5.007553854565335,4.696949152542371,0.0,0.0,12,2006,-0.010595823095819412,,123.58108108108108,-182.9
