,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2013-12-31,,,,,,,,10.0,,,254.47,158.34,60591.85,2238.32,,,0.0,12,2013,,,,,,,,,,,,
2014-03-31,1084.06,,,,,,,9.75,37.62,-8.43,491.86,316.67,76704.49,2577.87,237.39,0.0,0.0,3,2014,,,,,,,,,,,,
2014-06-30,1086.2000000000003,,,,,,,10.1,51.830000000000005,-18.93,309.0,316.67,76857.99,2883.69,1352.0100000000002,-1534.87,0.26,6,2014,,,,,,,,,,,,
2014-09-30,1085.9899999999998,,,,,,,10.3,53.45,-20.240000000000002,269.54,316.67,74175.27,964.72,1086.0099999999998,-1125.4700000000003,0.46,9,2014,,,,,,,,,,,,
2014-12-31,1085.96,,,,,,,10.7,54.96000000000001,-21.21,292.12,316.67,73390.07,1276.83,1534.33,-1511.7399999999998,0.72,12,2014,,,,,,,,,,,,
2015-03-31,1517.59,,,,,,,11.8,109.95,-14.02,1601.21,315.89,88097.05,15986.4,-10316.72,11625.81,0.22,3,2015,,,,,,,,,,,,
2015-06-30,1461.1000000000001,,,,,,,12.3,238.68,-26.59,309.36,315.89,87598.74,15664.73,72.95999999999913,-1364.8099999999995,0.46,6,2015,,,,,,,,,,,,
2015-09-30,1460.98,,,,,,,12.6,266.71000000000004,-26.709999999999994,274.97,315.89,86595.57,14783.71,1339.1000000000004,-1373.5,0.93,9,2015,,,,,,,,,,,,
2015-12-31,1461.0599999999995,,,,,,,12.4,237.04999999999995,-26.700000000000003,854.7,315.89,86799.83,15221.12,1956.2200000000003,-1376.4700000000003,1.17,12,2015,,,,,,,,,,,,
2016-03-31,1562.69,,,,,,,14.2,268.74,-24.27,553.04,315.08,100164.36,15315.27,1077.73,-1379.4,0.24,3,2016,,,,,,,,,,,,
2016-06-30,1572.1999999999998,,,,,,,14.5,238.63,-24.26,482.05,315.08,100407.26,15634.36,1311.3200000000002,-1382.2999999999997,0.48,6,2016,,,,,,,,,,,,
2016-09-30,1584.6600000000003,,,,,,,14.8,283.84000000000003,-24.269999999999996,632.57,315.08,100282.79,15521.75,1538.54,-1388.0200000000004,0.71,9,2016,,,,,,,,,,,,
2016-12-31,1671.4299999999994,,,,,,,14.0,229.68999999999994,-25.460000000000008,856.89,315.08,100460.99,15553.05,1612.4300000000003,-1388.12,0.95,12,2016,,,,,,,,,,,,
2017-03-31,1622.85,,,,,,,14.2,271.82,-26.15,305.13,314.25,105559.62,15170.1,842.17,-1393.92,0.24,3,2017,,,,,,,,,,,,
2017-06-30,1628.6600000000003,,,,,,,14.3,226.38,-25.310000000000002,904.98,314.25,105811.06,15481.8,2005.3199999999997,-1405.48,0.48,6,2017,,,,,,,,,,,,
2017-09-30,1633.92,,,,,,,14.5,275.16,-25.080000000000005,380.22,314.25,105679.08,15444.49,903.8800000000001,-1428.6399999999999,0.73,9,2017,,,,,,,,,,,,
