,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,147.82,7.04,0.98,0.0,36.43,10.07,15.14,1.51,0.0,137.75,7.62,0.77,106.46,204.44,326.27,120.34,495.22,85.64,95.73,280.26,0.0,280.26,72.0,210.13,-7.11,-4.55,10.93,5.07,0.385,0.52,1.33,0.98,0.0,0.0,5.68,0.0,13.4,0.0,18.72,4.84,4.76,1.16,0.43,3,2000,0.0,7.183673469387755,7.04
2000-06-30,179.55,15.54,2.161009743135518,2.0,38.02,17.73,22.729999999999997,1.68,0.0,161.82,9.719999999999999,1.88,101.36,197.33,312.99,117.8,482.4,66.71,87.49,266.45,0.0,266.45,72.0,211.06,36.08,-6.13,-28.83,5.0,0.19252574002574002,0.57,1.26,3.14,2.0,0.64,12.883472099202834,0.0,29.455801594331266,0.0,35.42954827280779,7.18,6.9,1.17,0.43,6,2000,14.38216560509554,7.19108280254777,22.58
2000-09-30,155.23000000000002,8.360000000000003,1.161861667744021,0.0011857756331344754,40.209999999999994,10.599999999999998,15.520000000000003,1.81,0.0,144.63,7.739999999999998,1.61,109.28,232.76,365.32,115.04,532.42,85.98,109.35,308.13,0.0,308.13,72.0,219.38,-21.31,-1.9399999999999995,22.959999999999997,4.92,0.3886004784688994,0.59,1.4,4.3,2.0,0.47,6.279457013574662,0.0,15.239301874595997,0.0,18.503322559793155,6.64,6.41,1.19,0.43,9,2000,0.008532069323065272,7.195348837209303,30.94
2000-12-31,197.49,4.4999999999999964,0.6247178329571101,0.0021943409102838265,41.41,6.93,11.799999999999997,2.33,0.0,190.56,6.370000000000001,1.03,131.5,190.2,336.02,122.3,510.93,112.19,72.61,279.57,0.0,279.57,72.0,226.42,4.529999999999999,-13.709999999999999,8.61,4.869999999999999,0.9253777777777783,0.74,1.23,4.92,2.0,0.41,3.524830699774264,0.0,7.948645598194126,0.0,9.949774266365681,5.38,5.21,1.2,0.52,12,2000,0.015806390622044475,7.203252032520325,35.44
2001-03-31,194.79,20.7,2.87,0.0,56.85,23.04,26.6,2.5,0.0,171.74,20.51,2.84,157.08,191.94,363.81,127.46,548.15,105.04,96.34,295.52,0.0,295.52,72.0,247.65,32.72,-11.76,-19.15,3.56,0.2175,0.73,1.19,2.87,0.0,0.0,15.12,17.68,33.44,36.16,36.48,10.88,10.63,1.23,0.58,3,2001,0.0,7.2125435540069684,20.7
2001-06-30,149.70000000000002,7.879999999999999,1.0945976207137857,2.5000000000000004,36.79,9.93,13.57,2.37,0.0,139.77999999999997,-1.7700000000000031,12.01,106.04,204.04,336.27,129.16,525.78,104.28,83.61,279.93,0.0,279.93,72.0,240.84,27.4,-5.470000000000001,-12.760000000000002,3.64,0.5440355329949239,0.71,1.16,3.97,2.5,0.63,5.999608117564731,7.212764170748775,13.0910566829951,13.951294611616515,14.789475157452763,8.73,8.3,1.2,0.47,6,2001,17.997481108312343,7.198992443324936,28.58
2001-09-30,203.81999999999994,22.340000000000003,3.101802827965437,0.0011352820941029596,67.66000000000001,19.130000000000003,23.019999999999996,2.2,0.0,184.69,16.500000000000004,5.16,141.5,226.0,381.06,136.49,564.86,83.55,120.42,299.96,0.0,299.96,72.0,264.64,22.220000000000006,-2.34,-26.73,3.8899999999999997,0.17664726947179943,0.6,1.13,7.07,2.5,0.35,15.811736056559312,16.671641791044777,33.764461901021214,36.92329929300864,34.51907305577377,9.66,9.29,1.27,0.52,9,2001,0.00817660031566092,7.202263083451202,50.92
2001-12-31,158.25,12.780000000000001,1.775557299843014,-0.0015709689381130797,47.599999999999994,18.96,23.400000000000006,3.79,0.0,139.3,19.46,0.96,114.82,208.62,334.31,145.09,528.83,82.28,89.32,260.34,0.0,260.34,72.0,268.48,5.709999999999994,-12.11,2.8200000000000003,4.4399999999999995,0.5358176838810641,1.02,0.97,8.85,2.5,0.28,9.670266875981161,10.970335949764522,19.043604395604397,20.65665306122449,21.242486656200942,9.28,9.02,1.28,0.48,12,2001,-0.011307426142124655,7.197740112994351,63.7
2002-03-31,212.15,26.21,3.64,0.0,69.81,28.47,32.1,4.43,0.0,183.68,24.93,3.41,134.55,188.45,333.12,143.67,533.24,96.23,92.7,267.83,0.0,267.83,72.0,265.4,38.69,-9.23,-27.0,3.63,0.305,1.2,1.01,3.64,0.0,0.0,19.68,21.08,39.52,40.88,42.92,12.66,12.35,1.24,0.54,3,2002,0.0,7.200549450549451,26.21
2002-06-30,182.74999999999997,13.659999999999997,1.8980787559568595,4.0,48.41,15.29,19.22,5.64,0.0,167.45999999999998,2.370000000000001,2.51,106.58,193.4,308.11,147.16,512.59,94.02,97.26,233.65,0.0,233.65,72.0,278.94,39.790000000000006,1.0999999999999996,-41.8,3.9299999999999997,0.7442789165446562,1.46,0.84,5.54,4.0,0.72,10.662131928768497,11.55292701279157,19.583787308753443,21.022763982944564,21.502422874341608,10.63,10.1,1.32,0.49,6,2002,28.7870036101083,7.196750902527075,39.87
