,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-12-31,458.3499999999999,34.76000000000002,0.37004598160735724,7.837773981358017e-05,68.40999999999997,33.78999999999999,59.58000000000001,29.5,0.0,424.55999999999995,36.150000000000006,129.05,71.33,60.51,262.21,948.42,1214.37,16.12,0.0,76.17,47.52,123.69,470.0,1090.68,102.55999999999997,-38.34,0.0,25.789999999999992,19.93029344073647,2.54,0.11,2.13,3.0,1.41,11.452315073970418,11.38977209116354,12.744870051979214,12.286221511395448,12.744870051979214,9.47,9.45,0.0,3.44,2.65,12,2005,0.0073623559539441885,93.93427230046949,200.08
2006-03-31,584.12,89.75,0.95,0.0,136.3,94.02,120.74,30.25,0.0,490.1,94.66,149.38,130.56,106.31,387.7,937.36,1328.97,26.94,9.63,99.05,49.49,148.54,470.0,1180.43,34.01,-13.67,0.0,26.72,7.96,2.41,0.13,0.95,0.0,0.0,27.0,27.84,30.4,29.76,30.56,15.38,15.36,0.0,3.91,2.84,3,2006,0.0,94.47368421052632,89.75
2006-06-30,623.13,107.53,1.14463199513382,0.7,159.24,113.10000000000001,139.37,34.25,0.0,510.02,113.63,227.28,54.07,125.22,429.31,931.48,1364.26,22.88,0.0,91.19,50.92,142.11,470.0,1222.16,183.76000000000002,-40.059999999999995,-65.8,26.270000000000003,7.480788617130103,2.63,0.12,2.1,0.7,0.33,31.52643552311436,34.20814476885644,35.189257907542576,36.497408759124085,35.472690592051904,16.36,16.34,0.0,4.71,3.33,6,2006,65.75999999999999,93.94285714285714,197.28
2006-09-30,618.9300000000001,71.13000000000002,0.7579143847099589,1.2493047949033198,110.44999999999999,77.10000000000002,103.65999999999997,33.75,0.0,541.84,76.88000000000002,131.42,43.21,218.43,415.81,758.45,1338.32,43.66,0.0,109.55,52.98,162.53,470.0,1175.79,37.50999999999999,-15.880000000000003,-117.50000000000001,26.559999999999995,11.131864192323912,2.7,0.14,2.86,1.95,0.68,21.264003576617863,23.89285347043702,24.200259304794905,25.49348384933498,24.51826534033755,14.72,14.7,0.0,3.8,1.8,9,2006,117.24681818181821,93.84965034965036,268.41
2006-12-31,1043.93,109.86999999999995,1.1675938458284862,0.005177622155786286,157.79999999999995,116.88,144.19,33.0,0.0,927.0500000000002,114.51999999999998,311.22,64.07,119.08,518.89,923.48,1445.62,26.28,10.55,100.51,59.45,159.96,470.0,1285.66,211.44000000000003,-31.64,0.0,27.310000000000002,7.066712478383548,2.41,0.12,4.02,1.95,0.49,30.40391138838954,35.03943322406681,34.17971238236226,36.9912318917204,34.64442635085121,13.21,13.18,0.0,5.16,3.98,12,2006,0.4872116689280688,94.09950248756219,378.28
2007-03-31,821.97,101.65,1.08,1.5,137.4,107.42,135.04,35.5,0.0,714.55,106.71,380.78,195.66,132.53,720.95,918.78,1642.6,121.46,0.0,206.06,49.22,255.28,470.0,1387.31,81.35,-11.78,0.0,27.62,8.2175,2.41,0.18,1.08,1.5,1.39,24.76,28.919999999999998,29.32,31.68,29.92,12.4,12.37,0.0,3.5,2.86,3,2007,141.18055555555554,94.12037037037037,101.65
2007-06-30,956.04,117.78999999999999,1.2506867480860373,0.0009538167861628816,161.04999999999998,126.74999999999999,154.62000000000003,36.0,0.0,829.29,126.3,259.17,177.73,108.25,546.78,966.1,1517.24,29.77,0.0,102.7,50.44,153.14,470.0,1364.1,86.13,-66.74,-141.0,27.87,7.195746667798625,2.48,0.11,2.33,1.5,0.64,31.047090776522058,34.89040284360189,34.546866569449506,36.436316077287636,35.53453335763762,12.37,12.34,0.0,5.32,4.27,6,2007,0.0898307105388767,94.1802575107296,219.44
2007-09-30,1085.01,118.92000000000002,1.2652559404184893,1.4969458843895855,158.79000000000002,124.03,151.79999999999995,39.5,0.0,960.9800000000002,124.06,195.92,11.58,329.61,539.16,957.32,1501.52,41.07,0.0,107.83,51.66,159.5,470.0,1342.02,98.27000000000001,-20.52000000000001,-141.0,27.770000000000003,7.803164312142616,2.77,0.12,3.6,3.0,0.83,31.673573708476184,35.46934152973165,35.441224731055684,37.788977420498874,36.13008629861686,11.84,11.82,0.0,5.0,1.94,9,2007,140.69628040057228,93.9888888888889,338.36
2007-12-31,1643.3600000000001,166.8,1.7731332647082112,1.0026110539235094,220.64,170.24000000000007,197.73000000000008,52.0,0.0,1473.1099999999997,167.81,226.89,231.04,138.23,597.37,974.16,1580.39,43.03,0.0,114.43,51.14,165.57,470.0,1414.82,164.77999999999997,-39.82000000000001,-94.0,27.489999999999995,7.329059952038369,3.45,0.12,5.37,4.0,0.74,42.21179824214111,46.13448412384196,47.151476759838474,49.40999287354501,47.613746139836884,11.23,11.21,0.0,5.22,4.01,12,2007,94.31638733705773,94.07076350093111,505.16
2008-03-31,1230.02,286.41,3.05,0.0,348.29,305.69,332.96,70.5,0.0,924.33,304.92,332.19,109.48,398.82,891.73,993.11,1888.19,38.87,0.0,157.82,29.14,186.96,470.0,1701.23,172.76,-67.46,0.0,27.27,5.7775,3.9,0.11,3.05,0.0,0.0,60.67999999999999,69.28,67.36,74.19999999999999,70.68,23.32,23.28,0.0,5.65,3.12,3,2008,0.0,93.9049180327869,286.41
2008-06-30,2492.96,573.75,6.103297642299108,1.5000000000000002,663.0999999999999,620.3,647.5899999999999,83.0,0.0,1872.6599999999999,618.29,919.73,5.5,387.5,1376.16,991.47,2370.59,53.06,0.0,208.02,28.58,236.6,470.0,2133.99,782.39,-53.85000000000001,-141.0,27.290000000000003,3.3994122875816997,3.66,0.11,9.15,1.5,0.16,96.79896763392858,127.10867745535714,107.55144391741072,131.21756417410714,114.24839564732144,23.14,23.1,0.0,6.62,4.75,6,2008,141.00983606557378,94.00655737704918,860.16
2008-09-30,2140.64,522.5000000000001,5.558832250878742,4.999808565717827,606.7199999999999,562.99,593.3500000000001,58.5,0.0,1577.6500000000005,558.1800000000001,829.44,294.44,251.3,1480.57,830.25,2486.53,123.97,0.0,268.06,32.0,300.05,470.0,2186.48,462.07000000000005,-82.35,-470.0,30.36,2.6330080382775116,2.52,0.14,14.71,6.5,0.44,84.05891542389308,112.86961364326734,95.59226418642328,118.46245642457295,101.45719121114375,23.63,23.58,0.0,5.52,4.59,9,2008,469.9548138324548,93.99456152277362,1382.66
2008-12-31,990.1999999999998,62.0,0.6596292553265127,2.4998361767248367,133.12000000000012,72.29999999999995,103.48000000000002,61.5,0.0,917.8999999999996,66.91999999999985,698.23,101.8,112.05,1186.04,1088.1,2280.2,49.16,0.0,219.09,47.62,266.71,470.0,2013.48,370.45000000000005,-266.66999999999996,-235.0,31.179999999999993,23.300967741935484,2.87,0.13,15.37,9.0,0.59,10.87680146193568,13.884401866183044,12.317084988855507,14.468068611299545,13.003751747816093,21.13,21.08,0.0,5.41,4.9,12,2008,234.96508334855582,93.99219258295382,1444.66
2009-03-31,851.91,169.86,1.81,4.0,227.35,189.95,221.95,63.5,0.0,661.95,186.4,668.8,208.54,136.77,1291.81,1150.56,2447.06,40.12,0.0,214.57,49.15,263.72,470.0,2183.34,67.05,-96.48,0.0,32.0,8.77,2.73,0.12,1.81,4.0,2.21,27.759999999999998,35.04,31.12,35.0,34.04,20.05,19.94,0.0,6.02,5.38,3,2009,375.38121546961327,93.84530386740332,169.86
2009-06-30,1105.02,182.58999999999997,1.9427223719676547,0.006016291641226327,242.34,207.60000000000002,240.24,77.0,0.0,897.4300000000001,202.68999999999997,713.53,163.33,115.95,1020.67,1172.9,2197.54,33.28,0.0,156.06,51.56,207.61,470.0,1989.93,222.27999999999997,198.45,-376.0,32.64,9.907167013527577,3.64,0.1,3.75,4.0,1.07,33.23868463611859,36.077649595687326,36.69932075471698,35.414533692722365,40.34645822102425,18.11,18.01,0.0,6.54,5.8,6,2009,0.5654511970533918,93.98666666666666,352.45
2009-09-30,1063.9599999999998,140.66000000000003,1.4975664659001036,1.9974042302934434,213.82,163.42000000000002,197.45999999999998,75.0,0.0,900.54,162.89000000000004,553.47,187.76,138.4,930.18,1190.12,2123.82,39.93,0.0,138.94,42.29,181.23,470.0,1942.59,91.04000000000002,-63.1,-188.0,34.040000000000006,12.524068498507036,3.63,0.09,5.25,6.0,1.14,26.494090162438404,27.77201354667316,28.958656689176863,27.247152156719597,32.2447453914948,16.39,16.32,0.0,6.69,5.7,9,2009,187.60761904761904,93.92571428571429,493.11
2009-12-31,967.3600000000001,87.34000000000003,0.928396588853476,0.009596101546830273,135.56000000000006,103.13999999999999,140.72000000000003,82.75,0.0,864.2199999999998,129.73000000000002,697.79,166.72,111.55,1025.62,1194.77,2223.63,36.49,0.0,149.7,43.99,193.69,470.0,2029.93,183.39,-39.07,0.0,37.579999999999984,22.280268204717192,3.83,0.1,6.17,6.0,0.97,15.709011973468867,17.74937789645965,17.207687828408996,17.27991317081575,19.272128865535368,14.63,14.55,0.0,6.85,6.11,12,2009,0.9027645288261965,94.07617504051865,580.45
2010-03-31,935.71,183.18,1.9500000000000002,2.5,253.59,217.28,256.26,79.75,0.0,718.42,220.01,832.3,209.08,191.72,1278.04,1176.58,2459.01,55.52,0.0,200.67,45.23,245.9,470.0,2213.11,157.63,-23.11,0.0,38.98,10.225,3.39,0.11,1.95,2.5,1.28,29.8,35.44,33.12,33.32,38.48,19.73,19.58,0.0,6.37,5.41,3,2010,234.84615384615384,93.93846153846154,183.18
2010-06-30,1177.9099999999999,213.52999999999997,2.271423962088175,0.0018255924207374943,294.19999999999993,245.42,284.40999999999997,75.5,0.0,932.5100000000001,253.32999999999998,741.32,222.7,203.62,1262.58,1154.84,2425.77,53.7,0.0,187.66,46.46,234.12,470.0,2191.65,214.31,-70.29,-235.0,38.99,8.30930302533602,3.24,0.11,4.22,2.5,0.59,35.20168889112954,43.10323006730356,38.96945375715258,40.84257114768974,44.50268558896927,18.86,18.77,0.0,6.73,5.64,6,2010,0.17161866569449558,94.00710900473933,396.71
2010-09-30,1143.08,89.83000000000004,0.956384675463477,1.997858220061302,155.68000000000006,108.27000000000004,147.39,81.0,0.0,1034.8,115.03000000000003,530.67,156.07,231.59,1132.81,1143.14,2282.84,38.42,0.0,140.32,49.05,189.37,470.0,2093.47,121.04000000000002,-143.7,-188.0,39.120000000000005,21.177461872425685,3.64,0.09,5.18,4.5,0.87,15.737882188514824,19.135078719118685,17.163227689398617,17.805740946273694,19.681584247954955,15.0,14.94,0.0,8.07,6.42,9,2010,187.65211165803592,93.92664092664094,486.54
2010-12-31,1072.2600000000002,50.009999999999934,0.5322096729102593,0.0019196000185644575,101.60000000000002,67.57999999999993,106.79000000000008,90.0,0.0,1004.6799999999998,73.14999999999998,793.61,154.12,92.97,1189.43,1128.77,2324.96,34.27,0.0,132.66,48.82,181.48,470.0,2143.48,216.13,46.81,0.0,39.21000000000001,42.271685662867476,3.95,0.08,5.71,4.5,0.79,8.604833100363422,10.468965054514943,9.331844562482516,9.585366508247123,10.860432764886763,12.45,12.39,0.0,8.97,8.27,12,2010,0.1803785271384868,93.96672504378283,536.55
2011-03-31,1028.22,165.53,1.76,2.5,244.83,207.64,246.27,79.75,0.0,820.58,215.41,949.3,131.63,356.18,1441.02,936.62,2555.93,48.54,0.0,196.04,106.02,302.07,470.0,2253.87,32.66,123.03,0.0,38.63,11.3275,3.33,0.13,1.76,2.5,1.42,25.92,33.12,29.360000000000003,29.64,35.2,16.15,16.1,0.0,7.35,5.53,3,2011,235.1278409090909,94.05113636363636,165.53
2011-06-30,2027.9399999999998,411.57000000000005,4.378859469762606,-0.001620071359934316,572.49,515.79,553.32,80.5,0.0,1512.1599999999999,522.6,657.71,191.55,396.31,1720.08,1092.29,2816.25,55.16,0.0,277.93,107.88,385.81,470.0,2430.44,427.35,-483.94000000000005,-235.0,37.529999999999994,4.595682994387346,3.11,0.16,6.14,2.5,0.41,58.45135539767805,78.73389014035698,67.72255622942298,71.23134915959106,81.30129960145555,18.93,18.88,0.0,6.19,4.76,6,2011,-0.15227087651760485,93.99022801302932,577.1
2011-09-30,2075.96,348.44999999999993,3.708316676570687,2.999314607724222,455.82000000000005,406.39,442.93999999999994,78.0,0.0,1669.5500000000002,409.78,719.26,42.31,496.54,1737.09,1069.73,2812.33,33.43,0.0,203.91,111.53,315.44,470.0,2496.89,353.95000000000005,-10.399999999999977,-282.0,36.55,5.2592595781317275,2.94,0.13,9.85,5.5,0.56,49.55967586840256,66.7873480633137,55.82428393927934,60.73356814866835,65.22119604559451,18.09,18.03,0.0,8.52,6.08,9,2011,281.82899849534556,93.96446700507614,925.55
2011-12-31,2642.9300000000003,356.6300000000001,3.79387699075013,1.502164817170122,485.41999999999985,432.1200000000001,467.04999999999995,83.5,0.0,2210.8199999999997,388.51,839.33,113.76,418.06,1968.15,1152.4,3128.2,52.52,0.0,305.38,112.26,417.65,470.0,2710.56,483.06999999999994,-221.99999999999994,-141.0,34.92999999999999,5.5007582087878175,2.9,0.15,13.64,7.0,0.51,45.604404061832206,63.73935859239734,52.62474535556631,58.77727900918749,61.558713753139195,16.55,16.49,0.0,6.44,5.08,12,2011,141.20569540169993,94.00146627565982,1282.18
2012-03-31,1612.57,227.87,2.42,5.0,295.05,261.38,295.99,101.0,0.0,1351.19,247.01,1216.04,38.59,389.3,2183.93,1200.95,3392.18,64.66,0.0,337.55,116.2,453.76,470.0,2938.42,382.12,-5.41,0.0,34.61,10.435,3.23,0.15,2.42,5.0,2.07,26.88,35.16,31.0,35.12,34.24,14.26,14.13,0.0,6.47,5.32,3,2012,470.805785123967,94.1611570247934,227.87
2012-06-30,1396.3,227.45999999999998,2.417820921090198,-0.004502229152483609,297.24999999999994,260.90999999999997,297.62,99.0,0.0,1135.3899999999999,249.46000000000004,630.87,241.96,434.93,1817.77,1195.44,3017.56,53.55,0.0,197.49,124.19,321.68,470.0,2695.88,-115.44999999999999,0.28000000000000025,-470.0,36.709999999999994,10.234215356546207,3.45,0.12,4.84,5.0,1.03,30.152824544835614,35.78774603035161,33.74958293984582,35.48801616410076,37.0066474864384,15.26,15.13,0.0,9.2,7.0,6,2012,-0.42355371900833916,94.07644628099173,455.33
2012-09-30,1960.1500000000005,293.64000000000004,3.124705662443089,1.99453064301972,297.75,336.82000000000005,374.62,94.75,0.0,1623.33,231.70999999999992,865.43,278.51,304.6,1973.54,1180.69,3157.84,73.68,0.0,232.88,123.43,356.31,470.0,2801.53,457.02000000000004,-34.47,-188.0,37.80000000000001,7.581778112654951,3.18,0.13,7.97,7.0,0.88,37.19850354486829,45.13376610545149,41.91888700481996,44.333966914562666,46.05902399295033,15.48,15.07,0.0,8.47,7.17,9,2012,187.4333269388306,93.97365119196989,748.97
2012-12-31,1549.6699999999992,229.90999999999997,2.4450015323635172,0.004392813870090628,326.02,265.38,332.28,95.25,0.0,1284.3000000000002,254.0,1022.37,366.76,330.44,2249.57,1137.16,3389.8,50.14,0.0,267.91,90.45,358.36,470.0,3031.44,173.31999999999994,-16.369999999999997,0.0,66.9,9.739411073898484,2.95,0.12,10.41,7.0,0.67,27.132236024844715,32.412124060150376,30.335869156587115,32.03633131742399,33.84013648251062,15.35,15.02,0.0,8.4,7.16,12,2012,0.4130679770561301,94.03266090297791,978.88
2013-03-31,1680.23,296.99,0.32,5.0,380.41,325.96,398.09,110.0,0.0,1354.27,314.14,1460.72,339.61,197.46,2691.79,1091.03,3844.88,124.02,0.0,372.81,93.48,466.29,470.0,3378.59,624.86,-186.51,0.0,72.13,85.9375,3.06,0.14,0.32,5.0,15.63,30.88,36.04,35.16,37.6,37.56,17.8,17.68,0.0,7.22,6.69,3,2013,4640.46875,928.09375,296.99
2013-06-30,1183.0300000000002,153.26999999999998,0.16339359481188645,0.0530249189357257,213.49999999999994,172.83000000000004,209.42000000000002,12.0,0.0,1010.21,160.88,915.25,421.33,237.38,2353.96,951.37,3489.93,153.63,0.0,331.56,96.51,428.07,470.0,3061.86,22.50999999999999,-97.98000000000002,-470.0,36.59,18.360572845305672,3.68,0.14,0.48,5.0,10.42,17.564811442277794,20.873531737218492,20.02933149735708,21.295631857149203,21.49987385066406,15.86,15.73,0.0,7.1,6.38,6,2013,49.73958333333303,938.0416666666666,450.26
2013-09-30,1313.42,201.94000000000005,0.21364397424103038,0.23795806501073444,273.39,227.90000000000003,263.37,10.8,0.0,1085.52,217.57000000000005,993.29,72.61,322.62,2238.52,1004.29,3426.71,72.01,0.0,192.97,129.99,322.96,470.0,3075.89,347.51,-110.06,-159.33000000000004,35.47,12.636092403684259,3.3,0.1,0.69,5.2,7.54,23.568955535111936,27.334043544924874,26.256534805274462,27.482665440049068,27.829449862005525,15.74,15.62,0.0,11.6,9.93,9,2013,224.92210144927685,945.217391304348,652.2
2013-12-31,1586.37,80.40999999999997,0.08561144401523317,-0.03307317553737426,153.48000000000002,109.65999999999997,146.5,10.6,0.0,1476.6999999999998,90.33999999999992,823.77,365.49,224.06,2266.77,1115.08,3567.91,120.33,0.0,247.82,134.96,382.78,470.0,3156.66,-53.90999999999997,-114.42000000000002,0.0,36.84,30.954389690337038,3.16,0.12,0.78,5.2,6.67,9.013348439142241,10.554354431416437,10.189957003043908,10.396302534772932,11.059242434583199,12.83,12.71,0.0,9.15,8.24,12,2013,-31.063768115943276,939.2435897435897,732.61
2014-03-31,1091.28,80.56,0.09,0.35,140.75,94.41,130.22,10.7,0.0,996.87,80.66,710.76,157.51,460.44,2405.76,1210.0,3803.8,89.07,0.0,234.67,299.84,534.51,470.0,3243.19,93.39,-377.82,169.26,35.81,29.722500000000004,3.1,0.16,0.09,0.35,3.89,8.48,9.88,9.92,9.72,10.6,7.48,7.38,0.0,10.25,8.29,3,2014,313.2888888888889,895.1111111111112,80.56
2014-06-30,2798.49,365.23,0.3850649408914511,0.019696992355643317,501.21000000000004,433.58000000000004,469.06999999999994,10.3,0.0,2364.9100000000003,423.39,728.23,437.08,288.02,2633.08,1228.04,4045.4,265.37,3.65,434.84,304.17,739.01,470.0,3280.38,480.97,-132.28000000000003,-329.0,35.489999999999995,6.685690455329518,2.95,0.23,0.47,0.35,0.74,36.114175732968434,45.91284954799345,44.53644720608358,46.076706969649386,47.91191009219588,11.53,11.46,0.0,6.06,5.39,6,2014,18.68238770685582,948.4893617021278,445.79
2014-09-30,1354.9100000000003,149.26999999999992,0.15803465196786873,0.19853644295479583,194.27999999999997,182.37,227.64,10.4,0.0,1172.5399999999995,125.43,694.48,273.7,228.92,2408.06,1222.65,3817.39,123.85,9.88,255.69,297.14,552.84,470.0,3241.42,217.37,-63.50999999999999,-188.0,45.269999999999996,16.454144503249154,3.02,0.17,0.63,0.55,0.87,15.642922058279831,19.676568413269244,18.422325143682983,18.903954559204106,20.00768863644002,11.52,11.35,0.0,9.42,8.52,9,2014,187.52554880108062,944.5396825396824,595.06
2014-12-31,603.5999999999995,41.33000000000004,0.044162227564858075,-0.0050964679989334355,27.029999999999973,51.879999999999995,92.78000000000009,10.6,0.0,551.7200000000003,-14.180000000000064,697.16,91.57,217.69,2426.14,1231.48,3858.01,86.02,11.07,224.02,299.61,523.62,470.0,3282.4,235.8699999999999,-232.89999999999998,0.0,40.900000000000006,60.01282421969507,3.04,0.16,0.68,0.55,0.81,4.286333851883283,5.333238422979624,5.037091720485871,5.135807287983789,5.450138437121896,11.16,10.88,0.0,10.83,9.86,12,2014,-4.769619514472424,935.8676470588234,636.39
2015-03-31,803.19,51.41,0.05,0.3,100.21,62.59,101.63,10.3,0.0,740.6,48.78,652.89,231.32,218.58,2477.18,1236.09,3919.73,94.09,14.68,238.17,297.36,535.53,470.0,3333.87,-40.85,-1.31,-2.36,39.04,51.5,2.9,0.16,0.05,0.3,6.0,5.24,6.48,6.16,6.24,6.8,6.51,6.4,26.52,10.4,9.48,3,2015,308.4599999999999,1028.1999999999998,51.41
2015-06-30,1206.95,160.05,0.1665137614678899,-0.02091743119266045,242.79000000000002,185.74,225.14,10.7,0.0,1021.2099999999999,172.72,377.93,349.45,412.93,2309.52,1293.94,3812.81,81.5,15.32,223.54,301.53,525.06,470.0,3211.63,-112.52000000000001,124.06,-286.14,39.4,16.06593939393939,3.13,0.16,0.22,0.3,1.36,16.80275229357798,19.13394495412844,19.921100917431193,19.709174311926606,20.950458715596334,10.66,10.52,88.06,10.33,8.48,6,2015,-20.10545454545445,961.1818181818182,211.46
2015-09-30,1135.4199999999998,114.80999999999997,0.12316026603733102,0.16067309005090596,179.59000000000003,134.29,174.72000000000003,9.05,0.0,1001.1300000000001,118.43,561.7,153.03,236.54,2211.61,1311.78,3740.3,58.84,16.16,191.12,307.17,498.29,470.0,3165.72,493.26,-142.51,-166.14,40.43000000000001,18.37240266527306,2.69,0.16,0.35,0.47,1.34,12.273800226806017,14.25843994237901,14.51179820394152,14.328817237257484,15.17334477579918,10.52,10.37,70.46,11.57,10.33,9,2015,149.77945454545454,932.2,326.27
2015-12-31,892.7800000000002,48.05000000000001,0.05134644154733919,0.0018080786492839821,96.56999999999994,53.01999999999998,92.5,7.7,0.0,839.7599999999998,45.829999999999984,523.82,132.23,211.76,2279.61,1302.53,3810.48,118.29,16.23,220.0,305.27,525.28,470.0,3214.02,142.63,-173.89000000000001,-6.800000000000011,39.47999999999999,37.49042663891778,2.25,0.16,0.4,0.47,1.18,5.042220559948709,5.8329557597777315,5.981860440265016,5.915110066253474,6.228323359692244,9.39,9.27,52.17,10.36,9.4,12,2015,1.6919999999999504,935.8,374.32
