,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2002-12-31,,,,,,,,,6.6,,,19.23,88.93,11.68,126.04,651.7,780.93,18.52,55.0,108.8,117.2,226.0,414.26,554.93,,,,,,0.0,0.41,2.69,0.0,0.0,,,,,,14.0,13.95,0.0,1.16,1.05,12,2002,,82.71375464684014,222.5
2003-06-30,-609.79,36.24000000000001,0.43699775836747323,0.0,-20.160000000000025,52.09,15.610000000000014,,7.7,-661.89,37.99999999999997,107.57,43.14,91.58,299.26,670.21,972.37,26.36,40.0,119.74,101.1,220.84,414.26,751.53,-20.20999999999998,36.040000000000006,182.12,-36.480000000000004,0.0,0.0,0.29,3.12,0.0,0.0,14.908346602767258,0.0,19.289529257169363,0.0,18.141009507613827,26.31,26.25,0.0,2.5,1.73,6,2003,0.0,82.92948717948718,258.74
2003-09-30,615.1199999999999,118.12,1.4261157989704398,0.0,154.76,122.94999999999999,140.48000000000002,,8.3,492.16999999999996,123.10000000000002,61.72,44.34,79.19,243.81,663.88,910.3,12.38,40.0,103.29,103.05,206.34,414.26,703.95,130.05,-10.120000000000005,-165.7,17.53,0.0,0.0,0.29,4.55,0.0,0.0,51.904346441649416,0.0,67.12460648516691,0.0,61.98432096799873,23.6,23.54,0.0,2.36,1.59,9,2003,0.0,82.82637362637364,376.86
2003-12-31,358.34000000000015,23.329999999999984,0.277495189784852,2.0,46.089999999999975,16.55000000000001,34.099999999999966,30.75,8.6,341.79999999999995,17.470000000000027,64.73,62.96,103.83,563.59,674.56,1240.54,16.03,80.0,145.22,44.8,190.02,470.0,1050.53,4.649999999999977,-29.319999999999993,307.78,17.549999999999997,27.70282254607803,2.75,0.18,4.76,2.0,0.42,7.522684724755735,9.58874134785976,8.882177965466399,11.624483370399053,8.847199580199398,20.48,20.43,0.0,3.88,3.17,12,2003,168.14705882352942,84.07352941176471,400.19
2004-03-31,581.52,108.04,1.15,0.0,141.92,108.04,125.72,29.0,1.0,473.48,108.4,136.99,106.31,68.14,564.38,715.19,1282.53,27.29,0.0,77.87,46.1,123.97,470.0,1158.56,122.67,-49.81,-80.0,17.68,6.304999999999999,2.35,0.11,1.15,0.0,0.0,33.68,0.0,37.32,0.0,35.88,18.64,18.58,0.0,7.25,6.37,3,2004,0.0,93.94782608695654,108.04
2004-06-30,717.77,120.80999999999999,1.2827979025562595,1.5,162.44000000000003,126.21999999999998,144.00000000000003,28.5,1.0,591.55,126.88999999999999,155.63,94.08,62.32,415.17,853.28,1271.14,42.08,0.0,85.36,47.4,132.76,470.0,1138.38,172.81,-163.39,-141.0,17.78,5.555025453190962,2.35,0.12,2.43,1.5,0.62,38.008826742407685,44.090239021192914,42.443189862355254,51.14298798339523,41.725245357220885,17.65,17.61,0.0,4.86,4.13,6,2004,141.26543209876542,94.17695473251028,228.85
2004-09-30,679.99,88.15,0.937115141955836,1.2982192234295282,126.01999999999998,89.92000000000002,107.30999999999995,29.5,0.0,590.0699999999999,85.91999999999999,178.27,105.61,69.25,359.7,874.45,1237.42,35.5,0.0,84.39,48.7,133.09,470.0,1104.32,83.41999999999996,-39.140000000000015,-122.19999999999999,17.39,7.866562677254679,2.51,0.12,3.37,2.8,0.83,28.49719873817035,33.58042271293376,31.934214511041013,38.99733753943218,31.27795583596215,16.04,16.02,0.0,4.26,3.44,9,2004,122.11735721874197,94.06528189910979,317.0
2004-12-31,572.99,68.26999999999998,0.726521660134451,-0.0028900153185564418,113.20000000000005,70.07999999999998,93.75,30.0,0.0,502.9100000000003,69.76000000000005,224.41,67.3,124.88,417.67,912.54,1333.07,56.68,0.0,109.82,50.65,160.47,470.0,1172.6,77.07000000000005,-30.92999999999998,0.0,23.669999999999995,10.327290171378353,2.4,0.14,4.1,2.8,0.68,20.484366807693302,21.717681625872757,23.29122122148103,24.56706413683909,22.84467620110571,15.11,15.1,0.0,3.8,2.67,12,2004,-0.2715698053122537,93.96829268292683,385.27
2005-03-31,531.74,58.91,0.63,0.0,93.92,59.26,83.5,31.5,0.0,472.48,57.2,234.39,110.29,97.22,443.84,927.56,1373.93,43.08,0.0,96.96,45.46,142.42,470.0,1231.5,45.12,-35.14,0.0,24.24,12.5,2.4,0.12,0.63,0.0,0.0,17.16,17.84,19.12,19.72,18.56,11.12,11.08,0.0,4.58,3.57,3,2005,0.0,93.5079365079365,58.91
2005-06-30,639.3799999999999,63.78,0.680999266443883,1.7000000000000002,109.79,68.47,93.06,32.0,0.0,570.9100000000001,68.21,148.26,110.62,63.96,325.07,947.93,1275.22,32.96,0.0,90.85,48.88,139.73,470.0,1135.48,120.38,-46.709999999999994,-159.8,24.59,11.748654358733145,2.65,0.12,1.31,1.7,1.3,20.003703643328713,20.856252343304263,22.478174260330917,22.436586518868694,22.415792648137582,10.5,10.48,0.0,3.58,2.87,6,2005,159.21603053435115,93.65648854961832,122.69
2005-09-30,488.32000000000016,42.629999999999995,0.4538398257924026,1.304982980035942,85.45000000000002,47.230000000000004,71.91,30.0,0.0,441.0899999999999,47.03,64.83,91.51,68.96,228.38,951.18,1183.66,17.64,0.0,75.45,52.3,127.75,470.0,1055.91,68.58000000000001,-29.810000000000002,-122.19999999999999,24.680000000000007,16.53006098991321,2.67,0.12,1.76,3.0,1.7,14.409414468908782,14.904512460682312,16.15257198161142,15.791563029276555,16.286661021050083,9.98,9.96,0.0,3.03,2.11,9,2005,122.57942401110336,93.93181818181817,165.32
