,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2010-06-30,18.730000000000004,-35.400000000000006,-0.0740714908456844,0.0,10.5,-23.17,-7.090000000000003,1.6,41.89,-20.96,4.86,3.08,0.18,16.46,2025.28,2097.8,22.0,21.46,19.0,95.7,978.0,1073.7,466.9,1024.1,-25.47,0.01999999999998181,20.0,16.080000000000005,-5.398838276836157,0.73,1.05,-0.12,0.0,0.0,-6.740505666957281,-3.086312118570184,-13.826678291194423,-12.764986922406278,-3.901098517872712,-69.32,-68.48,0.17,0.17,6,2010,0.0,477.9166666666667,-57.35
2010-09-30,29.25,-26.979999999999997,-0.0575880469583778,0.0,19.269999999999996,-14.2,1.9699999999999989,1.48,43.44999999999999,-12.709999999999997,11.13,2.94,0.17,22.5,2013.45,2091.62,46.33,20.01,33.0,130.49,964.0,1094.49,466.9,997.12,-14.689999999999998,-3.3600000000000136,24.329999999999927,16.17,-6.423207931801336,0.69,1.1,-0.18,0.0,0.0,-5.1573295387169455,-2.341913909640697,-10.826552828175027,-9.956333451915095,-2.981781098067117,-76.06,-74.63,0.17,0.17,9,2010,0.0,468.5,-84.33
2010-12-31,206.76999999999998,145.85,0.30820058517555265,0.0,21.710000000000008,158.79,174.93,1.43,47.98000000000002,-12.620000000000005,292.15,5.5,0.19,457.73,1679.71,2197.86,19.0,15.19,46.0,104.89,950.0,1054.89,466.9,1142.97,-33.129999999999995,342.47,-28.329999999999927,16.14,1.1599588618443608,0.58,0.92,0.13,0.0,0.0,26.55266579973992,42.57909622886866,51.01905071521456,52.441514954486344,51.20871261378414,43.36,19.24,4.36,4.36,12,2010,0.0,473.2307692307692,61.52
2011-03-31,40.53,-25.9,-0.05999999999999999,0.0,27.9,-13.9,1.7,1.29,54.42,5.82,164.29,6.11,0.2,329.07,1664.85,2050.23,0.0,15.92,0.0,36.92,896.23,933.16,466.9,1117.07,-7.2,0.34,-121.0,15.6,-5.375000000000001,0.54,0.84,-0.06,0.0,0.0,-5.04,-2.68,-9.28,-9.52,-2.76,-67.52,-63.9,8.91,8.91,3,2011,0.0,431.6666666666667,-25.9
2011-06-30,37.489999999999995,-24.520000000000003,-0.053494644982149946,0.0,23.870000000000005,-11.67,4.12,1.36,49.17,1.2299999999999995,312.01,5.1,0.2,321.0,1649.61,2026.58,0.0,15.39,0.0,37.65,896.37,934.03,466.9,1092.55,-4.78,152.51,0.0,15.790000000000001,-6.353907014681892,0.58,0.85,-0.11,0.0,0.0,-4.843696945656486,-2.4121221737405794,-8.967647758825864,-9.259436731455772,-2.509385164617216,-68.7,-64.62,8.53,8.52,6,2011,0.0,458.3636363636364,-50.42
2011-09-30,44.68000000000001,-18.78,-0.04070809248554913,0.0,29.4,-5.27,10.690000000000001,1.09,49.94999999999999,7.580000000000001,53.38,4.44,0.23,60.88,1634.04,2000.53,0.0,6.25,0.0,30.29,896.46,926.76,466.9,1073.78,-10.96,-247.69,0.0,15.96,-6.697071352502662,0.47,0.86,-0.15,0.0,0.0,-3.756,-1.6391791907514452,-6.990936416184971,-7.2514682080924855,-1.7043121387283238,-59.98,-56.4,2.01,2.0,9,2011,0.0,461.33333333333337,-69.2
2011-12-31,41.13000000000001,-22.47,-0.04902367186647758,0.0,26.599999999999994,-10.98,4.969999999999999,1.18,52.110000000000014,1.9399999999999995,41.69,5.24,0.23,56.44,1618.58,1978.28,0.0,19.4,0.0,30.14,896.83,926.97,466.9,1051.3,3.1400000000000006,-14.810000000000002,0.0,15.949999999999996,-6.017501112594571,0.52,0.88,-0.2,0.0,0.0,-4.539592014835823,-1.960946874659103,-8.549728373513691,-8.196757936075052,-2.1080178902585356,-59.57,-55.95,1.87,1.86,12,2011,0.0,458.34999999999997,-91.67
2012-03-31,49.36,-12.84,-0.03,0.0,19.96,-2.75,12.94,1.17,52.11,-3.99,41.3,6.37,0.25,59.2,1603.38,1966.33,0.0,20.35,19.0,49.96,877.91,927.87,466.9,1038.46,0.42,-0.81,0.0,15.69,-9.75,0.53,0.89,-0.03,0.0,0.0,-2.6,-0.56,-4.96,-4.76,-0.56,-26.68,-26.01,1.18,1.18,3,2012,0.0,428.0,-12.84
2012-06-30,45.81,-15.690000000000001,-0.032996845425867505,0.0,16.25,-5.619999999999999,9.97,1.14,51.44,-6.92,32.04,7.28,0.22,59.43,1588.15,1951.92,0.0,20.65,38.0,70.15,858.99,929.14,466.9,1022.77,0.45,-9.709999999999999,0.0,15.590000000000002,-8.63718929254302,0.52,0.91,-0.06,0.0,0.0,-3.2116929547844375,-0.9239116719242902,-6.137413249211357,-5.939432176656153,-0.967907465825447,-30.8,-29.98,0.85,0.84,6,2012,0.0,475.50000000000006,-28.53
2012-09-30,48.83,-14.96,-0.030958841112899513,0.0,18.67,-4.540000000000001,11.209999999999997,1.78,53.36,-6.0,32.44,6.23,0.24,56.23,1572.75,1937.9,0.0,22.77,57.0,90.07,840.03,930.09,466.9,1007.81,2.07,-1.67,0.0,15.75,-14.375538101604278,0.82,0.92,-0.09,0.0,0.0,-3.0821246263508857,-0.9081260059783859,-5.944097493676708,-5.751464704529777,-0.9631639457346517,-31.06,-30.2,0.62,0.62,9,2012,0.0,483.2222222222223,-43.49
2012-12-31,51.99000000000001,-14.969999999999999,-0.0332894286691755,0.0,20.410000000000004,-4.640000000000001,11.150000000000006,2.04,56.629999999999995,-6.440000000000001,44.54,8.15,0.23,63.43,1558.56,1932.02,0.0,29.6,76.0,117.54,821.65,939.19,466.9,992.84,7.5,4.59,0.0,15.79,-15.317925851703407,0.96,0.95,-0.13,0.0,0.0,-3.103599042080054,-0.921861101607937,-6.033068764967498,-5.858939445774888,-0.9935614095107765,-30.74,-29.83,0.54,0.54,12,2012,0.0,449.6923076923077,-58.46
