,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-12-31,307.25000000000006,48.160000000000004,0.2391517917058113,-0.0020226505476807523,93.71000000000001,61.64,70.88000000000001,4.68,245.60000000000002,60.059999999999995,117.36,129.16,151.35,416.86,314.17,735.84,74.05,75.99,26.01,221.75,38.67,260.42,200.0,475.42,101.33000000000001,-29.410000000000004,25.28,9.240000000000002,4.892813019102991,1.97,0.55,0.37,0.31,0.84,26.19035297275534,34.12760703261307,40.51360622735203,41.159962421151526,50.545054355120115,9.27,9.18,1.88,1.2,12,2013,-0.40731808731808883,201.3783783783784,74.51
2014-03-31,121.98,-4.97,-0.02,0.0,19.51,-4.24,4.78,4.14,126.22,-5.11,28.66,117.04,177.56,341.58,320.47,667.09,21.04,77.34,26.11,165.56,31.83,197.39,200.0,469.71,-17.68,-11.51,-59.51,9.02,-51.75,1.76,0.42,-0.02,0.0,0.0,-3.0,-2.44,-4.24,-4.24,-3.4,-4.1,-4.07,2.06,0.99,3,2014,0.0,248.49999999999997,-4.97
2014-06-30,144.53999999999996,-4.260000000000001,-0.02307692307692308,0.21,19.889999999999997,-3.45,5.749999999999999,3.74,147.98999999999998,-13.05,18.55,122.03,191.51,353.47,335.33,698.9,105.62,66.68,30.44,239.27,36.18,275.45,200.0,423.45,-42.67,-18.65,51.209999999999994,9.2,-40.51666666666666,1.77,0.65,-0.05,0.21,-4.2,-2.436923076923077,-2.0123076923076924,-4.024615384615385,-4.0430769230769235,-3.0830769230769235,-3.6,-3.46,1.48,0.68,6,2014,38.766,184.6,-9.23
2014-09-30,129.33000000000004,-16.65,-0.08363601236476043,0.0152712519319938,10.300000000000004,-17.509999999999998,-7.639999999999999,5.55,146.84000000000003,-19.73,29.75,119.9,225.67,393.11,331.09,737.28,135.63,83.9,29.65,298.52,31.96,330.48,200.0,406.8,-12.729999999999997,-2.349999999999998,26.28,9.870000000000001,-16.58884684684685,2.73,0.81,-0.13,0.21,-1.62,-9.032689335394126,-9.161360123647603,-16.36692426584235,-15.980911901081916,-14.771406491499228,-6.75,-6.54,1.32,0.56,9,2014,3.040153846153842,199.07692307692307,-25.88
2014-12-31,377.03,81.17999999999999,0.4110379746835443,-0.0016767283349561832,130.64999999999998,102.58,112.59,4.78,274.45,102.89,86.24,149.16,136.29,382.98,323.42,712.78,66.68,66.17,28.31,199.02,25.64,224.66,200.0,488.12,132.62,0.8199999999999967,-76.96,10.010000000000002,2.9070306725794532,1.96,0.46,0.28,0.21,0.75,45.566495479204335,62.712650994575036,66.5294321880651,67.41022784810127,88.43188426763109,7.27,7.16,1.92,1.24,12,2014,-0.33115384615384613,197.49999999999997,55.3
2015-03-31,165.17,-8.65,-0.04,0.0,22.78,-9.42,0.39,4.98,174.58,-10.8,40.65,169.55,221.42,449.91,322.46,780.86,86.62,123.85,28.54,280.14,19.73,299.87,200.0,477.82,-53.78,-7.01,15.66,9.81,-31.124999999999996,2.08,0.63,-0.04,0.0,0.0,-4.440000000000001,-5.2,-7.24,-7.32,-7.52,-5.29,-5.24,1.61,0.82,3,2015,0.0,216.25,-8.65
2015-06-30,188.04,0.23000000000000043,0.0010926365795724485,0.18,34.07,3.3200000000000003,13.45,4.32,184.73,2.2300000000000004,57.4,144.63,234.73,477.47,316.61,802.81,201.91,77.6,28.39,342.8,14.27,357.07,200.0,442.64,-30.849999999999994,-24.96,73.18,10.13,988.4347826086938,1.95,0.81,-0.04,0.18,-4.5,0.1147268408551071,0.08850356294536833,0.20760095011876523,0.211971496437055,0.14532066508313565,-2.4,-2.38,1.39,0.71,6,2015,37.89,210.5,-8.42
2015-09-30,321.71999999999997,45.730000000000004,0.23287858482980436,-0.012953631734119536,92.39000000000001,59.980000000000004,69.91,4.72,261.73999999999995,58.93,45.34,323.79,257.14,658.8,308.85,975.96,287.75,110.1,25.67,473.11,9.97,483.08,200.0,489.8,-100.33000000000001,4.390000000000001,82.44,9.93,5.066588672643779,1.93,0.99,0.19,0.18,0.95,18.72834092736532,30.838027338515143,37.35862771374967,40.79052264808363,52.50799249530957,5.57,5.53,1.39,0.85,9,2015,-2.5436842105263153,196.3684210526316,37.31
2015-12-31,560.5100000000001,81.49,0.40470622895622893,0.004458532695374785,143.55,104.58000000000001,114.72999999999999,5.1,455.93000000000006,102.51,93.56,470.44,155.28,751.33,308.63,1068.95,215.12,164.56,22.14,485.17,10.51,495.69,200.0,570.23,145.19,-12.480000000000004,-84.57000000000001,10.150000000000002,3.148950791508161,1.79,0.87,0.59,0.18,0.31,30.48329629629629,48.81168686868686,57.15275084175083,61.59765993265992,74.46594612794613,9.66,9.62,1.55,1.23,12,2015,0.8977520071364822,201.35593220338984,118.8
2016-03-31,86.75,-24.8,-0.12,0.0,0.65,-28.18,-17.43,5.5,114.93,-29.79,45.44,317.36,193.73,620.92,306.53,943.61,249.26,58.13,16.3,449.99,9.15,459.14,200.0,481.43,-33.56,-40.34,25.76,10.75,-11.4575,2.28,0.95,-0.12,0.0,0.0,-10.52,-13.080000000000002,-20.6,-20.68,-22.84,-29.21,-28.59,1.38,0.95,3,2016,0.0,206.66666666666669,-24.8
2016-06-30,90.52000000000001,-18.499999999999996,-0.08972286374133948,0.32,6.449999999999999,-20.72,-10.3,11.4,111.23999999999998,-21.800000000000004,276.78,94.66,178.87,703.61,303.71,1028.67,156.57,31.03,3.21,225.03,8.68,233.7,270.0,791.94,167.92000000000002,-94.35999999999999,157.8,10.420000000000002,-31.766986486486488,3.89,0.3,-0.21,0.32,-1.52,-7.194919168591223,-9.12609699769053,-9.34826789838337,-11.980138568129327,-10.390762124711316,-24.87,-24.43,3.13,2.33,6,2016,65.98095238095237,206.19047619047618,-43.3
2016-09-30,105.22,-16.060000000000002,-0.07034366576819409,0.03099987164677191,6.68,-17.890000000000008,-6.98,18.7,123.10999999999999,-21.00999999999999,48.4,84.64,240.19,780.31,297.22,1102.31,197.49,87.08,2.89,316.37,7.43,323.79,270.0,775.56,-17.890000000000015,-249.67000000000002,39.53,10.909999999999997,-66.45658779576587,6.51,0.42,-0.26,0.32,-1.23,-5.8331132075471706,-6.958611859838276,-8.27890835579515,-10.1511320754717,-9.198787061994611,-21.49,-21.01,2.47,1.71,9,2016,7.077509157509155,228.3076923076923,-59.36
2016-12-31,257.05999999999995,-21.17,-0.08938035514715013,0.011545052488800216,13.890000000000002,-25.159999999999997,-14.43,18.5,282.22,-27.17,98.65,235.23,207.54,782.94,307.2,1220.8,311.06,108.38,2.71,456.28,6.86,463.14,270.0,754.69,-104.94,41.629999999999995,113.22,10.730000000000004,-51.74347307510627,6.62,0.61,-0.34,0.32,-0.94,-6.940121693778716,-8.443814727430771,-11.219863404942258,-12.786648453992303,-12.64994908729666,-15.16,-14.93,1.72,1.26,12,2016,2.734479638009063,236.85294117647058,-80.53
2017-03-31,204.08,-18.15,-0.07,0.0,17.65,-18.9,-8.05,18.8,222.98,-23.68,92.83,260.6,220.5,713.26,300.14,1147.65,265.47,94.99,2.77,401.02,11.0,412.01,270.0,732.79,-68.29,108.84,-45.61,10.85,-67.1425,6.93,0.56,-0.07,0.0,0.0,-6.32,-7.24,-9.92,-11.96,-10.12,-9.11,-8.89,1.78,1.23,3,2017,0.0,259.2857142857142,-18.15
2017-06-30,244.17999999999998,-23.009999999999998,-0.09503644314868806,0.03,30.759999999999998,-21.810000000000002,-10.89,13.7,265.98,-22.5,105.66,344.27,195.58,675.68,304.74,1298.42,375.37,99.78,2.76,582.14,12.06,594.2,270.01,701.44,-4.97999999999999,-83.51,101.7,10.92,-36.03959582790091,5.27,0.85,-0.17,0.03,-0.18,-7.088600583090379,-7.826530612244898,-13.126209912536442,-12.321195335276967,-12.701341107871718,-9.32,-9.18,1.16,0.82,6,2017,7.263529411764704,242.11764705882348,-41.16
2017-09-30,202.41999999999996,-39.67,-0.15214276877397007,0.002142841548347664,24.290000000000006,-38.559999999999995,-26.889999999999997,14.7,240.99000000000007,-42.25000000000001,66.52,310.76,212.71,633.14,658.68,1979.15,254.54,90.97,69.63,903.35,117.67,1021.02,290.99,955.42,-40.27000000000001,-210.02999999999997,211.54999999999998,11.669999999999998,-24.155272246029742,4.48,1.07,-0.31,0.03,-0.1,-8.00958060126191,-10.090501051589756,-16.608100952616606,-18.33565755288878,-14.468286527279478,-12.66,-12.42,0.7,0.47,9,2017,0.5587286527514248,260.741935483871,-80.83
