,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,operating_profit,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2015-12-31,,,,,,,,10.5,,5.39,1815.37,71.51,,,0.0,12,2015,,,,,,,,,,,,,
2016-12-31,123.29999999999998,,,,,,,10.2,7.870000000000001,1.52,1899.85,92.69,1792.4299999999998,-1801.7,0.48,12,2016,,,,,,,,,,,,,
